date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;62;2520;1;1-1
31-May-16 12:00:00 AM;6;62;2106;9;2-4
31-May-16 12:00:00 AM;7;62;1689;13;2-4
31-May-16 12:00:00 AM;8;62;1865;12;2-4
31-May-16 12:00:00 AM;9;62;1665;8;2-4
31-May-16 12:00:00 AM;10;62;1684;13;2-4
31-May-16 12:00:00 AM;11;62;1837;8;2-4
31-May-16 12:00:00 AM;12;62;1644;5;2-4
31-May-16 12:00:00 AM;16;62;2028;16;2-4
31-May-16 12:00:00 AM;17;62;1530;8;2-4
31-May-16 12:00:00 AM;18;62;2250;6;2-4
31-May-16 12:00:00 AM;19;62;1468;17;2-4
31-May-16 12:00:00 AM;20;62;1713;18;2-4
31-May-16 12:00:00 AM;21;62;1500;7;2-4
31-May-16 12:00:00 AM;25;62;1020;1;1-1
31-May-16 12:00:00 AM;22;62;2420;12;2-4
31-May-16 12:00:00 AM;23;62;1806;10;2-4
31-May-16 12:00:00 AM;24;62;1492;8;2-4
31-May-16 12:00:00 AM;26;62;1400;6;2-4
31-May-16 12:00:00 AM;27;62;2232;5;2-4
31-May-16 12:00:00 AM;28;62;1570;18;2-4
31-May-16 12:00:00 AM;29;62;1525;7;2-4
31-May-16 12:00:00 AM;30;62;1192;8;2-4
31-May-16 12:00:00 AM;31;62;1606;18;2-4
31-May-16 12:00:00 AM;32;62;1294;19;2-4
31-May-16 12:00:00 AM;35;62;660;1;1-1
31-May-16 12:00:00 AM;45;62;600;1;1-1
31-May-16 12:00:00 AM;33;62;1640;6;2-4
31-May-16 12:00:00 AM;48;62;540;1;1-1
31-May-16 12:00:00 AM;36;62;1920;1;2-4
31-May-16 12:00:00 AM;39;62;1920;1;2-4
31-May-16 12:00:00 AM;40;62;1920;1;2-4
31-May-16 12:00:00 AM;42;62;1920;1;2-4
31-May-16 12:00:00 AM;43;62;1920;1;2-4
31-May-16 12:00:00 AM;44;62;1140;6;2-4
31-May-16 12:00:00 AM;37;62;1200;2;2-4
31-May-16 12:00:00 AM;38;62;1860;1;2-4
31-May-16 12:00:00 AM;46;62;1432;8;2-4
31-May-16 12:00:00 AM;50;62;1190;6;2-4
31-May-16 12:00:00 AM;49;62;1565;11;2-4
31-May-16 12:00:00 AM;51;62;1483;18;2-4
31-May-16 12:00:00 AM;52;62;1328;7;2-4
31-May-16 12:00:00 AM;1;62;1965;4;2-4
31-May-16 12:00:00 AM;55;62;1320;12;1-4
31-May-16 12:00:00 AM;56;62;1347;13;2-4
31-May-16 12:00:00 AM;57;62;2120;3;2-4
31-May-16 12:00:00 AM;58;62;1164;5;2-4
31-May-16 12:00:00 AM;59;62;1707;13;2-4
31-May-16 12:00:00 AM;62;65;1990;6;2-4
31-May-16 12:00:00 AM;62;66;1824;10;2-4
31-May-16 12:00:00 AM;62;67;753;18;2-4
31-May-16 12:00:00 AM;62;68;1134;21;2-4
31-May-16 12:00:00 AM;62;69;1686;10;2-4
31-May-16 12:00:00 AM;62;70;1560;7;2-4
31-May-16 12:00:00 AM;62;71;1110;2;2-4
31-May-16 12:00:00 AM;62;72;1580;6;2-4
31-May-16 12:00:00 AM;62;73;360;1;2-4
31-May-16 12:00:00 AM;62;74;1270;6;2-4
31-May-16 12:00:00 AM;62;75;1234;7;2-4
31-May-16 12:00:00 AM;62;53;540;4;2-4
31-May-16 12:00:00 AM;62;82;2130;6;2-4
31-May-16 12:00:00 AM;62;83;720;2;2-4
31-May-16 12:00:00 AM;62;80;620;3;2-4
31-May-16 12:00:00 AM;62;78;840;2;2-4
31-May-16 12:00:00 AM;62;76;1560;3;2-4
31-May-16 12:00:00 AM;62;79;840;2;2-4
31-May-16 12:00:00 AM;62;77;1360;3;2-4
31-May-16 12:00:00 AM;62;84;960;1;2-4
31-May-16 12:00:00 AM;62;85;1980;5;2-4
31-May-16 12:00:00 AM;62;81;720;3;2-4
31-May-16 12:00:00 AM;62;48;984;5;2-4
31-May-16 12:00:00 AM;62;86;1200;1;2-4
31-May-16 12:00:00 AM;62;87;650;6;2-4
31-May-16 12:00:00 AM;62;88;1200;1;2-4
31-May-16 12:00:00 AM;62;89;1200;1;2-4
31-May-16 12:00:00 AM;62;91;1200;1;2-4
31-May-16 12:00:00 AM;62;92;1200;1;2-4
31-May-16 12:00:00 AM;62;93;1200;1;2-4
31-May-16 12:00:00 AM;62;90;1260;1;2-4
31-May-16 12:00:00 AM;62;94;2040;3;2-4
31-May-16 12:00:00 AM;62;47;924;5;2-4
31-May-16 12:00:00 AM;62;95;3060;1;2-4
31-May-16 12:00:00 AM;61;62;1700;15;2-1
31-May-16 12:00:00 AM;62;46;1446;9;2-1
31-May-16 12:00:00 AM;62;33;1640;6;2-1
31-May-16 12:00:00 AM;62;12;1122;7;2-1
31-May-16 12:00:00 AM;62;32;1330;22;2-1
31-May-16 12:00:00 AM;62;51;1471;17;2-1
31-May-16 12:00:00 AM;62;59;1707;13;2-1
31-May-16 12:00:00 AM;62;56;1388;15;2-1
31-May-16 12:00:00 AM;62;26;1400;6;2-1
31-May-16 12:00:00 AM;62;7;1680;12;2-1
31-May-16 12:00:00 AM;62;29;1525;7;2-1
31-May-16 12:00:00 AM;62;20;1659;20;2-1
31-May-16 12:00:00 AM;62;24;1520;9;2-1
31-May-16 12:00:00 AM;62;10;1684;13;2-1
31-May-16 12:00:00 AM;62;30;1392;10;2-1
31-May-16 12:00:00 AM;62;54;1545;4;2-1
31-May-16 12:00:00 AM;62;13;1243;11;2-1
31-May-16 12:00:00 AM;62;58;876;5;2-1
31-May-16 12:00:00 AM;62;21;1500;7;2-1
31-May-16 12:00:00 AM;62;28;1567;17;2-1
31-May-16 12:00:00 AM;62;27;1368;5;2-1
31-May-16 12:00:00 AM;62;52;1372;8;2-1
31-May-16 12:00:00 AM;62;15;1044;5;2-1
31-May-16 12:00:00 AM;62;50;1190;6;2-1
31-May-16 12:00:00 AM;62;31;1680;20;2-1
31-May-16 12:00:00 AM;62;16;1910;19;2-1
31-May-16 12:00:00 AM;62;17;1530;8;2-1
31-May-16 12:00:00 AM;62;9;1665;8;2-1
31-May-16 12:00:00 AM;62;44;1512;5;2-1
31-May-16 12:00:00 AM;62;60;1543;26;2-1
31-May-16 12:00:00 AM;62;63;1302;10;2-1
31-May-16 12:00:00 AM;62;19;1506;19;2-1
31-May-16 12:00:00 AM;62;14;1517;14;2-1
31-May-16 12:00:00 AM;65;62;1865;11;2-1
31-May-16 12:00:00 AM;66;62;1755;12;2-1
31-May-16 12:00:00 AM;72;62;1366;13;2-1
31-May-16 12:00:00 AM;82;62;1935;16;2-1
31-May-16 12:00:00 AM;85;62;1700;12;2-1
31-May-16 12:00:00 AM;94;62;120;1;2-7
31-May-16 12:00:00 AM;74;62;980;3;2-7
31-May-16 12:00:00 AM;70;62;1560;7;2-1
31-May-16 12:00:00 AM;68;62;1186;22;2-2
31-May-16 12:00:00 AM;69;62;1477;8;2-6
31-May-16 12:00:00 AM;13;62;1243;11;2-6
31-May-16 12:00:00 AM;54;62;1050;2;2-7
31-May-16 12:00:00 AM;15;62;1530;4;2-7
31-May-16 12:00:00 AM;75;62;930;2;2-7
31-May-16 12:00:00 AM;60;62;1568;27;2-2
31-May-16 12:00:00 AM;63;62;1302;10;2-7
31-May-16 12:00:00 AM;14;62;1517;14;2-6
31-May-16 12:00:00 AM;67;62;1620;18;2-6
31-May-16 12:00:00 AM;62;55;1320;12;2-1
31-May-16 12:00:00 AM;62;8;1865;12;2-1
31-May-16 12:00:00 AM;62;6;2106;9;2-1
31-May-16 12:00:00 AM;62;49;1565;11;2-1
31-May-16 12:00:00 AM;62;61;1578;13;2-7
31-May-16 12:00:00 AM;62;22;1500;6;2-7
31-May-16 12:00:00 AM;41;62;1794;11;2-4
31-May-16 12:00:00 AM;62;23;1806;10;2-1
31-May-16 12:00:00 AM;62;57;1930;6;2-1
31-May-16 12:00:00 AM;62;11;1837;8;2-1
31-May-16 12:00:00 AM;62;18;1950;6;2-6
31-May-16 12:00:00 AM;4;62;2040;1;2-4
31-May-16 12:00:00 AM;62;96;1720;3;2-1
31-May-16 12:00:00 AM;62;97;2240;3;2-1
31-May-16 12:00:00 AM;62;98;2080;3;2-1
31-May-16 12:00:00 AM;62;100;2060;3;2-1
31-May-16 12:00:00 AM;62;101;1380;3;2-1
31-May-16 12:00:00 AM;96;62;1720;3;2-4
31-May-16 12:00:00 AM;97;62;2240;3;2-4
31-May-16 12:00:00 AM;98;62;2080;3;2-4
31-May-16 12:00:00 AM;100;62;2060;3;2-4
31-May-16 12:00:00 AM;101;62;1380;3;2-4
31-May-16 12:00:00 AM;62;103;1020;2;2-1
31-May-16 12:00:00 AM;62;104;1170;2;2-1
31-May-16 12:00:00 AM;62;105;1200;2;2-1
31-May-16 12:00:00 AM;102;62;2040;2;2-4
31-May-16 12:00:00 AM;103;62;1020;2;2-4
31-May-16 12:00:00 AM;104;62;1170;2;2-4
31-May-16 12:00:00 AM;105;62;1200;2;2-4
31-May-16 12:00:00 AM;106;62;1320;2;2-4
31-May-16 12:00:00 AM;107;62;1200;2;2-4
31-May-16 12:00:00 AM;108;62;960;2;2-4
