date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;63;1360;15;1-1
31-May-16 12:00:00 AM;6;63;1482;55;2-4
31-May-16 12:00:00 AM;7;63;1570;30;2-4
31-May-16 12:00:00 AM;10;63;1419;41;2-4
31-May-16 12:00:00 AM;8;63;1713;46;2-4
31-May-16 12:00:00 AM;11;63;1760;54;2-4
31-May-16 12:00:00 AM;9;63;1740;36;2-4
31-May-16 12:00:00 AM;12;63;1838;42;2-4
31-May-16 12:00:00 AM;14;63;1180;62;2-7
31-May-16 12:00:00 AM;15;63;1772;43;2-7
31-May-16 12:00:00 AM;16;63;1457;37;2-4
31-May-16 12:00:00 AM;17;63;1745;53;2-4
31-May-16 12:00:00 AM;18;63;1812;39;2-4
31-May-16 12:00:00 AM;19;63;1343;38;2-4
31-May-16 12:00:00 AM;20;63;1198;32;2-4
31-May-16 12:00:00 AM;21;63;1753;36;2-4
31-May-16 12:00:00 AM;25;63;1371;14;1-1
31-May-16 12:00:00 AM;22;63;1522;51;2-4
31-May-16 12:00:00 AM;23;63;1039;49;2-4
31-May-16 12:00:00 AM;24;63;1418;64;2-4
31-May-16 12:00:00 AM;26;63;1349;51;2-4
31-May-16 12:00:00 AM;27;63;1809;37;2-1
31-May-16 12:00:00 AM;28;63;1500;39;2-4
31-May-16 12:00:00 AM;29;63;1673;46;2-4
31-May-16 12:00:00 AM;30;63;1546;36;2-4
31-May-16 12:00:00 AM;31;63;1344;41;2-4
31-May-16 12:00:00 AM;32;63;1288;40;2-4
31-May-16 12:00:00 AM;35;63;1030;12;1-1
31-May-16 12:00:00 AM;45;63;1933;13;1-1
31-May-16 12:00:00 AM;33;63;1581;47;2-1
31-May-16 12:00:00 AM;48;63;1838;14;1-1
31-May-16 12:00:00 AM;36;63;1864;13;2-4
31-May-16 12:00:00 AM;39;63;1740;8;2-4
31-May-16 12:00:00 AM;40;63;2232;15;2-4
31-May-16 12:00:00 AM;42;63;2225;12;2-4
31-May-16 12:00:00 AM;44;63;1373;45;2-1
31-May-16 12:00:00 AM;43;63;1356;13;2-4
31-May-16 12:00:00 AM;37;63;1578;13;2-4
31-May-16 12:00:00 AM;38;63;1020;2;2-4
31-May-16 12:00:00 AM;46;63;993;39;2-4
31-May-16 12:00:00 AM;50;63;1621;49;2-4
31-May-16 12:00:00 AM;49;63;1665;51;2-4
31-May-16 12:00:00 AM;51;63;1743;32;2-4
31-May-16 12:00:00 AM;52;63;1479;56;2-4
31-May-16 12:00:00 AM;1;63;1405;31;2-4
31-May-16 12:00:00 AM;55;63;1773;41;1-4
31-May-16 12:00:00 AM;54;63;1768;44;2-7
31-May-16 12:00:00 AM;59;63;957;47;1-1
31-May-16 12:00:00 AM;57;63;1155;39;2-4
31-May-16 12:00:00 AM;56;63;1654;38;2-4
31-May-16 12:00:00 AM;61;63;1246;48;1-1
31-May-16 12:00:00 AM;60;63;1180;45;1-1
31-May-16 12:00:00 AM;62;63;1340;29;1-1
31-May-16 12:00:00 AM;63;63;1312;119;1-1
31-May-16 12:00:00 AM;63;64;996;20;1-1
31-May-16 12:00:00 AM;63;65;1350;37;1-1
31-May-16 12:00:00 AM;58;63;1860;48;2-4
31-May-16 12:00:00 AM;47;63;1052;11;2-7
31-May-16 12:00:00 AM;63;60;1264;55;1-4
