date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;64;1340;3;1-1
31-May-16 12:00:00 AM;3;64;2190;14;3-4
31-May-16 12:00:00 AM;4;64;1812;15;3-4
31-May-16 12:00:00 AM;6;64;1335;4;2-4
31-May-16 12:00:00 AM;7;64;2520;2;2-4
31-May-16 12:00:00 AM;5;64;1672;8;3-4
31-May-16 12:00:00 AM;8;64;1580;3;2-4
31-May-16 12:00:00 AM;9;64;765;4;2-4
31-May-16 12:00:00 AM;10;64;460;6;2-4
31-May-16 12:00:00 AM;11;64;1500;1;2-4
31-May-16 12:00:00 AM;12;64;1152;5;2-4
31-May-16 12:00:00 AM;16;64;1720;3;2-4
31-May-16 12:00:00 AM;17;64;840;2;2-4
31-May-16 12:00:00 AM;18;64;1200;1;2-4
31-May-16 12:00:00 AM;19;64;2250;2;2-4
31-May-16 12:00:00 AM;20;64;1230;4;2-4
31-May-16 12:00:00 AM;21;64;1275;4;2-4
31-May-16 12:00:00 AM;25;64;1040;3;1-1
31-May-16 12:00:00 AM;22;64;680;6;2-4
31-May-16 12:00:00 AM;23;64;1000;6;2-4
31-May-16 12:00:00 AM;24;64;1284;5;2-4
31-May-16 12:00:00 AM;26;64;1230;4;2-4
31-May-16 12:00:00 AM;27;64;370;6;2-4
31-May-16 12:00:00 AM;28;64;1160;3;2-4
31-May-16 12:00:00 AM;29;64;2600;3;2-4
31-May-16 12:00:00 AM;30;64;732;5;2-4
31-May-16 12:00:00 AM;31;64;480;3;2-4
31-May-16 12:00:00 AM;32;64;620;3;2-4
31-May-16 12:00:00 AM;35;64;600;2;1-1
31-May-16 12:00:00 AM;45;64;2500;3;1-1
31-May-16 12:00:00 AM;33;64;2010;2;2-4
31-May-16 12:00:00 AM;48;64;1825;12;1-1
31-May-16 12:00:00 AM;36;64;1761;11;2-4
31-May-16 12:00:00 AM;39;64;1162;8;2-4
31-May-16 12:00:00 AM;40;64;1582;8;2-4
31-May-16 12:00:00 AM;42;64;1470;8;2-4
31-May-16 12:00:00 AM;43;64;1450;12;2-4
31-May-16 12:00:00 AM;44;64;1032;5;2-4
31-May-16 12:00:00 AM;37;64;1956;15;2-4
31-May-16 12:00:00 AM;38;64;2292;10;2-4
31-May-16 12:00:00 AM;34;64;1507;8;3-3
31-May-16 12:00:00 AM;41;64;720;3;3-3
31-May-16 12:00:00 AM;46;64;1020;4;2-4
31-May-16 12:00:00 AM;50;64;540;3;2-4
31-May-16 12:00:00 AM;49;64;880;6;2-4
31-May-16 12:00:00 AM;51;64;1280;6;2-4
31-May-16 12:00:00 AM;52;64;672;5;2-4
31-May-16 12:00:00 AM;1;64;1388;7;2-4
31-May-16 12:00:00 AM;55;64;1370;6;1-4
31-May-16 12:00:00 AM;56;64;990;4;2-4
31-May-16 12:00:00 AM;57;64;1646;9;2-4
31-May-16 12:00:00 AM;58;64;2320;3;2-4
31-May-16 12:00:00 AM;59;64;500;6;2-4
31-May-16 12:00:00 AM;64;71;1920;5;3-3
31-May-16 12:00:00 AM;64;48;1825;12;3-3
31-May-16 12:00:00 AM;64;86;1320;5;3-3
31-May-16 12:00:00 AM;64;93;1817;7;3-3
31-May-16 12:00:00 AM;64;90;1280;6;3-3
31-May-16 12:00:00 AM;64;87;2780;3;3-3
31-May-16 12:00:00 AM;64;89;240;1;3-3
31-May-16 12:00:00 AM;64;39;1162;8;3-3
31-May-16 12:00:00 AM;73;64;1560;1;3-2
31-May-16 12:00:00 AM;84;64;1887;11;3-1
31-May-16 12:00:00 AM;86;64;1320;5;3-4
31-May-16 12:00:00 AM;91;64;1145;11;3-4
31-May-16 12:00:00 AM;88;64;1920;8;3-1
31-May-16 12:00:00 AM;92;64;651;7;3-1
31-May-16 12:00:00 AM;93;64;1817;7;3-1
31-May-16 12:00:00 AM;90;64;1280;6;3-1
31-May-16 12:00:00 AM;95;64;1680;4;3-2
31-May-16 12:00:00 AM;87;64;2066;9;3-1
31-May-16 12:00:00 AM;89;64;1300;6;3-1
31-May-16 12:00:00 AM;64;41;240;1;3-1
31-May-16 12:00:00 AM;64;3;2190;14;3-1
31-May-16 12:00:00 AM;64;36;1761;11;3-1
31-May-16 12:00:00 AM;64;4;1812;15;3-1
31-May-16 12:00:00 AM;64;40;1582;8;3-1
