date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;65;1980;3;1-1
31-May-16 12:00:00 AM;6;65;1423;11;2-4
31-May-16 12:00:00 AM;7;65;2200;9;2-4
31-May-16 12:00:00 AM;8;65;1406;9;2-4
31-May-16 12:00:00 AM;9;65;1940;6;2-4
31-May-16 12:00:00 AM;10;65;2200;12;2-4
31-May-16 12:00:00 AM;11;65;2245;7;2-4
31-May-16 12:00:00 AM;12;65;1965;8;2-4
31-May-16 12:00:00 AM;16;65;2220;10;2-4
31-May-16 12:00:00 AM;17;65;1294;7;2-4
31-May-16 12:00:00 AM;18;65;2292;10;2-4
31-May-16 12:00:00 AM;19;65;2092;8;2-4
31-May-16 12:00:00 AM;20;65;1614;11;2-4
31-May-16 12:00:00 AM;21;65;1093;9;2-4
31-May-16 12:00:00 AM;25;65;1680;3;1-1
31-May-16 12:00:00 AM;22;65;1440;10;2-4
31-May-16 12:00:00 AM;23;65;620;9;2-4
31-May-16 12:00:00 AM;24;65;1186;13;2-4
31-May-16 12:00:00 AM;26;65;949;11;2-4
31-May-16 12:00:00 AM;27;65;1815;8;2-4
31-May-16 12:00:00 AM;28;65;1573;13;2-4
31-May-16 12:00:00 AM;29;65;1760;9;2-4
31-May-16 12:00:00 AM;30;65;833;9;2-4
31-May-16 12:00:00 AM;31;65;1748;7;2-4
31-May-16 12:00:00 AM;32;65;1213;9;2-4
31-May-16 12:00:00 AM;35;65;1050;2;1-1
31-May-16 12:00:00 AM;45;65;1940;3;1-1
31-May-16 12:00:00 AM;33;65;1577;7;2-4
31-May-16 12:00:00 AM;48;65;1840;6;1-1
31-May-16 12:00:00 AM;36;65;1380;1;2-4
31-May-16 12:00:00 AM;39;65;1380;1;2-4
31-May-16 12:00:00 AM;40;65;1380;1;2-4
31-May-16 12:00:00 AM;42;65;1380;1;2-4
31-May-16 12:00:00 AM;43;65;1380;1;2-4
31-May-16 12:00:00 AM;44;65;786;10;2-4
31-May-16 12:00:00 AM;37;65;1290;4;2-4
31-May-16 12:00:00 AM;38;65;1320;1;2-4
31-May-16 12:00:00 AM;46;65;654;11;2-4
31-May-16 12:00:00 AM;50;65;770;6;2-4
31-May-16 12:00:00 AM;49;65;954;10;2-4
31-May-16 12:00:00 AM;51;65;2198;11;2-4
31-May-16 12:00:00 AM;52;65;810;8;2-4
