date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;66;2660;3;1-1
31-May-16 12:00:00 AM;6;66;1806;10;2-4
31-May-16 12:00:00 AM;7;66;1810;11;2-4
31-May-16 12:00:00 AM;8;66;1590;12;2-4
31-May-16 12:00:00 AM;9;66;1886;9;2-4
31-May-16 12:00:00 AM;10;66;1840;15;2-4
31-May-16 12:00:00 AM;11;66;1705;7;2-4
31-May-16 12:00:00 AM;12;66;1956;10;2-4
31-May-16 12:00:00 AM;16;66;1690;12;2-4
31-May-16 12:00:00 AM;17;66;1245;8;2-4
31-May-16 12:00:00 AM;18;66;1560;10;2-4
31-May-16 12:00:00 AM;19;66;1674;10;2-4
31-May-16 12:00:00 AM;20;66;2116;11;2-4
31-May-16 12:00:00 AM;21;66;2193;9;2-4
31-May-16 12:00:00 AM;25;66;2360;3;1-1
31-May-16 12:00:00 AM;22;66;1746;9;2-4
31-May-16 12:00:00 AM;23;66;2306;9;2-4
31-May-16 12:00:00 AM;24;66;1676;15;2-4
31-May-16 12:00:00 AM;26;66;2285;11;2-4
31-May-16 12:00:00 AM;27;66;1732;8;2-4
31-May-16 12:00:00 AM;28;66;1860;12;2-4
31-May-16 12:00:00 AM;29;66;1704;10;2-4
31-May-16 12:00:00 AM;30;66;1493;9;2-4
31-May-16 12:00:00 AM;31;66;1733;9;2-4
31-May-16 12:00:00 AM;32;66;1374;10;2-4
31-May-16 12:00:00 AM;35;66;780;2;1-1
31-May-16 12:00:00 AM;45;66;1420;3;1-1
31-May-16 12:00:00 AM;33;66;1671;7;2-4
31-May-16 12:00:00 AM;48;66;1272;5;1-1
31-May-16 12:00:00 AM;36;66;1680;1;2-4
31-May-16 12:00:00 AM;39;66;1680;1;2-4
31-May-16 12:00:00 AM;40;66;1680;1;2-4
31-May-16 12:00:00 AM;42;66;1680;1;2-4
31-May-16 12:00:00 AM;43;66;1680;1;2-4
31-May-16 12:00:00 AM;44;66;2045;11;2-4
31-May-16 12:00:00 AM;37;66;1260;3;2-4
31-May-16 12:00:00 AM;38;66;1620;1;2-4
31-May-16 12:00:00 AM;46;66;2220;10;2-4
31-May-16 12:00:00 AM;50;66;1191;7;2-4
31-May-16 12:00:00 AM;49;66;2280;12;2-4
31-May-16 12:00:00 AM;51;66;1635;12;2-4
31-May-16 12:00:00 AM;52;66;1672;8;2-4
