date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;67;1592;30;1-1
31-May-16 12:00:00 AM;6;67;1505;86;2-4
31-May-16 12:00:00 AM;7;67;1611;68;2-4
31-May-16 12:00:00 AM;10;67;1101;71;2-4
31-May-16 12:00:00 AM;8;67;1457;82;2-4
31-May-16 12:00:00 AM;11;67;1507;84;2-4
31-May-16 12:00:00 AM;9;67;1636;106;2-4
31-May-16 12:00:00 AM;12;67;1589;73;2-4
31-May-16 12:00:00 AM;13;67;1197;111;2-6
31-May-16 12:00:00 AM;14;67;1257;112;2-7
31-May-16 12:00:00 AM;15;67;1855;57;2-7
31-May-16 12:00:00 AM;16;67;1200;66;2-4
31-May-16 12:00:00 AM;17;67;1419;78;2-4
31-May-16 12:00:00 AM;18;67;1422;76;2-4
31-May-16 12:00:00 AM;19;67;1311;74;2-4
31-May-16 12:00:00 AM;20;67;1522;73;2-4
31-May-16 12:00:00 AM;21;67;1485;97;2-4
31-May-16 12:00:00 AM;25;67;2146;26;1-1
31-May-16 12:00:00 AM;22;67;1266;94;2-4
31-May-16 12:00:00 AM;23;67;1090;88;2-4
31-May-16 12:00:00 AM;24;67;1298;102;2-4
31-May-16 12:00:00 AM;26;67;1464;66;2-4
31-May-16 12:00:00 AM;27;67;1350;86;2-6
31-May-16 12:00:00 AM;28;67;1320;66;2-4
31-May-16 12:00:00 AM;29;67;1429;69;2-4
31-May-16 12:00:00 AM;30;67;1166;97;2-4
31-May-16 12:00:00 AM;31;67;1359;76;2-4
31-May-16 12:00:00 AM;32;67;987;70;2-4
31-May-16 12:00:00 AM;35;67;805;24;1-1
31-May-16 12:00:00 AM;45;67;2250;28;1-1
31-May-16 12:00:00 AM;33;67;1155;72;2-1
31-May-16 12:00:00 AM;48;67;1152;35;1-1
31-May-16 12:00:00 AM;36;67;1143;31;2-4
31-May-16 12:00:00 AM;39;67;2018;22;2-4
31-May-16 12:00:00 AM;40;67;1836;36;2-4
31-May-16 12:00:00 AM;42;67;1516;36;2-4
31-May-16 12:00:00 AM;44;67;1548;66;2-1
31-May-16 12:00:00 AM;43;67;1252;32;2-4
31-May-16 12:00:00 AM;37;67;1396;30;2-4
31-May-16 12:00:00 AM;38;67;780;14;2-4
31-May-16 12:00:00 AM;46;67;1366;100;2-4
31-May-16 12:00:00 AM;50;67;1314;62;2-4
31-May-16 12:00:00 AM;49;67;1694;90;2-4
31-May-16 12:00:00 AM;51;67;1388;84;2-4
31-May-16 12:00:00 AM;1;67;1287;66;2-4
31-May-16 12:00:00 AM;52;67;1367;74;2-4
31-May-16 12:00:00 AM;55;67;1618;90;1-4
31-May-16 12:00:00 AM;54;67;1670;62;2-7
31-May-16 12:00:00 AM;57;67;1200;84;2-4
31-May-16 12:00:00 AM;56;67;1178;79;2-4
31-May-16 12:00:00 AM;58;67;1678;70;2-4
31-May-16 12:00:00 AM;59;67;1119;78;2-4
