date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;7;68;1711;70;2-2
31-May-16 12:00:00 AM;2;68;1951;21;1-1
31-May-16 12:00:00 AM;6;68;1614;54;2-4
31-May-16 12:00:00 AM;10;68;1586;66;2-4
31-May-16 12:00:00 AM;8;68;1744;51;2-4
31-May-16 12:00:00 AM;11;68;1913;29;2-4
31-May-16 12:00:00 AM;9;68;1692;38;2-4
31-May-16 12:00:00 AM;12;68;1582;27;2-4
31-May-16 12:00:00 AM;16;68;1753;63;2-4
31-May-16 12:00:00 AM;17;68;1568;29;2-4
31-May-16 12:00:00 AM;18;68;1857;27;2-4
31-May-16 12:00:00 AM;19;68;1823;57;2-4
31-May-16 12:00:00 AM;20;68;1541;73;2-4
31-May-16 12:00:00 AM;21;68;1405;36;2-4
31-May-16 12:00:00 AM;25;68;1745;21;1-1
31-May-16 12:00:00 AM;22;68;1420;63;2-4
31-May-16 12:00:00 AM;23;68;1650;52;2-4
31-May-16 12:00:00 AM;24;68;1849;45;2-4
31-May-16 12:00:00 AM;26;68;1569;26;2-4
31-May-16 12:00:00 AM;27;68;1518;38;2-1
31-May-16 12:00:00 AM;28;68;1767;59;2-4
31-May-16 12:00:00 AM;29;68;1878;30;2-4
31-May-16 12:00:00 AM;30;68;1390;42;2-4
31-May-16 12:00:00 AM;31;68;1732;70;2-4
31-May-16 12:00:00 AM;32;68;1452;71;2-4
31-May-16 12:00:00 AM;35;68;1380;17;1-1
31-May-16 12:00:00 AM;45;68;1806;20;1-1
31-May-16 12:00:00 AM;33;68;1420;25;2-1
31-May-16 12:00:00 AM;48;68;1127;14;1-1
31-May-16 12:00:00 AM;36;68;1876;11;2-4
31-May-16 12:00:00 AM;39;68;2002;16;2-4
31-May-16 12:00:00 AM;40;68;1663;26;2-4
31-May-16 12:00:00 AM;42;68;1742;23;2-4
31-May-16 12:00:00 AM;44;68;1445;32;2-1
31-May-16 12:00:00 AM;43;68;1812;14;2-4
31-May-16 12:00:00 AM;37;68;1595;17;2-4
31-May-16 12:00:00 AM;38;68;1491;7;2-4
31-May-16 12:00:00 AM;46;68;1556;38;2-4
31-May-16 12:00:00 AM;50;68;1661;29;2-4
31-May-16 12:00:00 AM;49;68;1626;57;2-4
31-May-16 12:00:00 AM;51;68;1693;69;2-4
31-May-16 12:00:00 AM;1;68;1323;47;2-4
31-May-16 12:00:00 AM;52;68;1404;35;2-4
31-May-16 12:00:00 AM;55;68;1603;52;1-4
31-May-16 12:00:00 AM;57;68;1340;29;2-4
31-May-16 12:00:00 AM;56;68;1663;69;2-2
31-May-16 12:00:00 AM;58;68;1584;32;2-4
31-May-16 12:00:00 AM;59;68;1483;82;2-4
31-May-16 12:00:00 AM;66;68;1607;53;1-1
31-May-16 12:00:00 AM;60;68;1689;59;2-4
31-May-16 12:00:00 AM;63;68;1905;34;2-4
31-May-16 12:00:00 AM;61;68;1663;59;2-4
31-May-16 12:00:00 AM;62;68;1509;65;2-4
31-May-16 12:00:00 AM;47;68;1156;22;1-4
31-May-16 12:00:00 AM;67;68;1219;61;1-1
31-May-16 12:00:00 AM;68;68;1212;166;1-1
31-May-16 12:00:00 AM;68;69;1253;43;1-1
31-May-16 12:00:00 AM;68;70;1451;42;1-1
31-May-16 12:00:00 AM;65;68;1824;57;2-4
31-May-16 12:00:00 AM;68;67;1212;88;1-4
31-May-16 12:00:00 AM;69;68;1714;45;1-4
31-May-16 12:00:00 AM;68;71;1203;19;2-4
31-May-16 12:00:00 AM;68;72;1558;36;2-4
31-May-16 12:00:00 AM;68;73;1328;7;2-4
31-May-16 12:00:00 AM;68;74;1578;30;2-4
31-May-16 12:00:00 AM;68;75;1266;30;2-4
31-May-16 12:00:00 AM;68;53;1072;23;2-4
31-May-16 12:00:00 AM;68;82;1913;26;2-4
31-May-16 12:00:00 AM;68;83;943;18;2-4
31-May-16 12:00:00 AM;68;80;891;20;2-4
31-May-16 12:00:00 AM;68;78;928;19;2-4
31-May-16 12:00:00 AM;68;76;738;13;2-4
31-May-16 12:00:00 AM;68;79;1143;18;2-4
31-May-16 12:00:00 AM;68;77;1094;21;2-4
31-May-16 12:00:00 AM;68;84;1303;11;2-4
31-May-16 12:00:00 AM;68;85;1494;20;2-4
31-May-16 12:00:00 AM;68;81;1333;23;2-4
31-May-16 12:00:00 AM;68;48;1750;23;2-4
31-May-16 12:00:00 AM;68;86;1370;13;2-4
31-May-16 12:00:00 AM;68;87;1482;20;2-4
31-May-16 12:00:00 AM;68;88;1176;10;2-4
31-May-16 12:00:00 AM;68;89;1560;10;2-4
