date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;69;3030;4;1-1
31-May-16 12:00:00 AM;6;69;1445;12;2-4
31-May-16 12:00:00 AM;7;69;2016;10;2-4
31-May-16 12:00:00 AM;8;69;1530;12;2-4
31-May-16 12:00:00 AM;9;69;1652;13;2-4
31-May-16 12:00:00 AM;10;69;1990;12;2-4
31-May-16 12:00:00 AM;11;69;1833;9;2-4
31-May-16 12:00:00 AM;12;69;2082;10;2-4
31-May-16 12:00:00 AM;13;69;1855;12;2-6
31-May-16 12:00:00 AM;16;69;2085;12;2-4
31-May-16 12:00:00 AM;17;69;1302;7;2-4
31-May-16 12:00:00 AM;18;69;1635;8;2-4
31-May-16 12:00:00 AM;19;69;1835;12;2-4
31-May-16 12:00:00 AM;20;69;853;9;2-4
31-May-16 12:00:00 AM;21;69;1590;14;2-4
31-May-16 12:00:00 AM;25;69;540;3;1-1
31-May-16 12:00:00 AM;22;69;2170;12;2-4
31-May-16 12:00:00 AM;23;69;1305;12;2-4
31-May-16 12:00:00 AM;24;69;1126;13;2-4
31-May-16 12:00:00 AM;26;69;1068;10;2-4
31-May-16 12:00:00 AM;27;69;1830;10;2-4
31-May-16 12:00:00 AM;28;69;1344;10;2-4
31-May-16 12:00:00 AM;29;69;1660;9;2-4
31-May-16 12:00:00 AM;30;69;1145;12;2-4
31-May-16 12:00:00 AM;31;69;1920;11;2-4
31-May-16 12:00:00 AM;32;69;1566;10;2-4
31-May-16 12:00:00 AM;35;69;1230;2;1-1
31-May-16 12:00:00 AM;45;69;2000;3;1-1
31-May-16 12:00:00 AM;33;69;1566;9;2-4
31-May-16 12:00:00 AM;48;69;1572;5;1-1
31-May-16 12:00:00 AM;36;69;1200;1;2-4
31-May-16 12:00:00 AM;39;69;1200;1;2-4
31-May-16 12:00:00 AM;40;69;1200;1;2-4
31-May-16 12:00:00 AM;42;69;1200;1;2-4
31-May-16 12:00:00 AM;43;69;1200;1;2-4
31-May-16 12:00:00 AM;44;69;725;11;2-4
31-May-16 12:00:00 AM;37;69;1730;6;2-4
31-May-16 12:00:00 AM;38;69;1140;1;2-4
31-May-16 12:00:00 AM;46;69;1234;14;2-4
31-May-16 12:00:00 AM;50;69;1530;8;2-4
31-May-16 12:00:00 AM;49;69;1175;12;2-4
31-May-16 12:00:00 AM;51;69;1800;11;2-4
31-May-16 12:00:00 AM;52;69;1675;13;2-4
31-May-16 12:00:00 AM;1;69;1616;15;2-4
31-May-16 12:00:00 AM;55;69;1162;16;1-4
31-May-16 12:00:00 AM;56;69;1165;12;2-4
31-May-16 12:00:00 AM;57;69;572;11;2-4
31-May-16 12:00:00 AM;58;69;1560;8;2-4
31-May-16 12:00:00 AM;59;69;1358;11;2-4
31-May-16 12:00:00 AM;60;69;1226;9;2-4
31-May-16 12:00:00 AM;61;69;1095;12;2-4
31-May-16 12:00:00 AM;62;69;1686;10;2-4
31-May-16 12:00:00 AM;63;69;1340;9;2-4
31-May-16 12:00:00 AM;47;69;630;4;1-4
31-May-16 12:00:00 AM;65;69;708;16;2-4
31-May-16 12:00:00 AM;66;69;860;15;2-4
31-May-16 12:00:00 AM;69;70;1606;9;2-4
31-May-16 12:00:00 AM;69;71;1568;7;2-4
31-May-16 12:00:00 AM;69;72;1672;8;2-4
31-May-16 12:00:00 AM;69;73;180;1;2-4
31-May-16 12:00:00 AM;69;74;1645;7;2-4
31-May-16 12:00:00 AM;69;75;548;7;2-4
31-May-16 12:00:00 AM;69;53;360;4;2-4
31-May-16 12:00:00 AM;69;82;1650;8;2-4
31-May-16 12:00:00 AM;69;83;2244;5;2-4
31-May-16 12:00:00 AM;69;80;2208;5;2-4
31-May-16 12:00:00 AM;69;78;2220;5;2-4
31-May-16 12:00:00 AM;69;76;2292;5;2-4
31-May-16 12:00:00 AM;69;79;2125;7;2-4
31-May-16 12:00:00 AM;69;77;1120;3;2-4
31-May-16 12:00:00 AM;69;84;1635;4;2-4
31-May-16 12:00:00 AM;69;85;1650;8;2-4
31-May-16 12:00:00 AM;69;81;2530;6;2-4
31-May-16 12:00:00 AM;69;48;1520;3;2-4
31-May-16 12:00:00 AM;69;86;1020;1;2-4
31-May-16 12:00:00 AM;69;87;1645;7;2-4
31-May-16 12:00:00 AM;69;88;1020;1;2-4
31-May-16 12:00:00 AM;69;89;1020;1;2-4
31-May-16 12:00:00 AM;69;91;1020;1;2-4
31-May-16 12:00:00 AM;69;92;1020;1;2-4
31-May-16 12:00:00 AM;69;93;1020;1;2-4
31-May-16 12:00:00 AM;69;90;1080;1;2-4
31-May-16 12:00:00 AM;69;94;1920;5;2-4
31-May-16 12:00:00 AM;69;47;968;7;2-4
31-May-16 12:00:00 AM;69;95;2376;5;2-4
31-May-16 12:00:00 AM;69;46;1058;14;2-1
31-May-16 12:00:00 AM;69;33;1566;9;2-1
31-May-16 12:00:00 AM;69;12;1963;11;2-1
31-May-16 12:00:00 AM;69;32;1560;11;2-1
31-May-16 12:00:00 AM;69;51;1800;11;2-1
31-May-16 12:00:00 AM;69;59;1358;11;2-1
31-May-16 12:00:00 AM;69;56;1176;13;2-1
31-May-16 12:00:00 AM;69;68;1031;16;2-1
31-May-16 12:00:00 AM;69;26;1068;10;2-1
31-May-16 12:00:00 AM;69;7;2016;10;2-1
31-May-16 12:00:00 AM;69;29;1660;9;2-1
31-May-16 12:00:00 AM;69;20;912;10;2-1
31-May-16 12:00:00 AM;69;24;1131;14;2-1
31-May-16 12:00:00 AM;69;10;1990;12;2-1
31-May-16 12:00:00 AM;69;30;1189;11;2-1
31-May-16 12:00:00 AM;69;67;1148;28;2-6
31-May-16 12:00:00 AM;70;69;1606;9;2-1
31-May-16 12:00:00 AM;72;69;1392;15;2-1
31-May-16 12:00:00 AM;75;69;548;7;2-1
31-May-16 12:00:00 AM;82;69;1834;14;2-1
31-May-16 12:00:00 AM;85;69;1834;14;2-1
31-May-16 12:00:00 AM;94;69;480;2;2-7
31-May-16 12:00:00 AM;74;69;1645;7;2-1
31-May-16 12:00:00 AM;69;13;1854;11;2-1
31-May-16 12:00:00 AM;69;58;1520;9;2-1
31-May-16 12:00:00 AM;69;21;1592;13;2-1
31-May-16 12:00:00 AM;69;28;1344;10;2-1
31-May-16 12:00:00 AM;69;27;1213;9;2-1
31-May-16 12:00:00 AM;69;52;1637;14;2-1
31-May-16 12:00:00 AM;69;15;1200;8;2-1
31-May-16 12:00:00 AM;69;50;1530;8;2-1
31-May-16 12:00:00 AM;69;31;1860;12;2-1
31-May-16 12:00:00 AM;69;16;2021;13;2-1
31-May-16 12:00:00 AM;69;14;1581;17;2-6
31-May-16 12:00:00 AM;69;9;1652;13;2-6
31-May-16 12:00:00 AM;69;62;1477;8;2-6
31-May-16 12:00:00 AM;69;60;1020;13;2-6
31-May-16 12:00:00 AM;54;69;1410;2;2-7
31-May-16 12:00:00 AM;15;69;1251;7;2-7
31-May-16 12:00:00 AM;14;69;1581;17;2-7
31-May-16 12:00:00 AM;68;69;1200;11;2-7
31-May-16 12:00:00 AM;67;69;1085;24;2-7
31-May-16 12:00:00 AM;41;69;2224;13;2-4
31-May-16 12:00:00 AM;69;49;1053;9;2-6
31-May-16 12:00:00 AM;69;6;1273;9;2-6
31-May-16 12:00:00 AM;69;18;960;5;2-6
31-May-16 12:00:00 AM;69;22;1812;10;2-6
31-May-16 12:00:00 AM;69;61;2130;6;2-6
31-May-16 12:00:00 AM;69;54;1340;3;2-6
31-May-16 12:00:00 AM;69;55;1103;13;2-6
31-May-16 12:00:00 AM;69;65;1620;5;2-6
31-May-16 12:00:00 AM;69;19;1767;11;2-6
31-May-16 12:00:00 AM;3;69;1630;6;2-4
31-May-16 12:00:00 AM;69;63;1340;9;2-1
31-May-16 12:00:00 AM;69;66;860;15;2-1
31-May-16 12:00:00 AM;71;69;1568;7;1-2
31-May-16 12:00:00 AM;69;11;1953;9;2-6
31-May-16 12:00:00 AM;84;69;1540;3;1-4
31-May-16 12:00:00 AM;87;69;1645;7;1-4
31-May-16 12:00:00 AM;4;69;2196;5;1-2
31-May-16 12:00:00 AM;77;69;120;1;1-1
31-May-16 12:00:00 AM;69;17;600;4;1-4
31-May-16 12:00:00 AM;69;4;540;2;1-4
31-May-16 12:00:00 AM;69;64;760;3;1-4
31-May-16 12:00:00 AM;69;5;1620;2;1-4
31-May-16 12:00:00 AM;69;8;2145;4;1-4
31-May-16 12:00:00 AM;69;57;600;13;1-4
31-May-16 12:00:00 AM;69;44;2400;3;1-4
31-May-16 12:00:00 AM;69;35;60;1;1-2
31-May-16 12:00:00 AM;95;69;690;2;1-4
31-May-16 12:00:00 AM;78;69;420;1;1-1
31-May-16 12:00:00 AM;76;69;240;1;1-1
31-May-16 12:00:00 AM;83;69;240;1;1-1
31-May-16 12:00:00 AM;79;69;240;1;2-1
31-May-16 12:00:00 AM;53;69;960;1;1-1
31-May-16 12:00:00 AM;69;96;1700;3;2-4
31-May-16 12:00:00 AM;69;97;2800;3;2-4
31-May-16 12:00:00 AM;69;98;2600;3;2-4
