date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;6;1445;32;1-1
31-May-16 12:00:00 AM;2;6;1964;15;1-1
31-May-16 12:00:00 AM;5;6;818;14;1-1
31-May-16 12:00:00 AM;6;6;1444;93;1-1
31-May-16 12:00:00 AM;7;6;1634;41;1-4
31-May-16 12:00:00 AM;6;6;1444;93;1-4
31-May-16 12:00:00 AM;6;7;1406;55;1-1
31-May-16 12:00:00 AM;6;8;1688;43;1-1
31-May-16 12:00:00 AM;6;9;1807;38;1-1
31-May-16 12:00:00 AM;6;5;1231;21;1-4
31-May-16 12:00:00 AM;6;10;1604;59;1-1
31-May-16 12:00:00 AM;6;11;2090;38;1-1
31-May-16 12:00:00 AM;6;12;1352;51;1-1
31-May-16 12:00:00 AM;6;13;1778;51;2-4
31-May-16 12:00:00 AM;6;14;1411;51;2-4
31-May-16 12:00:00 AM;6;15;1519;52;2-4
31-May-16 12:00:00 AM;6;16;1622;55;2-4
31-May-16 12:00:00 AM;6;17;1751;47;2-4
31-May-16 12:00:00 AM;6;18;1255;50;2-4
31-May-16 12:00:00 AM;6;19;1727;57;2-4
31-May-16 12:00:00 AM;6;20;1609;47;2-4
31-May-16 12:00:00 AM;6;21;1701;33;2-4
31-May-16 12:00:00 AM;6;22;1413;34;2-4
31-May-16 12:00:00 AM;6;23;1612;41;2-4
31-May-16 12:00:00 AM;6;24;1642;45;2-4
31-May-16 12:00:00 AM;6;26;1632;40;2-4
31-May-16 12:00:00 AM;6;27;1618;38;2-4
31-May-16 12:00:00 AM;6;28;1700;58;2-4
31-May-16 12:00:00 AM;6;29;1636;45;2-4
31-May-16 12:00:00 AM;6;30;1517;51;2-4
31-May-16 12:00:00 AM;6;31;1549;57;2-4
31-May-16 12:00:00 AM;6;32;1552;69;2-4
31-May-16 12:00:00 AM;6;33;1849;44;2-4
31-May-16 12:00:00 AM;6;34;1632;14;2-4
31-May-16 12:00:00 AM;6;36;1740;12;2-4
31-May-16 12:00:00 AM;6;39;2330;19;2-4
31-May-16 12:00:00 AM;6;40;1581;14;2-4
31-May-16 12:00:00 AM;6;41;1590;14;2-4
31-May-16 12:00:00 AM;6;42;1615;14;2-4
31-May-16 12:00:00 AM;6;43;1777;16;2-4
31-May-16 12:00:00 AM;6;44;1719;41;2-4
31-May-16 12:00:00 AM;6;37;1389;13;2-4
31-May-16 12:00:00 AM;6;38;2044;15;2-4
31-May-16 12:00:00 AM;6;46;1626;43;2-4
31-May-16 12:00:00 AM;6;50;1452;49;2-4
31-May-16 12:00:00 AM;6;49;1602;42;2-4
31-May-16 12:00:00 AM;6;51;1579;56;2-4
31-May-16 12:00:00 AM;6;52;1444;60;2-4
31-May-16 12:00:00 AM;6;1;1433;28;2-4
31-May-16 12:00:00 AM;6;54;1735;36;2-4
31-May-16 12:00:00 AM;6;55;1870;34;2-4
31-May-16 12:00:00 AM;6;47;1789;28;2-4
31-May-16 12:00:00 AM;6;56;1521;56;2-4
31-May-16 12:00:00 AM;6;57;1666;46;2-4
31-May-16 12:00:00 AM;6;58;1781;42;2-4
31-May-16 12:00:00 AM;6;59;1548;56;2-4
31-May-16 12:00:00 AM;6;60;1437;55;2-4
31-May-16 12:00:00 AM;6;61;1656;31;2-4
31-May-16 12:00:00 AM;6;62;1664;45;2-4
31-May-16 12:00:00 AM;6;63;1482;55;2-4
31-May-16 12:00:00 AM;6;64;1224;22;2-4
31-May-16 12:00:00 AM;6;65;1533;40;2-4
31-May-16 12:00:00 AM;6;66;1313;45;2-4
31-May-16 12:00:00 AM;6;67;1505;86;2-4
31-May-16 12:00:00 AM;6;68;1614;54;2-4
31-May-16 12:00:00 AM;6;69;1388;44;2-4
31-May-16 12:00:00 AM;6;70;1716;49;2-4
31-May-16 12:00:00 AM;6;71;1443;17;2-4
31-May-16 12:00:00 AM;6;72;1796;39;2-4
31-May-16 12:00:00 AM;6;73;1398;13;2-4
31-May-16 12:00:00 AM;6;74;1776;48;2-4
31-May-16 12:00:00 AM;6;75;1438;46;2-4
