date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;70;2087;19;1-1
31-May-16 12:00:00 AM;6;70;1716;49;2-4
31-May-16 12:00:00 AM;7;70;1573;27;2-4
31-May-16 12:00:00 AM;10;70;1325;36;2-4
31-May-16 12:00:00 AM;8;70;1590;36;2-4
31-May-16 12:00:00 AM;11;70;1904;35;2-4
31-May-16 12:00:00 AM;9;70;1701;33;2-4
31-May-16 12:00:00 AM;12;70;1455;40;2-4
31-May-16 12:00:00 AM;14;70;1496;38;2-7
31-May-16 12:00:00 AM;15;70;1650;45;2-7
31-May-16 12:00:00 AM;16;70;1376;45;2-4
31-May-16 12:00:00 AM;17;70;1670;32;2-4
31-May-16 12:00:00 AM;18;70;1767;40;2-4
31-May-16 12:00:00 AM;19;70;1317;29;2-4
31-May-16 12:00:00 AM;20;70;1566;35;2-4
31-May-16 12:00:00 AM;21;70;1655;37;2-4
31-May-16 12:00:00 AM;25;70;1950;18;1-1
31-May-16 12:00:00 AM;22;70;1516;51;2-4
31-May-16 12:00:00 AM;23;70;1605;41;2-4
31-May-16 12:00:00 AM;24;70;1556;57;2-4
31-May-16 12:00:00 AM;26;70;2018;42;2-4
31-May-16 12:00:00 AM;27;70;1380;26;2-1
31-May-16 12:00:00 AM;28;70;1645;35;2-4
31-May-16 12:00:00 AM;29;70;1454;46;2-4
31-May-16 12:00:00 AM;30;70;1483;26;2-4
31-May-16 12:00:00 AM;31;70;1241;29;2-4
31-May-16 12:00:00 AM;32;70;1258;32;2-4
31-May-16 12:00:00 AM;35;70;1296;15;1-1
31-May-16 12:00:00 AM;45;70;1883;18;1-1
31-May-16 12:00:00 AM;33;70;1201;37;2-1
31-May-16 12:00:00 AM;48;70;1002;17;1-1
31-May-16 12:00:00 AM;36;70;1772;13;2-4
31-May-16 12:00:00 AM;39;70;2596;15;2-4
31-May-16 12:00:00 AM;40;70;2166;19;2-4
31-May-16 12:00:00 AM;42;70;1976;15;2-4
31-May-16 12:00:00 AM;44;70;1860;28;2-1
31-May-16 12:00:00 AM;43;70;1683;16;2-4
31-May-16 12:00:00 AM;37;70;1795;13;2-4
31-May-16 12:00:00 AM;38;70;1500;2;2-4
31-May-16 12:00:00 AM;46;70;1642;29;2-4
31-May-16 12:00:00 AM;50;70;1548;36;2-4
31-May-16 12:00:00 AM;49;70;1891;44;2-4
31-May-16 12:00:00 AM;51;70;1378;30;2-4
31-May-16 12:00:00 AM;1;70;1344;41;2-4
31-May-16 12:00:00 AM;52;70;1470;40;2-4
31-May-16 12:00:00 AM;55;70;1772;45;1-4
31-May-16 12:00:00 AM;54;70;1660;43;2-7
31-May-16 12:00:00 AM;57;70;1632;51;2-7
31-May-16 12:00:00 AM;56;70;1583;38;2-4
31-May-16 12:00:00 AM;58;70;1548;43;2-4
31-May-16 12:00:00 AM;59;70;1386;39;2-4
31-May-16 12:00:00 AM;60;70;1459;25;2-4
31-May-16 12:00:00 AM;63;70;1644;32;2-4
31-May-16 12:00:00 AM;61;70;1672;51;2-4
31-May-16 12:00:00 AM;62;70;1635;28;2-4
31-May-16 12:00:00 AM;47;70;1136;15;1-4
31-May-16 12:00:00 AM;67;70;1668;43;1-1
31-May-16 12:00:00 AM;68;70;1451;42;1-1
31-May-16 12:00:00 AM;69;70;1255;42;1-1
31-May-16 12:00:00 AM;65;70;1698;46;2-4
31-May-16 12:00:00 AM;70;70;1046;120;1-1
31-May-16 12:00:00 AM;70;71;1605;17;1-1
31-May-16 12:00:00 AM;70;72;1623;34;1-1
31-May-16 12:00:00 AM;70;73;681;11;1-1
31-May-16 12:00:00 AM;70;74;1484;45;1-1
31-May-16 12:00:00 AM;66;70;1599;44;2-1
31-May-16 12:00:00 AM;70;75;1070;53;1-1
31-May-16 12:00:00 AM;70;76;1310;32;1-1
31-May-16 12:00:00 AM;70;77;1181;36;1-1
31-May-16 12:00:00 AM;70;1;1756;26;1-4
31-May-16 12:00:00 AM;70;53;1166;30;2-1
31-May-16 12:00:00 AM;70;82;1384;15;2-1
31-May-16 12:00:00 AM;70;83;1208;30;2-1
31-May-16 12:00:00 AM;70;80;1289;35;2-1
31-May-16 12:00:00 AM;70;78;1286;32;2-1
31-May-16 12:00:00 AM;70;79;1369;33;2-1
31-May-16 12:00:00 AM;70;85;1836;20;2-1
31-May-16 12:00:00 AM;70;81;1347;39;2-1
31-May-16 12:00:00 AM;70;94;1664;30;2-1
31-May-16 12:00:00 AM;70;48;1432;24;2-1
