date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;71;1200;3;1-1
31-May-16 12:00:00 AM;3;71;1884;10;3-4
31-May-16 12:00:00 AM;4;71;2270;12;3-4
31-May-16 12:00:00 AM;6;71;2520;2;2-4
31-May-16 12:00:00 AM;7;71;1240;3;2-4
31-May-16 12:00:00 AM;5;71;1515;8;3-4
31-May-16 12:00:00 AM;8;71;2320;3;2-4
31-May-16 12:00:00 AM;9;71;1260;4;2-4
31-May-16 12:00:00 AM;10;71;1305;4;2-4
31-May-16 12:00:00 AM;11;71;1800;1;2-4
31-May-16 12:00:00 AM;12;71;2520;2;2-4
31-May-16 12:00:00 AM;16;71;2440;3;2-4
31-May-16 12:00:00 AM;17;71;2200;3;2-4
31-May-16 12:00:00 AM;18;71;1935;4;2-4
31-May-16 12:00:00 AM;19;71;1320;4;2-4
31-May-16 12:00:00 AM;20;71;1455;4;2-4
31-May-16 12:00:00 AM;21;71;1608;5;2-4
31-May-16 12:00:00 AM;25;71;900;3;1-1
31-May-16 12:00:00 AM;22;71;1748;7;2-4
31-May-16 12:00:00 AM;23;71;1695;4;2-4
31-May-16 12:00:00 AM;24;71;1728;5;2-4
31-May-16 12:00:00 AM;26;71;1752;5;2-4
31-May-16 12:00:00 AM;27;71;525;4;2-4
31-May-16 12:00:00 AM;28;71;2010;2;2-4
31-May-16 12:00:00 AM;29;71;1200;3;2-4
31-May-16 12:00:00 AM;30;71;1536;5;2-4
31-May-16 12:00:00 AM;31;71;2100;2;2-4
31-May-16 12:00:00 AM;32;71;2540;3;2-4
31-May-16 12:00:00 AM;35;71;1380;2;1-1
31-May-16 12:00:00 AM;45;71;2360;3;1-1
31-May-16 12:00:00 AM;33;71;1020;6;2-4
31-May-16 12:00:00 AM;48;71;3172;8;1-1
31-May-16 12:00:00 AM;36;71;1300;6;2-4
31-May-16 12:00:00 AM;39;71;1236;5;2-4
31-May-16 12:00:00 AM;40;71;1308;5;2-4
31-May-16 12:00:00 AM;42;71;1548;5;2-4
31-May-16 12:00:00 AM;43;71;728;7;2-4
31-May-16 12:00:00 AM;44;71;1920;5;2-4
31-May-16 12:00:00 AM;37;71;893;9;2-4
31-May-16 12:00:00 AM;38;71;970;6;2-4
31-May-16 12:00:00 AM;34;71;936;10;3-6
31-May-16 12:00:00 AM;41;71;1560;5;3-6
31-May-16 12:00:00 AM;46;71;1776;5;2-4
31-May-16 12:00:00 AM;50;71;1580;3;2-4
31-May-16 12:00:00 AM;49;71;1530;4;2-4
31-May-16 12:00:00 AM;51;71;620;3;2-4
31-May-16 12:00:00 AM;52;71;1380;4;2-4
31-May-16 12:00:00 AM;55;71;630;2;1-4
31-May-16 12:00:00 AM;56;71;1224;5;2-4
31-May-16 12:00:00 AM;57;71;1873;9;2-4
31-May-16 12:00:00 AM;58;71;795;4;2-4
31-May-16 12:00:00 AM;59;71;1584;5;2-4
31-May-16 12:00:00 AM;60;71;1830;2;2-4
31-May-16 12:00:00 AM;61;71;1470;4;2-4
31-May-16 12:00:00 AM;62;71;1110;2;2-4
31-May-16 12:00:00 AM;63;71;1200;3;2-4
31-May-16 12:00:00 AM;47;71;320;3;1-4
31-May-16 12:00:00 AM;64;71;1920;5;3-3
31-May-16 12:00:00 AM;65;71;1750;6;2-4
31-May-16 12:00:00 AM;66;71;1930;6;2-4
31-May-16 12:00:00 AM;68;71;1890;4;2-4
31-May-16 12:00:00 AM;69;71;1568;7;2-4
31-May-16 12:00:00 AM;1;71;1162;8;2-4
31-May-16 12:00:00 AM;70;71;1656;5;2-4
31-May-16 12:00:00 AM;71;48;1765;21;3-6
31-May-16 12:00:00 AM;71;89;3231;7;3-6
31-May-16 12:00:00 AM;71;3;1821;11;3-6
31-May-16 12:00:00 AM;71;42;1140;3;3-6
31-May-16 12:00:00 AM;71;86;2755;12;3-3
31-May-16 12:00:00 AM;71;93;1812;5;3-3
31-May-16 12:00:00 AM;71;90;1230;4;3-3
31-May-16 12:00:00 AM;71;87;2598;13;3-3
31-May-16 12:00:00 AM;71;39;1236;5;3-3
31-May-16 12:00:00 AM;71;57;1856;15;3-3
31-May-16 12:00:00 AM;71;4;1770;2;3-3
31-May-16 12:00:00 AM;71;34;936;10;3-3
31-May-16 12:00:00 AM;82;71;2364;5;2-4
31-May-16 12:00:00 AM;85;71;2025;4;2-4
31-May-16 12:00:00 AM;84;71;2530;6;3-1
31-May-16 12:00:00 AM;86;71;2467;8;3-4
31-May-16 12:00:00 AM;88;71;2952;5;3-4
31-May-16 12:00:00 AM;91;71;2748;5;3-4
31-May-16 12:00:00 AM;92;71;2745;4;3-4
31-May-16 12:00:00 AM;90;71;1240;3;3-4
31-May-16 12:00:00 AM;87;71;2598;13;3-1
31-May-16 12:00:00 AM;89;71;3231;7;3-1
31-May-16 12:00:00 AM;93;71;1812;5;3-1
31-May-16 12:00:00 AM;71;85;2025;4;1-2
31-May-16 12:00:00 AM;71;88;2950;6;1-2
31-May-16 12:00:00 AM;71;8;2320;3;1-2
31-May-16 12:00:00 AM;71;55;1940;3;1-2
31-May-16 12:00:00 AM;71;28;2010;2;1-2
31-May-16 12:00:00 AM;71;61;1470;4;1-2
31-May-16 12:00:00 AM;71;21;1608;5;1-2
31-May-16 12:00:00 AM;71;70;1656;5;1-2
31-May-16 12:00:00 AM;71;26;1752;5;1-2
31-May-16 12:00:00 AM;71;56;1224;5;1-2
31-May-16 12:00:00 AM;71;20;1455;4;1-2
31-May-16 12:00:00 AM;71;24;1728;5;1-2
31-May-16 12:00:00 AM;71;46;1776;5;1-2
31-May-16 12:00:00 AM;71;44;1920;5;1-2
31-May-16 12:00:00 AM;71;49;1530;4;1-2
31-May-16 12:00:00 AM;71;23;1695;4;1-2
31-May-16 12:00:00 AM;71;74;3000;3;1-2
31-May-16 12:00:00 AM;71;65;1750;6;1-2
31-May-16 12:00:00 AM;71;66;1930;6;1-2
31-May-16 12:00:00 AM;71;6;2520;2;1-2
31-May-16 12:00:00 AM;71;52;1380;4;1-2
31-May-16 12:00:00 AM;71;59;1584;5;1-2
31-May-16 12:00:00 AM;71;69;1568;7;1-2
31-May-16 12:00:00 AM;71;35;0;1;1-2
31-May-16 12:00:00 AM;71;14;2940;3;1-2
31-May-16 12:00:00 AM;71;32;2540;3;1-2
31-May-16 12:00:00 AM;71;75;1770;2;1-2
31-May-16 12:00:00 AM;71;50;1580;3;1-2
31-May-16 12:00:00 AM;71;17;2200;3;1-2
31-May-16 12:00:00 AM;71;60;1830;2;1-2
31-May-16 12:00:00 AM;71;63;1200;3;1-2
31-May-16 12:00:00 AM;71;9;1260;4;1-2
31-May-16 12:00:00 AM;71;30;1536;5;1-2
31-May-16 12:00:00 AM;71;22;1748;7;1-2
31-May-16 12:00:00 AM;71;72;3060;2;1-2
31-May-16 12:00:00 AM;71;10;1305;4;1-2
31-May-16 12:00:00 AM;71;27;525;4;1-2
31-May-16 12:00:00 AM;71;31;2100;2;1-2
31-May-16 12:00:00 AM;71;54;2920;3;1-2
31-May-16 12:00:00 AM;74;71;1080;2;1-4
31-May-16 12:00:00 AM;94;71;1740;4;2-4
31-May-16 12:00:00 AM;76;71;2004;5;2-4
