date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;72;2120;3;1-1
31-May-16 12:00:00 AM;6;72;1860;9;2-4
31-May-16 12:00:00 AM;7;72;1824;10;2-4
31-May-16 12:00:00 AM;8;72;1476;10;2-4
31-May-16 12:00:00 AM;9;72;1465;7;2-4
31-May-16 12:00:00 AM;10;72;1696;11;2-4
31-May-16 12:00:00 AM;11;72;1840;6;2-4
31-May-16 12:00:00 AM;12;72;1695;8;2-4
31-May-16 12:00:00 AM;16;72;1393;13;2-4
31-May-16 12:00:00 AM;17;72;1688;7;2-4
31-May-16 12:00:00 AM;18;72;1353;9;2-4
31-May-16 12:00:00 AM;19;72;1800;9;2-4
31-May-16 12:00:00 AM;20;72;1446;9;2-4
31-May-16 12:00:00 AM;21;72;1465;7;2-4
31-May-16 12:00:00 AM;25;72;1820;3;1-1
31-May-16 12:00:00 AM;22;72;1453;13;2-4
31-May-16 12:00:00 AM;23;72;2394;10;2-4
31-May-16 12:00:00 AM;24;72;1710;12;2-4
31-May-16 12:00:00 AM;26;72;1105;12;2-4
31-May-16 12:00:00 AM;27;72;2092;8;2-4
31-May-16 12:00:00 AM;28;72;1236;10;2-4
31-May-16 12:00:00 AM;29;72;1687;8;2-4
31-May-16 12:00:00 AM;30;72;1392;10;2-4
31-May-16 12:00:00 AM;31;72;1710;6;2-4
31-May-16 12:00:00 AM;32;72;1785;8;2-4
31-May-16 12:00:00 AM;35;72;2010;2;1-1
31-May-16 12:00:00 AM;45;72;2080;3;1-1
31-May-16 12:00:00 AM;33;72;1522;8;2-4
31-May-16 12:00:00 AM;48;72;1305;4;1-1
31-May-16 12:00:00 AM;36;72;2160;1;2-4
31-May-16 12:00:00 AM;39;72;2160;1;2-4
31-May-16 12:00:00 AM;40;72;2160;1;2-4
31-May-16 12:00:00 AM;42;72;2160;1;2-4
31-May-16 12:00:00 AM;43;72;2160;1;2-4
31-May-16 12:00:00 AM;44;72;1600;9;2-4
31-May-16 12:00:00 AM;37;72;1920;3;2-4
31-May-16 12:00:00 AM;38;72;2100;1;2-4
31-May-16 12:00:00 AM;46;72;1293;9;2-4
31-May-16 12:00:00 AM;50;72;1405;7;2-4
31-May-16 12:00:00 AM;49;72;1790;13;2-4
31-May-16 12:00:00 AM;51;72;1570;11;2-4
31-May-16 12:00:00 AM;52;72;1420;12;2-4
31-May-16 12:00:00 AM;55;72;1525;12;1-4
31-May-16 12:00:00 AM;56;72;1045;14;2-4
31-May-16 12:00:00 AM;57;72;860;9;2-4
31-May-16 12:00:00 AM;58;72;1545;8;2-4
31-May-16 12:00:00 AM;59;72;1465;14;2-4
31-May-16 12:00:00 AM;60;72;1638;10;2-4
31-May-16 12:00:00 AM;61;72;1065;12;2-4
31-May-16 12:00:00 AM;62;72;1580;6;2-4
31-May-16 12:00:00 AM;63;72;1157;7;2-4
31-May-16 12:00:00 AM;47;72;220;3;1-4
31-May-16 12:00:00 AM;65;72;1688;15;2-4
31-May-16 12:00:00 AM;66;72;1435;14;2-4
31-May-16 12:00:00 AM;68;72;1140;9;2-4
31-May-16 12:00:00 AM;69;72;1672;8;2-4
31-May-16 12:00:00 AM;1;72;917;7;2-4
31-May-16 12:00:00 AM;70;72;1380;12;2-4
31-May-16 12:00:00 AM;72;82;2475;4;2-4
31-May-16 12:00:00 AM;72;83;1525;7;2-4
31-May-16 12:00:00 AM;72;53;420;2;2-4
31-May-16 12:00:00 AM;72;80;1480;6;2-4
31-May-16 12:00:00 AM;72;78;1425;8;2-4
31-May-16 12:00:00 AM;72;76;486;10;2-4
31-May-16 12:00:00 AM;72;79;615;8;2-4
31-May-16 12:00:00 AM;72;77;1525;7;2-4
31-May-16 12:00:00 AM;72;84;1470;2;2-4
31-May-16 12:00:00 AM;72;85;2400;4;2-4
31-May-16 12:00:00 AM;72;81;1354;7;2-4
31-May-16 12:00:00 AM;72;48;1840;3;2-4
31-May-16 12:00:00 AM;72;86;780;2;2-4
31-May-16 12:00:00 AM;72;87;890;6;2-4
31-May-16 12:00:00 AM;72;88;900;1;2-4
31-May-16 12:00:00 AM;72;89;900;1;2-4
31-May-16 12:00:00 AM;72;91;900;1;2-4
31-May-16 12:00:00 AM;72;92;900;1;2-4
31-May-16 12:00:00 AM;72;93;900;1;2-4
31-May-16 12:00:00 AM;72;90;960;1;2-4
31-May-16 12:00:00 AM;72;94;690;10;2-4
31-May-16 12:00:00 AM;72;47;624;5;2-4
31-May-16 12:00:00 AM;72;95;2355;4;2-4
