date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;73;2820;1;1-1
31-May-16 12:00:00 AM;3;73;2835;4;3-4
31-May-16 12:00:00 AM;4;73;3192;5;3-4
31-May-16 12:00:00 AM;6;73;1920;1;2-4
31-May-16 12:00:00 AM;7;73;1920;1;2-4
31-May-16 12:00:00 AM;5;73;1860;2;3-4
31-May-16 12:00:00 AM;8;73;1800;1;2-4
31-May-16 12:00:00 AM;9;73;1800;1;2-4
31-May-16 12:00:00 AM;10;73;1800;1;2-4
31-May-16 12:00:00 AM;11;73;1800;1;2-4
31-May-16 12:00:00 AM;12;73;1800;1;2-4
31-May-16 12:00:00 AM;16;73;1560;1;2-4
31-May-16 12:00:00 AM;17;73;1560;1;2-4
31-May-16 12:00:00 AM;18;73;1500;1;2-4
31-May-16 12:00:00 AM;19;73;1500;1;2-4
31-May-16 12:00:00 AM;20;73;1500;1;2-4
31-May-16 12:00:00 AM;21;73;1500;1;2-4
31-May-16 12:00:00 AM;25;73;1320;1;1-1
31-May-16 12:00:00 AM;22;73;1380;1;2-4
31-May-16 12:00:00 AM;23;73;1380;1;2-4
31-May-16 12:00:00 AM;24;73;1380;1;2-4
31-May-16 12:00:00 AM;26;73;1320;1;2-4
31-May-16 12:00:00 AM;27;73;1260;1;2-4
31-May-16 12:00:00 AM;28;73;1200;1;2-4
31-May-16 12:00:00 AM;29;73;1200;1;2-4
31-May-16 12:00:00 AM;30;73;1200;1;2-4
31-May-16 12:00:00 AM;31;73;1140;1;2-4
31-May-16 12:00:00 AM;32;73;1140;1;2-4
31-May-16 12:00:00 AM;35;73;960;1;1-1
31-May-16 12:00:00 AM;45;73;900;1;1-1
31-May-16 12:00:00 AM;33;73;1020;1;2-4
31-May-16 12:00:00 AM;48;73;840;1;1-1
31-May-16 12:00:00 AM;36;73;1200;4;2-4
31-May-16 12:00:00 AM;39;73;960;3;2-4
31-May-16 12:00:00 AM;40;73;960;3;2-4
31-May-16 12:00:00 AM;42;73;1200;4;2-4
31-May-16 12:00:00 AM;43;73;1035;4;2-4
31-May-16 12:00:00 AM;44;73;960;1;2-4
31-May-16 12:00:00 AM;37;73;1140;4;2-4
31-May-16 12:00:00 AM;38;73;1500;4;2-4
31-May-16 12:00:00 AM;46;73;840;1;2-4
31-May-16 12:00:00 AM;50;73;840;1;2-4
31-May-16 12:00:00 AM;49;73;780;1;2-4
31-May-16 12:00:00 AM;51;73;720;1;2-4
31-May-16 12:00:00 AM;52;73;720;1;2-4
31-May-16 12:00:00 AM;55;73;630;2;1-4
31-May-16 12:00:00 AM;56;73;540;1;2-4
31-May-16 12:00:00 AM;57;73;540;1;2-4
31-May-16 12:00:00 AM;58;73;480;1;2-4
31-May-16 12:00:00 AM;59;73;420;1;2-4
31-May-16 12:00:00 AM;60;73;360;1;2-4
31-May-16 12:00:00 AM;61;73;360;1;2-4
31-May-16 12:00:00 AM;62;73;360;1;2-4
31-May-16 12:00:00 AM;63;73;360;1;2-4
31-May-16 12:00:00 AM;47;73;270;2;1-4
31-May-16 12:00:00 AM;65;73;300;1;2-4
31-May-16 12:00:00 AM;66;73;300;1;2-4
31-May-16 12:00:00 AM;68;73;180;1;2-4
31-May-16 12:00:00 AM;69;73;180;1;2-4
31-May-16 12:00:00 AM;1;73;880;3;2-4
31-May-16 12:00:00 AM;70;73;120;1;2-4
31-May-16 12:00:00 AM;73;84;1470;2;3-2
31-May-16 12:00:00 AM;73;91;960;1;3-2
31-May-16 12:00:00 AM;73;95;2970;2;3-2
31-May-16 12:00:00 AM;73;38;1920;2;3-2
31-May-16 12:00:00 AM;73;43;2520;1;3-2
31-May-16 12:00:00 AM;73;30;1020;1;3-2
31-May-16 12:00:00 AM;73;40;1620;1;3-2
31-May-16 12:00:00 AM;73;42;2520;1;3-2
31-May-16 12:00:00 AM;73;64;1560;1;3-2
31-May-16 12:00:00 AM;73;3;2520;1;3-2
31-May-16 12:00:00 AM;73;93;2520;1;3-2
31-May-16 12:00:00 AM;73;4;2520;1;3-2
31-May-16 12:00:00 AM;73;34;3120;1;3-2
31-May-16 12:00:00 AM;73;90;2520;1;3-2
31-May-16 12:00:00 AM;73;36;720;1;3-2
31-May-16 12:00:00 AM;73;92;3420;1;3-2
31-May-16 12:00:00 AM;73;89;840;1;3-2
31-May-16 12:00:00 AM;73;88;1320;1;3-2
31-May-16 12:00:00 AM;73;5;3120;1;3-2
31-May-16 12:00:00 AM;73;48;3120;1;3-2
31-May-16 12:00:00 AM;41;73;3420;1;2-4
31-May-16 12:00:00 AM;71;73;3300;3;2-4
31-May-16 12:00:00 AM;86;73;1770;2;3-4
31-May-16 12:00:00 AM;96;73;300;1;2-4
31-May-16 12:00:00 AM;97;73;240;1;2-4
31-May-16 12:00:00 AM;98;73;120;1;2-4
31-May-16 12:00:00 AM;100;73;60;1;2-4
31-May-16 12:00:00 AM;101;73;0;1;2-4
31-May-16 12:00:00 AM;102;73;3540;1;2-4
31-May-16 12:00:00 AM;103;73;3420;1;2-4
31-May-16 12:00:00 AM;104;73;3120;1;2-4
31-May-16 12:00:00 AM;105;73;3060;1;2-4
31-May-16 12:00:00 AM;106;73;2820;1;2-4
31-May-16 12:00:00 AM;107;73;2700;1;2-4
31-May-16 12:00:00 AM;108;73;2460;1;2-4
