date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;74;3080;3;1-1
31-May-16 12:00:00 AM;6;74;1760;9;2-4
31-May-16 12:00:00 AM;7;74;2254;7;2-4
31-May-16 12:00:00 AM;8;74;1546;9;2-4
31-May-16 12:00:00 AM;9;74;1770;6;2-4
31-May-16 12:00:00 AM;10;74;2033;9;2-4
31-May-16 12:00:00 AM;11;74;1810;11;2-4
31-May-16 12:00:00 AM;12;74;2182;8;2-4
31-May-16 12:00:00 AM;14;74;1412;13;2-7
31-May-16 12:00:00 AM;15;74;1953;9;2-7
31-May-16 12:00:00 AM;16;74;1770;8;2-4
31-May-16 12:00:00 AM;17;74;1660;9;2-4
31-May-16 12:00:00 AM;18;74;1855;13;2-4
31-May-16 12:00:00 AM;19;74;1545;8;2-4
31-May-16 12:00:00 AM;20;74;728;7;2-4
31-May-16 12:00:00 AM;21;74;906;10;2-4
31-May-16 12:00:00 AM;25;74;2780;3;1-1
31-May-16 12:00:00 AM;22;74;1920;9;2-4
31-May-16 12:00:00 AM;23;74;930;8;2-4
31-May-16 12:00:00 AM;24;74;826;13;2-4
31-May-16 12:00:00 AM;26;74;936;13;2-4
31-May-16 12:00:00 AM;27;74;1780;9;2-4
31-May-16 12:00:00 AM;28;74;1086;10;2-4
31-May-16 12:00:00 AM;29;74;1713;9;2-4
31-May-16 12:00:00 AM;30;74;1080;7;2-4
31-May-16 12:00:00 AM;31;74;1608;5;2-4
31-May-16 12:00:00 AM;32;74;1056;5;2-4
31-May-16 12:00:00 AM;35;74;1140;2;1-1
31-May-16 12:00:00 AM;45;74;1840;3;1-1
31-May-16 12:00:00 AM;33;74;1447;8;2-4
31-May-16 12:00:00 AM;48;74;1488;5;1-1
31-May-16 12:00:00 AM;36;74;840;1;2-4
31-May-16 12:00:00 AM;39;74;840;1;2-4
31-May-16 12:00:00 AM;40;74;840;1;2-4
31-May-16 12:00:00 AM;42;74;840;1;2-4
31-May-16 12:00:00 AM;43;74;840;1;2-4
31-May-16 12:00:00 AM;44;74;1225;12;2-4
31-May-16 12:00:00 AM;37;74;1080;3;2-4
31-May-16 12:00:00 AM;38;74;780;1;2-4
31-May-16 12:00:00 AM;46;74;313;9;2-4
31-May-16 12:00:00 AM;50;74;1500;7;2-4
31-May-16 12:00:00 AM;49;74;1420;9;2-4
31-May-16 12:00:00 AM;51;74;1540;9;2-4
31-May-16 12:00:00 AM;52;74;1816;11;2-4
31-May-16 12:00:00 AM;55;74;1015;12;1-4
31-May-16 12:00:00 AM;54;74;1465;7;2-7
31-May-16 12:00:00 AM;56;74;270;8;2-4
31-May-16 12:00:00 AM;57;74;570;12;2-4
31-May-16 12:00:00 AM;58;74;1236;10;2-4
31-May-16 12:00:00 AM;59;74;1540;9;2-4
31-May-16 12:00:00 AM;60;74;490;6;2-4
31-May-16 12:00:00 AM;61;74;878;11;2-4
31-May-16 12:00:00 AM;62;74;1270;6;2-4
31-May-16 12:00:00 AM;63;74;1282;8;2-4
31-May-16 12:00:00 AM;47;74;240;3;1-4
31-May-16 12:00:00 AM;65;74;1397;7;2-4
31-May-16 12:00:00 AM;66;74;1026;10;2-4
31-May-16 12:00:00 AM;68;74;950;6;2-4
31-May-16 12:00:00 AM;69;74;1645;7;2-4
31-May-16 12:00:00 AM;1;74;465;8;2-4
31-May-16 12:00:00 AM;70;74;1041;14;2-4
31-May-16 12:00:00 AM;74;82;2100;5;2-4
31-May-16 12:00:00 AM;74;83;806;9;2-4
31-May-16 12:00:00 AM;74;53;405;4;2-4
31-May-16 12:00:00 AM;74;80;1470;10;2-4
31-May-16 12:00:00 AM;74;78;1452;10;2-4
31-May-16 12:00:00 AM;74;76;997;8;2-4
31-May-16 12:00:00 AM;74;79;885;8;2-4
31-May-16 12:00:00 AM;74;77;1054;7;2-4
31-May-16 12:00:00 AM;74;84;1695;4;2-4
31-May-16 12:00:00 AM;74;85;2130;6;2-4
31-May-16 12:00:00 AM;74;81;922;8;2-4
31-May-16 12:00:00 AM;74;48;1580;3;2-4
31-May-16 12:00:00 AM;74;86;900;1;2-4
31-May-16 12:00:00 AM;74;87;1474;7;2-4
31-May-16 12:00:00 AM;74;88;900;1;2-4
31-May-16 12:00:00 AM;74;89;900;1;2-4
31-May-16 12:00:00 AM;74;91;900;1;2-4
31-May-16 12:00:00 AM;74;92;900;1;2-4
31-May-16 12:00:00 AM;74;93;900;1;2-4
31-May-16 12:00:00 AM;74;90;960;1;2-4
31-May-16 12:00:00 AM;74;94;1126;9;2-4
31-May-16 12:00:00 AM;74;47;1656;5;2-4
31-May-16 12:00:00 AM;74;95;2508;5;2-4
31-May-16 12:00:00 AM;72;74;666;9;2-1
31-May-16 12:00:00 AM;74;46;770;6;2-1
31-May-16 12:00:00 AM;74;33;1251;7;2-1
31-May-16 12:00:00 AM;75;74;825;4;2-1
31-May-16 12:00:00 AM;82;74;2177;7;2-1
31-May-16 12:00:00 AM;85;74;1985;12;2-1
31-May-16 12:00:00 AM;94;74;1126;9;2-7
31-May-16 12:00:00 AM;74;32;1236;10;2-1
31-May-16 12:00:00 AM;74;51;1540;9;2-1
31-May-16 12:00:00 AM;74;59;1540;9;2-1
31-May-16 12:00:00 AM;74;56;660;5;2-1
31-May-16 12:00:00 AM;74;68;1035;8;2-1
31-May-16 12:00:00 AM;74;26;1490;6;2-1
31-May-16 12:00:00 AM;74;7;1546;9;2-1
31-May-16 12:00:00 AM;74;29;1695;8;2-1
31-May-16 12:00:00 AM;74;20;2148;5;2-1
31-May-16 12:00:00 AM;74;24;823;11;2-1
31-May-16 12:00:00 AM;74;10;2033;9;2-1
31-May-16 12:00:00 AM;74;30;1062;7;2-1
31-May-16 12:00:00 AM;74;54;1670;6;2-1
31-May-16 12:00:00 AM;74;69;1645;7;2-1
31-May-16 12:00:00 AM;74;12;2182;8;2-7
31-May-16 12:00:00 AM;74;50;1500;7;2-7
31-May-16 12:00:00 AM;74;58;1236;10;2-7
31-May-16 12:00:00 AM;74;75;825;4;2-7
31-May-16 12:00:00 AM;74;52;1816;11;2-7
31-May-16 12:00:00 AM;74;70;1041;14;2-7
31-May-16 12:00:00 AM;74;17;1660;9;2-7
31-May-16 12:00:00 AM;74;44;1225;12;2-7
31-May-16 12:00:00 AM;74;63;1282;8;2-7
31-May-16 12:00:00 AM;74;11;1810;11;2-7
31-May-16 12:00:00 AM;74;18;1855;13;2-7
31-May-16 12:00:00 AM;74;57;570;12;2-7
31-May-16 12:00:00 AM;74;21;2040;4;2-7
31-May-16 12:00:00 AM;74;55;726;9;2-7
31-May-16 12:00:00 AM;74;6;1245;8;2-7
31-May-16 12:00:00 AM;74;28;1962;7;2-7
31-May-16 12:00:00 AM;74;8;1393;9;2-7
31-May-16 12:00:00 AM;74;65;886;9;2-7
31-May-16 12:00:00 AM;74;62;980;3;2-7
31-May-16 12:00:00 AM;74;49;1320;9;2-7
31-May-16 12:00:00 AM;74;13;870;6;2-7
31-May-16 12:00:00 AM;74;61;732;10;2-7
31-May-16 12:00:00 AM;74;66;1980;11;2-7
31-May-16 12:00:00 AM;74;22;540;4;2-7
31-May-16 12:00:00 AM;74;60;588;5;2-7
31-May-16 12:00:00 AM;74;27;1674;10;2-7
31-May-16 12:00:00 AM;74;16;1770;8;2-7
31-May-16 12:00:00 AM;74;72;634;7;2-7
31-May-16 12:00:00 AM;74;67;1200;16;2-7
31-May-16 12:00:00 AM;74;19;1305;8;2-7
31-May-16 12:00:00 AM;74;31;1671;7;2-7
31-May-16 12:00:00 AM;74;9;2905;7;2-7
31-May-16 12:00:00 AM;74;23;1780;3;2-7
31-May-16 12:00:00 AM;74;41;1920;6;2-7
31-May-16 12:00:00 AM;41;74;1920;6;2-4
31-May-16 12:00:00 AM;67;74;1210;12;2-6
31-May-16 12:00:00 AM;3;74;1320;6;2-4
31-May-16 12:00:00 AM;71;74;3000;3;1-2
31-May-16 12:00:00 AM;77;74;2700;2;1-4
31-May-16 12:00:00 AM;84;74;1500;3;1-4
31-May-16 12:00:00 AM;87;74;1320;4;1-4
31-May-16 12:00:00 AM;4;74;2280;3;1-2
31-May-16 12:00:00 AM;74;14;1265;12;1-4
