date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;75;1100;3;1-1
31-May-16 12:00:00 AM;6;75;1445;11;2-4
31-May-16 12:00:00 AM;7;75;2177;7;2-4
31-May-16 12:00:00 AM;8;75;1560;9;2-4
31-May-16 12:00:00 AM;9;75;1812;5;2-4
31-May-16 12:00:00 AM;10;75;1950;10;2-4
31-May-16 12:00:00 AM;11;75;2426;9;2-4
31-May-16 12:00:00 AM;12;75;1401;11;2-4
31-May-16 12:00:00 AM;14;75;1625;12;2-7
31-May-16 12:00:00 AM;15;75;1998;10;2-7
31-May-16 12:00:00 AM;16;75;1542;10;2-4
31-May-16 12:00:00 AM;17;75;1747;8;2-4
31-May-16 12:00:00 AM;18;75;1740;9;2-4
31-May-16 12:00:00 AM;19;75;1567;8;2-4
31-May-16 12:00:00 AM;20;75;1037;7;2-4
31-May-16 12:00:00 AM;21;75;1290;8;2-4
31-May-16 12:00:00 AM;25;75;800;3;1-1
31-May-16 12:00:00 AM;22;75;1085;11;2-4
31-May-16 12:00:00 AM;23;75;1315;12;2-4
31-May-16 12:00:00 AM;24;75;1500;16;2-4
31-May-16 12:00:00 AM;26;75;1365;12;2-4
31-May-16 12:00:00 AM;27;75;2480;6;2-4
31-May-16 12:00:00 AM;28;75;1093;9;2-4
31-May-16 12:00:00 AM;29;75;1986;10;2-4
31-May-16 12:00:00 AM;30;75;1110;6;2-4
31-May-16 12:00:00 AM;31;75;1117;8;2-4
31-May-16 12:00:00 AM;32;75;1174;7;2-4
31-May-16 12:00:00 AM;35;75;600;2;1-1
31-May-16 12:00:00 AM;45;75;2260;3;1-1
31-May-16 12:00:00 AM;33;75;1935;8;2-4
31-May-16 12:00:00 AM;48;75;1770;4;1-1
31-May-16 12:00:00 AM;36;75;1380;1;2-4
31-May-16 12:00:00 AM;39;75;1380;1;2-4
31-May-16 12:00:00 AM;40;75;1380;1;2-4
31-May-16 12:00:00 AM;42;75;1380;1;2-4
31-May-16 12:00:00 AM;43;75;1380;1;2-4
31-May-16 12:00:00 AM;44;75;1324;14;2-4
31-May-16 12:00:00 AM;37;75;1660;3;2-4
31-May-16 12:00:00 AM;38;75;1320;1;2-4
31-May-16 12:00:00 AM;46;75;900;6;2-4
31-May-16 12:00:00 AM;50;75;1193;9;2-4
31-May-16 12:00:00 AM;49;75;1035;12;2-4
31-May-16 12:00:00 AM;51;75;1808;7;2-4
31-May-16 12:00:00 AM;52;75;1052;13;2-4
31-May-16 12:00:00 AM;55;75;1270;12;1-4
31-May-16 12:00:00 AM;54;75;1293;9;2-7
31-May-16 12:00:00 AM;56;75;1012;8;2-4
31-May-16 12:00:00 AM;57;75;1158;13;2-4
31-May-16 12:00:00 AM;58;75;1765;12;2-4
31-May-16 12:00:00 AM;59;75;648;10;2-4
31-May-16 12:00:00 AM;60;75;950;6;2-4
31-May-16 12:00:00 AM;61;75;850;11;2-4
31-May-16 12:00:00 AM;62;75;1234;7;2-4
31-May-16 12:00:00 AM;63;75;883;11;2-4
31-May-16 12:00:00 AM;47;75;270;2;1-4
31-May-16 12:00:00 AM;65;75;748;15;2-4
31-May-16 12:00:00 AM;66;75;917;14;2-4
31-May-16 12:00:00 AM;68;75;968;7;2-4
31-May-16 12:00:00 AM;69;75;548;7;2-4
31-May-16 12:00:00 AM;1;75;968;7;2-4
31-May-16 12:00:00 AM;70;75;938;14;2-4
