date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;76;2472;14;1-1
31-May-16 12:00:00 AM;6;76;1336;18;2-4
31-May-16 12:00:00 AM;7;76;2321;19;2-4
31-May-16 12:00:00 AM;10;76;1778;14;2-4
31-May-16 12:00:00 AM;8;76;2092;16;2-4
31-May-16 12:00:00 AM;11;76;1934;17;2-4
31-May-16 12:00:00 AM;9;76;1428;10;2-4
31-May-16 12:00:00 AM;12;76;2121;20;2-4
31-May-16 12:00:00 AM;14;76;2053;23;2-7
31-May-16 12:00:00 AM;15;76;1835;17;2-7
31-May-16 12:00:00 AM;16;76;1578;13;2-4
31-May-16 12:00:00 AM;17;76;1721;23;2-4
31-May-16 12:00:00 AM;18;76;1973;19;2-4
31-May-16 12:00:00 AM;19;76;2113;13;2-4
31-May-16 12:00:00 AM;20;76;1809;13;2-4
31-May-16 12:00:00 AM;21;76;941;13;2-4
31-May-16 12:00:00 AM;25;76;1712;13;1-1
31-May-16 12:00:00 AM;22;76;1761;17;2-4
31-May-16 12:00:00 AM;23;76;1329;20;2-4
31-May-16 12:00:00 AM;24;76;1396;32;2-4
31-May-16 12:00:00 AM;26;76;1296;26;2-4
31-May-16 12:00:00 AM;27;76;1712;11;2-1
31-May-16 12:00:00 AM;28;76;1894;14;2-4
31-May-16 12:00:00 AM;30;76;1832;15;2-4
31-May-16 12:00:00 AM;29;76;2055;24;2-4
31-May-16 12:00:00 AM;31;76;1192;15;2-4
31-May-16 12:00:00 AM;32;76;1645;14;2-4
31-May-16 12:00:00 AM;35;76;2033;9;1-1
31-May-16 12:00:00 AM;45;76;1975;13;1-1
31-May-16 12:00:00 AM;33;76;1733;19;2-1
31-May-16 12:00:00 AM;48;76;1631;16;1-1
31-May-16 12:00:00 AM;36;76;2434;7;2-4
31-May-16 12:00:00 AM;39;76;405;4;2-4
31-May-16 12:00:00 AM;40;76;1702;8;2-4
31-May-16 12:00:00 AM;42;76;1425;4;2-4
31-May-16 12:00:00 AM;44;76;1460;21;2-1
31-May-16 12:00:00 AM;43;76;960;6;2-4
31-May-16 12:00:00 AM;37;76;2148;10;2-4
31-May-16 12:00:00 AM;38;76;1320;2;2-4
31-May-16 12:00:00 AM;46;76;1500;19;2-4
31-May-16 12:00:00 AM;50;76;2073;20;2-4
31-May-16 12:00:00 AM;49;76;951;21;2-4
31-May-16 12:00:00 AM;51;76;1896;10;2-4
31-May-16 12:00:00 AM;52;76;1311;22;2-4
31-May-16 12:00:00 AM;55;76;1744;25;1-4
31-May-16 12:00:00 AM;54;76;1599;20;2-7
31-May-16 12:00:00 AM;57;76;1376;19;2-7
31-May-16 12:00:00 AM;56;76;1397;14;2-4
31-May-16 12:00:00 AM;58;76;1479;23;2-4
31-May-16 12:00:00 AM;59;76;942;17;2-4
31-May-16 12:00:00 AM;60;76;2165;12;2-4
31-May-16 12:00:00 AM;63;76;1471;23;2-4
31-May-16 12:00:00 AM;61;76;1050;16;2-4
31-May-16 12:00:00 AM;62;76;1684;13;2-4
31-May-16 12:00:00 AM;47;76;2021;23;1-1
31-May-16 12:00:00 AM;70;76;1310;32;1-1
31-May-16 12:00:00 AM;65;76;1232;22;2-4
31-May-16 12:00:00 AM;66;76;1780;18;2-1
31-May-16 12:00:00 AM;71;76;2192;13;1-1
31-May-16 12:00:00 AM;73;76;1915;12;1-1
31-May-16 12:00:00 AM;74;76;1612;33;1-1
31-May-16 12:00:00 AM;72;76;1302;28;1-1
31-May-16 12:00:00 AM;75;76;1500;31;1-1
31-May-16 12:00:00 AM;76;76;1048;59;1-1
31-May-16 12:00:00 AM;76;77;1256;37;1-1
31-May-16 12:00:00 AM;76;1;1682;21;1-1
31-May-16 12:00:00 AM;76;78;1244;53;1-1
31-May-16 12:00:00 AM;76;79;1627;41;1-1
31-May-16 12:00:00 AM;76;53;1725;28;1-1
31-May-16 12:00:00 AM;76;80;1538;45;1-1
31-May-16 12:00:00 AM;76;81;2106;47;1-1
31-May-16 12:00:00 AM;76;82;2446;13;1-1
31-May-16 12:00:00 AM;76;83;1736;35;1-1
31-May-16 12:00:00 AM;68;76;738;13;2-4
31-May-16 12:00:00 AM;69;76;1647;20;2-4
31-May-16 12:00:00 AM;1;76;1245;17;2-4
31-May-16 12:00:00 AM;82;76;2241;11;2-4
31-May-16 12:00:00 AM;83;76;1476;31;2-3
31-May-16 12:00:00 AM;53;76;1522;21;1-4
31-May-16 12:00:00 AM;80;76;1515;38;1-4
31-May-16 12:00:00 AM;78;76;1342;50;1-4
31-May-16 12:00:00 AM;77;76;1438;30;1-4
31-May-16 12:00:00 AM;79;76;1806;38;1-4
31-May-16 12:00:00 AM;76;94;2113;26;2-3
31-May-16 12:00:00 AM;76;48;1682;21;2-3
31-May-16 12:00:00 AM;76;47;1975;27;2-3
31-May-16 12:00:00 AM;85;76;2138;25;2-7
31-May-16 12:00:00 AM;94;76;1950;33;2-7
31-May-16 12:00:00 AM;81;76;1410;24;2-7
31-May-16 12:00:00 AM;76;87;2040;15;2-3
31-May-16 12:00:00 AM;41;76;2247;13;2-7
31-May-16 12:00:00 AM;3;76;1521;11;2-4
31-May-16 12:00:00 AM;84;76;2336;15;2-4
31-May-16 12:00:00 AM;87;76;2408;21;1-4
31-May-16 12:00:00 AM;76;60;1375;25;2-1
31-May-16 12:00:00 AM;76;17;1451;27;2-1
31-May-16 12:00:00 AM;76;63;1560;28;2-1
31-May-16 12:00:00 AM;76;72;1238;25;2-4
31-May-16 12:00:00 AM;76;27;1995;23;2-4
31-May-16 12:00:00 AM;76;4;2191;19;2-4
31-May-16 12:00:00 AM;76;54;1988;21;2-4
31-May-16 12:00:00 AM;76;67;1602;42;2-4
31-May-16 12:00:00 AM;76;71;1624;14;2-4
31-May-16 12:00:00 AM;76;22;2166;27;1-4
31-May-16 12:00:00 AM;76;9;1713;23;1-4
31-May-16 12:00:00 AM;76;30;1432;24;1-4
31-May-16 12:00:00 AM;76;13;1504;25;2-4
31-May-16 12:00:00 AM;76;64;942;17;2-4
31-May-16 12:00:00 AM;76;15;2019;23;2-4
31-May-16 12:00:00 AM;76;33;1547;24;2-4
31-May-16 12:00:00 AM;76;10;1488;25;1-4
31-May-16 12:00:00 AM;76;5;784;14;2-4
31-May-16 12:00:00 AM;76;85;1998;19;2-4
31-May-16 12:00:00 AM;76;31;1459;22;1-4
31-May-16 12:00:00 AM;76;68;1695;28;1-4
31-May-16 12:00:00 AM;76;55;1560;24;2-4
31-May-16 12:00:00 AM;76;51;1262;25;1-4
31-May-16 12:00:00 AM;76;12;1412;28;1-4
31-May-16 12:00:00 AM;76;16;1404;25;1-4
31-May-16 12:00:00 AM;76;29;1940;26;1-4
31-May-16 12:00:00 AM;76;7;1565;22;1-4
31-May-16 12:00:00 AM;76;70;1509;26;2-4
31-May-16 12:00:00 AM;76;58;1421;26;1-4
31-May-16 12:00:00 AM;76;19;2016;20;1-4
31-May-16 12:00:00 AM;76;18;1613;29;1-4
31-May-16 12:00:00 AM;76;66;1673;26;2-4
31-May-16 12:00:00 AM;76;95;1954;19;2-4
31-May-16 12:00:00 AM;76;84;2047;17;1-4
31-May-16 12:00:00 AM;76;8;1880;24;1-4
31-May-16 12:00:00 AM;76;24;1341;33;1-4
31-May-16 12:00:00 AM;76;20;1870;24;1-4
31-May-16 12:00:00 AM;76;21;1257;25;1-4
31-May-16 12:00:00 AM;76;61;1297;27;1-4
31-May-16 12:00:00 AM;76;14;2010;24;2-4
31-May-16 12:00:00 AM;76;57;1483;25;2-4
31-May-16 12:00:00 AM;76;6;1758;29;1-4
31-May-16 12:00:00 AM;76;44;1178;25;2-4
31-May-16 12:00:00 AM;76;28;1524;22;1-4
31-May-16 12:00:00 AM;76;74;1184;27;2-4
31-May-16 12:00:00 AM;76;65;1905;24;1-4
31-May-16 12:00:00 AM;76;56;1463;23;1-4
31-May-16 12:00:00 AM;67;76;1427;28;1-4
31-May-16 12:00:00 AM;13;76;1760;18;1-4
31-May-16 12:00:00 AM;95;76;1617;20;1-4
31-May-16 12:00:00 AM;76;26;1678;31;1-1
31-May-16 12:00:00 AM;76;23;1166;30;1-1
31-May-16 12:00:00 AM;76;69;1448;28;1-1
31-May-16 12:00:00 AM;76;49;987;26;1-1
31-May-16 12:00:00 AM;76;46;1750;24;1-1
31-May-16 12:00:00 AM;90;76;1641;11;1-4
31-May-16 12:00:00 AM;76;52;1746;26;2-7
31-May-16 12:00:00 AM;76;50;1825;26;2-7
31-May-16 12:00:00 AM;76;75;1389;25;2-7
31-May-16 12:00:00 AM;96;76;1193;19;2-4
31-May-16 12:00:00 AM;97;76;1140;24;2-4
31-May-16 12:00:00 AM;99;76;2428;27;1-1
31-May-16 12:00:00 AM;98;76;1208;21;2-4
31-May-16 12:00:00 AM;100;76;1058;17;2-4
31-May-16 12:00:00 AM;101;76;1380;13;2-4
31-May-16 12:00:00 AM;102;76;1573;22;2-4
31-May-16 12:00:00 AM;103;76;1757;21;2-4
31-May-16 12:00:00 AM;104;76;2088;16;2-4
31-May-16 12:00:00 AM;105;76;1276;18;2-7
31-May-16 12:00:00 AM;107;76;2557;24;2-7
31-May-16 12:00:00 AM;106;76;986;16;2-4
31-May-16 12:00:00 AM;109;76;2560;27;1-1
31-May-16 12:00:00 AM;5;76;1422;17;1-1
31-May-16 12:00:00 AM;108;76;1140;19;2-4
31-May-16 12:00:00 AM;89;76;2813;9;2-4
31-May-16 12:00:00 AM;34;76;1800;7;2-4
31-May-16 12:00:00 AM;88;76;2673;9;2-4
31-May-16 12:00:00 AM;92;76;2288;7;2-4
31-May-16 12:00:00 AM;93;76;2510;6;2-4
31-May-16 12:00:00 AM;64;76;775;13;1-4
31-May-16 12:00:00 AM;76;32;1502;26;2-1
31-May-16 12:00:00 AM;76;73;1590;12;2-4
31-May-16 12:00:00 AM;76;91;1350;14;2-4
31-May-16 12:00:00 AM;76;59;1673;19;1-4
31-May-16 12:00:00 AM;76;86;2413;13;1-4
31-May-16 12:00:00 AM;76;11;2138;14;1-4
31-May-16 12:00:00 AM;76;41;2476;11;1-4
31-May-16 12:00:00 AM;76;99;2432;43;1-4
31-May-16 12:00:00 AM;76;3;1853;9;1-4
31-May-16 12:00:00 AM;76;38;1812;14;1-4
31-May-16 12:00:00 AM;76;43;2230;11;1-4
31-May-16 12:00:00 AM;76;109;1838;39;1-4
31-May-16 12:00:00 AM;76;39;1372;15;1-4
31-May-16 12:00:00 AM;91;76;2004;15;1-4
31-May-16 12:00:00 AM;76;102;1813;22;1-4
31-May-16 12:00:00 AM;76;98;1713;20;1-4
31-May-16 12:00:00 AM;76;96;1597;21;1-4
31-May-16 12:00:00 AM;76;101;1566;18;1-4
31-May-16 12:00:00 AM;76;100;1586;23;1-4
31-May-16 12:00:00 AM;76;97;1112;22;1-4
31-May-16 12:00:00 AM;76;103;2253;9;1-4
31-May-16 12:00:00 AM;76;107;1173;9;1-4
31-May-16 12:00:00 AM;76;106;2600;9;1-4
31-May-16 12:00:00 AM;76;105;1566;9;1-4
31-May-16 12:00:00 AM;76;62;1176;13;1-4
31-May-16 12:00:00 AM;76;34;1640;12;1-4
31-May-16 12:00:00 AM;76;36;1668;10;1-4
31-May-16 12:00:00 AM;76;93;2528;14;1-4
31-May-16 12:00:00 AM;76;89;3154;7;1-4
31-May-16 12:00:00 AM;76;88;3257;7;1-4
31-May-16 12:00:00 AM;76;92;2854;7;1-4
31-May-16 12:00:00 AM;76;37;2373;9;1-4
31-May-16 12:00:00 AM;76;40;1642;16;1-4
