date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;77;1871;21;1-1
31-May-16 12:00:00 AM;6;77;1242;27;2-4
31-May-16 12:00:00 AM;7;77;1511;21;2-4
31-May-16 12:00:00 AM;10;77;1342;19;2-4
31-May-16 12:00:00 AM;8;77;1458;26;2-4
31-May-16 12:00:00 AM;11;77;1693;26;2-4
31-May-16 12:00:00 AM;9;77;1208;14;2-4
31-May-16 12:00:00 AM;12;77;1506;28;2-4
31-May-16 12:00:00 AM;14;77;1481;38;2-7
31-May-16 12:00:00 AM;15;77;1740;25;2-7
31-May-16 12:00:00 AM;16;77;1225;24;2-4
31-May-16 12:00:00 AM;17;77;1687;32;2-4
31-May-16 12:00:00 AM;18;77;1605;29;2-4
31-May-16 12:00:00 AM;19;77;1863;16;2-4
31-May-16 12:00:00 AM;20;77;1526;16;2-4
31-May-16 12:00:00 AM;21;77;1125;21;2-4
31-May-16 12:00:00 AM;25;77;1908;21;1-1
31-May-16 12:00:00 AM;22;77;1058;28;2-4
31-May-16 12:00:00 AM;23;77;1157;21;2-4
31-May-16 12:00:00 AM;24;77;1676;38;2-4
31-May-16 12:00:00 AM;26;77;940;30;2-4
31-May-16 12:00:00 AM;27;77;944;15;2-1
31-May-16 12:00:00 AM;28;77;1792;23;2-4
31-May-16 12:00:00 AM;30;77;1771;21;2-4
31-May-16 12:00:00 AM;29;77;1638;33;2-4
31-May-16 12:00:00 AM;31;77;1030;22;2-4
31-May-16 12:00:00 AM;32;77;1440;13;2-4
31-May-16 12:00:00 AM;35;77;1643;18;1-1
31-May-16 12:00:00 AM;45;77;2157;20;1-1
31-May-16 12:00:00 AM;33;77;1813;31;2-1
31-May-16 12:00:00 AM;48;77;1551;20;1-1
31-May-16 12:00:00 AM;36;77;2244;10;2-4
31-May-16 12:00:00 AM;39;77;900;4;2-4
31-May-16 12:00:00 AM;40;77;1920;16;2-4
31-May-16 12:00:00 AM;42;77;1704;15;2-4
31-May-16 12:00:00 AM;44;77;1579;28;2-1
31-May-16 12:00:00 AM;43;77;1150;6;2-4
31-May-16 12:00:00 AM;37;77;2017;19;2-4
31-May-16 12:00:00 AM;38;77;1668;5;2-4
31-May-16 12:00:00 AM;46;77;1620;21;2-4
31-May-16 12:00:00 AM;50;77;1666;26;2-4
31-May-16 12:00:00 AM;49;77;1497;29;2-4
31-May-16 12:00:00 AM;51;77;1475;17;2-4
31-May-16 12:00:00 AM;52;77;1305;28;2-4
31-May-16 12:00:00 AM;55;77;1570;30;1-4
31-May-16 12:00:00 AM;54;77;1547;29;2-7
31-May-16 12:00:00 AM;57;77;1050;31;2-7
31-May-16 12:00:00 AM;56;77;1515;23;2-4
31-May-16 12:00:00 AM;58;77;1454;25;2-4
31-May-16 12:00:00 AM;59;77;988;19;2-4
31-May-16 12:00:00 AM;60;77;1020;13;2-4
31-May-16 12:00:00 AM;63;77;1425;34;2-4
31-May-16 12:00:00 AM;61;77;1390;24;2-4
31-May-16 12:00:00 AM;62;77;1536;13;2-4
31-May-16 12:00:00 AM;47;77;1890;12;1-1
31-May-16 12:00:00 AM;70;77;1181;36;1-1
31-May-16 12:00:00 AM;65;77;999;29;2-4
31-May-16 12:00:00 AM;66;77;1251;22;2-1
31-May-16 12:00:00 AM;71;77;2547;13;1-1
31-May-16 12:00:00 AM;73;77;1872;15;1-1
31-May-16 12:00:00 AM;74;77;1303;33;1-1
31-May-16 12:00:00 AM;72;77;1152;29;1-1
31-May-16 12:00:00 AM;75;77;1143;35;1-1
31-May-16 12:00:00 AM;76;77;1256;37;1-1
31-May-16 12:00:00 AM;77;77;900;101;1-1
31-May-16 12:00:00 AM;77;1;1096;22;1-1
31-May-16 12:00:00 AM;77;78;1308;31;1-1
31-May-16 12:00:00 AM;77;79;1438;32;1-1
31-May-16 12:00:00 AM;77;53;1305;21;1-1
31-May-16 12:00:00 AM;77;80;1140;43;1-1
31-May-16 12:00:00 AM;77;81;1315;29;1-1
31-May-16 12:00:00 AM;77;82;1770;12;1-1
31-May-16 12:00:00 AM;77;83;1586;25;1-1
31-May-16 12:00:00 AM;68;77;1094;21;2-4
31-May-16 12:00:00 AM;69;77;1121;23;2-4
31-May-16 12:00:00 AM;1;77;1440;31;2-4
31-May-16 12:00:00 AM;82;77;1682;21;2-4
31-May-16 12:00:00 AM;53;77;996;23;1-4
31-May-16 12:00:00 AM;83;77;1277;31;2-3
31-May-16 12:00:00 AM;80;77;983;49;1-4
31-May-16 12:00:00 AM;78;77;1084;41;1-4
31-May-16 12:00:00 AM;79;77;1354;33;1-4
31-May-16 12:00:00 AM;77;76;1438;30;1-4
31-May-16 12:00:00 AM;77;94;2112;15;2-3
31-May-16 12:00:00 AM;77;48;1443;20;2-3
31-May-16 12:00:00 AM;77;47;2065;21;2-3
31-May-16 12:00:00 AM;85;77;1960;39;2-4
31-May-16 12:00:00 AM;94;77;2111;27;2-7
31-May-16 12:00:00 AM;41;77;2420;15;2-4
31-May-16 12:00:00 AM;13;77;2587;8;2-1
31-May-16 12:00:00 AM;3;77;1907;14;2-4
31-May-16 12:00:00 AM;67;77;1384;41;2-1
31-May-16 12:00:00 AM;77;85;1360;21;1-4
31-May-16 12:00:00 AM;77;5;1164;10;1-4
31-May-16 12:00:00 AM;77;84;1188;10;1-4
31-May-16 12:00:00 AM;77;36;1666;9;1-4
31-May-16 12:00:00 AM;77;88;2487;13;1-4
31-May-16 12:00:00 AM;77;87;1513;9;1-4
31-May-16 12:00:00 AM;77;4;2127;11;1-4
31-May-16 12:00:00 AM;77;8;2220;18;1-4
31-May-16 12:00:00 AM;77;28;1868;14;1-4
31-May-16 12:00:00 AM;77;61;1253;19;1-4
31-May-16 12:00:00 AM;77;21;1111;17;1-4
31-May-16 12:00:00 AM;77;70;1594;26;1-4
31-May-16 12:00:00 AM;77;57;1162;30;1-4
31-May-16 12:00:00 AM;77;26;1831;23;1-4
31-May-16 12:00:00 AM;77;56;1740;16;1-4
31-May-16 12:00:00 AM;77;20;1710;20;1-4
31-May-16 12:00:00 AM;77;24;1770;20;1-4
31-May-16 12:00:00 AM;77;46;1675;12;1-4
31-May-16 12:00:00 AM;77;49;1048;15;1-4
31-May-16 12:00:00 AM;77;23;1821;17;1-4
31-May-16 12:00:00 AM;77;74;1218;23;1-4
31-May-16 12:00:00 AM;77;44;2010;12;1-4
31-May-16 12:00:00 AM;77;65;1386;20;1-4
31-May-16 12:00:00 AM;77;66;1398;19;1-4
31-May-16 12:00:00 AM;77;55;1853;19;1-1
31-May-16 12:00:00 AM;84;77;2156;19;1-1
31-May-16 12:00:00 AM;87;77;1872;19;1-1
31-May-16 12:00:00 AM;77;6;1855;12;1-1
31-May-16 12:00:00 AM;77;52;1606;13;1-1
31-May-16 12:00:00 AM;77;59;1885;19;1-1
31-May-16 12:00:00 AM;77;69;1264;13;1-1
31-May-16 12:00:00 AM;77;32;1388;14;1-1
31-May-16 12:00:00 AM;77;14;1770;26;1-1
31-May-16 12:00:00 AM;77;50;1810;12;1-1
31-May-16 12:00:00 AM;77;60;1204;14;1-1
31-May-16 12:00:00 AM;77;63;1295;12;1-1
31-May-16 12:00:00 AM;77;17;1308;20;1-1
31-May-16 12:00:00 AM;77;22;2126;18;1-1
31-May-16 12:00:00 AM;77;9;1860;12;1-1
31-May-16 12:00:00 AM;77;30;1777;16;1-1
31-May-16 12:00:00 AM;4;77;1341;11;2-4
31-May-16 12:00:00 AM;95;77;1294;19;1-4
31-May-16 12:00:00 AM;81;77;1261;31;2-3
31-May-16 12:00:00 AM;86;77;977;17;1-4
31-May-16 12:00:00 AM;77;67;1345;57;1-1
31-May-16 12:00:00 AM;77;68;1488;20;1-1
31-May-16 12:00:00 AM;77;29;1630;23;2-7
31-May-16 12:00:00 AM;77;11;2112;19;2-7
31-May-16 12:00:00 AM;77;58;1992;15;2-7
31-May-16 12:00:00 AM;77;33;1730;26;2-7
31-May-16 12:00:00 AM;77;16;1365;20;2-7
31-May-16 12:00:00 AM;77;72;1454;17;2-7
31-May-16 12:00:00 AM;77;18;1216;18;2-7
31-May-16 12:00:00 AM;90;77;1392;15;1-4
31-May-16 12:00:00 AM;77;12;1260;9;2-7
31-May-16 12:00:00 AM;77;75;1665;21;2-7
31-May-16 12:00:00 AM;96;77;1073;36;2-4
31-May-16 12:00:00 AM;97;77;1370;39;2-4
31-May-16 12:00:00 AM;99;77;1725;36;1-1
31-May-16 12:00:00 AM;98;77;1635;31;2-4
31-May-16 12:00:00 AM;100;77;1403;36;2-4
31-May-16 12:00:00 AM;101;77;1615;25;2-4
31-May-16 12:00:00 AM;102;77;1312;40;2-4
31-May-16 12:00:00 AM;103;77;1099;37;2-4
31-May-16 12:00:00 AM;104;77;1706;30;2-4
31-May-16 12:00:00 AM;105;77;1389;33;2-7
31-May-16 12:00:00 AM;107;77;1233;41;2-7
31-May-16 12:00:00 AM;106;77;836;30;2-4
31-May-16 12:00:00 AM;5;77;1190;12;1-1
31-May-16 12:00:00 AM;109;77;1781;33;1-1
31-May-16 12:00:00 AM;108;77;1126;31;2-4
31-May-16 12:00:00 AM;89;77;1897;19;2-4
31-May-16 12:00:00 AM;34;77;1500;13;2-4
31-May-16 12:00:00 AM;88;77;2613;20;2-4
31-May-16 12:00:00 AM;92;77;2160;15;2-4
31-May-16 12:00:00 AM;64;77;1267;16;2-4
31-May-16 12:00:00 AM;93;77;2220;13;2-4
31-May-16 12:00:00 AM;77;31;1037;14;1-4
31-May-16 12:00:00 AM;77;73;744;5;1-4
