date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;78;3320;3;1-1
31-May-16 12:00:00 AM;6;78;1500;6;2-4
31-May-16 12:00:00 AM;7;78;2640;5;2-4
31-May-16 12:00:00 AM;8;78;1680;5;2-4
31-May-16 12:00:00 AM;9;78;2280;2;2-4
31-May-16 12:00:00 AM;10;78;2590;6;2-4
31-May-16 12:00:00 AM;11;78;2145;8;2-4
31-May-16 12:00:00 AM;12;78;2190;8;2-4
31-May-16 12:00:00 AM;14;78;1010;6;2-7
31-May-16 12:00:00 AM;15;78;1896;5;2-7
31-May-16 12:00:00 AM;16;78;2180;6;2-4
31-May-16 12:00:00 AM;17;78;1824;5;2-4
31-May-16 12:00:00 AM;18;78;2047;8;2-4
31-May-16 12:00:00 AM;19;78;2040;4;2-4
31-May-16 12:00:00 AM;20;78;990;4;2-4
31-May-16 12:00:00 AM;21;78;1020;4;2-4
31-May-16 12:00:00 AM;25;78;1820;3;1-1
31-May-16 12:00:00 AM;22;78;2340;3;2-4
31-May-16 12:00:00 AM;23;78;2390;6;2-4
31-May-16 12:00:00 AM;24;78;1896;10;2-4
31-May-16 12:00:00 AM;26;78;1026;9;2-4
31-May-16 12:00:00 AM;27;78;2415;4;2-4
31-May-16 12:00:00 AM;28;78;1170;4;2-4
31-May-16 12:00:00 AM;29;78;2017;8;2-4
31-May-16 12:00:00 AM;30;78;1080;4;2-4
31-May-16 12:00:00 AM;31;78;1800;3;2-4
31-May-16 12:00:00 AM;32;78;1620;2;2-4
31-May-16 12:00:00 AM;35;78;1440;1;1-1
31-May-16 12:00:00 AM;45;78;2080;3;1-1
31-May-16 12:00:00 AM;33;78;1942;8;2-4
31-May-16 12:00:00 AM;48;78;1644;5;1-1
31-May-16 12:00:00 AM;36;78;1440;1;2-4
31-May-16 12:00:00 AM;39;78;1440;1;2-4
31-May-16 12:00:00 AM;40;78;1440;1;2-4
31-May-16 12:00:00 AM;42;78;1440;1;2-4
31-May-16 12:00:00 AM;43;78;1440;1;2-4
31-May-16 12:00:00 AM;44;78;1592;11;2-4
31-May-16 12:00:00 AM;37;78;1580;3;2-4
31-May-16 12:00:00 AM;38;78;1380;1;2-4
31-May-16 12:00:00 AM;46;78;2016;5;2-4
31-May-16 12:00:00 AM;50;78;1630;6;2-4
31-May-16 12:00:00 AM;49;78;1760;6;2-4
31-May-16 12:00:00 AM;51;78;2148;5;2-4
31-May-16 12:00:00 AM;52;78;1278;10;2-4
31-May-16 12:00:00 AM;55;78;1126;9;1-4
31-May-16 12:00:00 AM;54;78;1836;5;2-7
31-May-16 12:00:00 AM;56;78;500;6;2-4
31-May-16 12:00:00 AM;57;78;680;9;2-4
31-May-16 12:00:00 AM;58;78;1695;8;2-4
31-May-16 12:00:00 AM;59;78;1930;6;2-4
31-May-16 12:00:00 AM;60;78;840;2;2-4
31-May-16 12:00:00 AM;61;78;580;6;2-4
31-May-16 12:00:00 AM;62;78;840;2;2-4
31-May-16 12:00:00 AM;63;78;1230;6;2-4
