date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;79;3320;3;1-1
31-May-16 12:00:00 AM;6;79;1530;6;2-4
31-May-16 12:00:00 AM;7;79;2556;5;2-4
31-May-16 12:00:00 AM;8;79;1740;5;2-4
31-May-16 12:00:00 AM;9;79;2280;2;2-4
31-May-16 12:00:00 AM;10;79;2520;6;2-4
31-May-16 12:00:00 AM;11;79;2190;8;2-4
31-May-16 12:00:00 AM;12;79;2374;7;2-4
31-May-16 12:00:00 AM;14;79;1070;6;2-7
31-May-16 12:00:00 AM;15;79;2112;5;2-7
31-May-16 12:00:00 AM;16;79;2120;6;2-4
31-May-16 12:00:00 AM;17;79;1836;5;2-4
31-May-16 12:00:00 AM;18;79;1813;9;2-4
31-May-16 12:00:00 AM;19;79;1995;4;2-4
31-May-16 12:00:00 AM;20;79;1080;4;2-4
31-May-16 12:00:00 AM;21;79;1110;4;2-4
31-May-16 12:00:00 AM;25;79;620;3;1-1
31-May-16 12:00:00 AM;22;79;1992;5;2-4
31-May-16 12:00:00 AM;23;79;1027;8;2-4
31-May-16 12:00:00 AM;24;79;1248;10;2-4
31-May-16 12:00:00 AM;26;79;972;10;2-4
31-May-16 12:00:00 AM;27;79;2310;4;2-4
31-May-16 12:00:00 AM;28;79;1230;4;2-4
31-May-16 12:00:00 AM;29;79;1972;8;2-4
31-May-16 12:00:00 AM;30;79;1140;4;2-4
31-May-16 12:00:00 AM;31;79;1800;3;2-4
31-May-16 12:00:00 AM;32;79;1620;2;2-4
31-May-16 12:00:00 AM;35;79;1440;1;1-1
31-May-16 12:00:00 AM;45;79;2080;3;1-1
31-May-16 12:00:00 AM;33;79;1950;8;2-4
31-May-16 12:00:00 AM;48;79;1584;5;1-1
31-May-16 12:00:00 AM;36;79;1440;1;2-4
31-May-16 12:00:00 AM;39;79;1440;1;2-4
31-May-16 12:00:00 AM;40;79;1440;1;2-4
31-May-16 12:00:00 AM;42;79;1440;1;2-4
31-May-16 12:00:00 AM;43;79;1440;1;2-4
31-May-16 12:00:00 AM;44;79;1020;11;2-4
31-May-16 12:00:00 AM;37;79;1620;3;2-4
31-May-16 12:00:00 AM;38;79;1380;1;2-4
31-May-16 12:00:00 AM;46;79;505;7;2-4
31-May-16 12:00:00 AM;50;79;1884;5;2-4
31-May-16 12:00:00 AM;49;79;532;8;2-4
31-May-16 12:00:00 AM;51;79;2064;5;2-4
31-May-16 12:00:00 AM;52;79;2206;9;2-4
31-May-16 12:00:00 AM;55;79;1126;9;1-4
31-May-16 12:00:00 AM;54;79;1884;5;2-7
31-May-16 12:00:00 AM;56;79;600;4;2-4
31-May-16 12:00:00 AM;57;79;753;9;2-4
31-May-16 12:00:00 AM;58;79;1650;8;2-4
31-May-16 12:00:00 AM;59;79;2520;6;2-4
31-May-16 12:00:00 AM;60;79;840;2;2-4
31-May-16 12:00:00 AM;61;79;680;6;2-4
31-May-16 12:00:00 AM;62;79;840;2;2-4
31-May-16 12:00:00 AM;63;79;1270;6;2-4
31-May-16 12:00:00 AM;47;79;1584;5;1-1
31-May-16 12:00:00 AM;65;79;1146;9;2-4
31-May-16 12:00:00 AM;66;79;1590;8;2-4
31-May-16 12:00:00 AM;76;79;1577;7;1-1
31-May-16 12:00:00 AM;77;79;1760;3;1-1
31-May-16 12:00:00 AM;68;79;1260;3;2-4
31-May-16 12:00:00 AM;69;79;2125;7;2-4
31-May-16 12:00:00 AM;1;79;620;9;2-4
31-May-16 12:00:00 AM;70;79;966;10;2-4
31-May-16 12:00:00 AM;79;80;1309;11;1-1
31-May-16 12:00:00 AM;79;81;1464;10;1-1
31-May-16 12:00:00 AM;79;82;1320;4;1-1
31-May-16 12:00:00 AM;79;83;694;7;1-1
31-May-16 12:00:00 AM;72;79;615;8;2-4
31-May-16 12:00:00 AM;74;79;885;8;2-4
31-May-16 12:00:00 AM;75;79;915;4;2-4
31-May-16 12:00:00 AM;82;79;1380;4;2-4
