date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;7;1725;8;1-1
31-May-16 12:00:00 AM;2;7;760;3;1-1
31-May-16 12:00:00 AM;6;7;1500;16;2-1
31-May-16 12:00:00 AM;7;8;1800;10;2-4
31-May-16 12:00:00 AM;7;9;2085;8;2-4
31-May-16 12:00:00 AM;7;10;1976;16;2-4
31-May-16 12:00:00 AM;7;11;1272;5;2-4
31-May-16 12:00:00 AM;7;12;2242;8;2-4
31-May-16 12:00:00 AM;7;13;1853;9;2-4
31-May-16 12:00:00 AM;7;14;1560;11;2-4
31-May-16 12:00:00 AM;7;15;677;7;2-4
31-May-16 12:00:00 AM;7;16;1985;21;2-4
31-May-16 12:00:00 AM;7;17;2190;8;2-4
31-May-16 12:00:00 AM;7;18;2720;9;2-4
31-May-16 12:00:00 AM;7;19;2067;20;2-4
31-May-16 12:00:00 AM;7;20;2198;14;2-4
31-May-16 12:00:00 AM;7;21;1830;6;2-4
31-May-16 12:00:00 AM;7;22;1985;11;2-4
31-May-16 12:00:00 AM;7;23;2253;9;2-4
31-May-16 12:00:00 AM;7;24;1527;11;2-4
31-May-16 12:00:00 AM;7;26;2460;6;2-4
31-May-16 12:00:00 AM;7;27;2130;4;2-4
31-May-16 12:00:00 AM;7;28;1962;17;2-4
31-May-16 12:00:00 AM;7;29;1590;4;2-4
31-May-16 12:00:00 AM;7;30;1800;10;2-4
31-May-16 12:00:00 AM;7;31;1848;20;2-4
31-May-16 12:00:00 AM;7;32;2015;17;2-4
31-May-16 12:00:00 AM;7;33;1380;9;2-4
31-May-16 12:00:00 AM;7;34;1020;1;2-4
31-May-16 12:00:00 AM;7;36;3420;1;2-4
31-May-16 12:00:00 AM;7;39;2640;1;2-4
31-May-16 12:00:00 AM;7;40;2340;1;2-4
31-May-16 12:00:00 AM;7;41;765;4;2-4
31-May-16 12:00:00 AM;7;42;2640;1;2-4
31-May-16 12:00:00 AM;7;43;1680;1;2-4
31-May-16 12:00:00 AM;7;44;1852;8;2-4
31-May-16 12:00:00 AM;7;37;1935;4;2-4
31-May-16 12:00:00 AM;7;38;240;1;2-4
31-May-16 12:00:00 AM;7;46;1800;10;2-4
31-May-16 12:00:00 AM;7;50;1875;8;2-4
31-May-16 12:00:00 AM;7;49;2013;9;2-4
31-May-16 12:00:00 AM;7;51;1841;16;2-4
31-May-16 12:00:00 AM;7;52;2062;8;2-4
31-May-16 12:00:00 AM;7;1;2025;4;2-4
31-May-16 12:00:00 AM;7;54;2048;7;2-4
31-May-16 12:00:00 AM;7;55;2415;8;2-4
31-May-16 12:00:00 AM;7;47;2100;10;2-4
31-May-16 12:00:00 AM;7;56;1606;18;2-4
31-May-16 12:00:00 AM;7;57;1893;9;2-4
31-May-16 12:00:00 AM;7;58;1160;9;2-4
31-May-16 12:00:00 AM;7;59;2150;18;2-4
31-May-16 12:00:00 AM;7;60;1976;16;2-4
31-May-16 12:00:00 AM;7;61;2120;9;2-4
31-May-16 12:00:00 AM;7;62;1689;13;2-4
31-May-16 12:00:00 AM;7;63;1746;10;2-4
31-May-16 12:00:00 AM;7;64;2520;2;2-4
31-May-16 12:00:00 AM;7;65;2200;9;2-4
31-May-16 12:00:00 AM;7;66;1810;11;2-4
31-May-16 12:00:00 AM;7;67;2130;16;2-4
31-May-16 12:00:00 AM;7;68;1848;16;2-4
31-May-16 12:00:00 AM;7;69;2016;10;2-4
31-May-16 12:00:00 AM;7;70;1672;8;2-4
31-May-16 12:00:00 AM;7;71;1240;3;2-4
31-May-16 12:00:00 AM;7;72;1824;10;2-4
31-May-16 12:00:00 AM;7;73;1920;1;2-4
31-May-16 12:00:00 AM;7;74;2254;7;2-4
31-May-16 12:00:00 AM;7;75;2177;7;2-4
31-May-16 12:00:00 AM;7;53;2172;5;2-4
31-May-16 12:00:00 AM;7;82;937;8;2-4
31-May-16 12:00:00 AM;7;83;2592;5;2-4
31-May-16 12:00:00 AM;7;80;2640;5;2-4
31-May-16 12:00:00 AM;7;78;2640;5;2-4
31-May-16 12:00:00 AM;7;76;2290;6;2-4
31-May-16 12:00:00 AM;7;79;2556;5;2-4
31-May-16 12:00:00 AM;7;77;2870;6;2-4
31-May-16 12:00:00 AM;7;84;1875;4;2-4
