date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;80;2844;15;1-1
31-May-16 12:00:00 AM;6;80;1082;30;2-4
31-May-16 12:00:00 AM;7;80;1925;22;2-4
31-May-16 12:00:00 AM;10;80;1786;22;2-4
31-May-16 12:00:00 AM;8;80;2017;21;2-4
31-May-16 12:00:00 AM;11;80;1704;27;2-4
31-May-16 12:00:00 AM;9;80;1242;17;2-4
31-May-16 12:00:00 AM;12;80;1769;31;2-4
31-May-16 12:00:00 AM;14;80;1720;30;2-7
31-May-16 12:00:00 AM;15;80;1501;33;2-7
31-May-16 12:00:00 AM;16;80;1597;19;2-4
31-May-16 12:00:00 AM;17;80;1763;31;2-4
31-May-16 12:00:00 AM;18;80;2156;33;2-4
31-May-16 12:00:00 AM;19;80;1650;18;2-4
31-May-16 12:00:00 AM;20;80;1391;16;2-4
31-May-16 12:00:00 AM;21;80;1728;21;2-4
31-May-16 12:00:00 AM;25;80;1868;14;1-1
31-May-16 12:00:00 AM;22;80;1447;24;2-4
31-May-16 12:00:00 AM;23;80;1476;25;2-4
31-May-16 12:00:00 AM;24;80;1558;39;2-4
31-May-16 12:00:00 AM;26;80;1206;38;2-4
31-May-16 12:00:00 AM;27;80;1871;16;2-1
31-May-16 12:00:00 AM;28;80;1945;21;2-4
31-May-16 12:00:00 AM;29;80;1751;37;2-4
31-May-16 12:00:00 AM;30;80;1730;19;2-4
31-May-16 12:00:00 AM;31;80;1674;21;2-4
31-May-16 12:00:00 AM;32;80;1812;14;2-4
31-May-16 12:00:00 AM;35;80;2040;9;1-1
31-May-16 12:00:00 AM;45;80;1992;14;1-1
31-May-16 12:00:00 AM;33;80;1794;33;2-1
31-May-16 12:00:00 AM;48;80;1190;18;1-1
31-May-16 12:00:00 AM;36;80;2550;10;2-4
31-May-16 12:00:00 AM;39;80;2112;5;2-4
31-May-16 12:00:00 AM;40;80;1870;17;2-4
31-May-16 12:00:00 AM;42;80;1836;15;2-4
31-May-16 12:00:00 AM;44;80;1700;30;2-1
31-May-16 12:00:00 AM;43;80;980;6;2-4
31-May-16 12:00:00 AM;37;80;2073;18;2-4
31-May-16 12:00:00 AM;38;80;1596;5;2-4
31-May-16 12:00:00 AM;46;80;1896;23;2-4
31-May-16 12:00:00 AM;50;80;1782;31;2-4
31-May-16 12:00:00 AM;49;80;1620;29;2-4
31-May-16 12:00:00 AM;51;80;1817;17;2-4
31-May-16 12:00:00 AM;52;80;1718;33;2-4
31-May-16 12:00:00 AM;55;80;1412;30;1-4
31-May-16 12:00:00 AM;54;80;1621;31;2-7
31-May-16 12:00:00 AM;57;80;1073;35;2-7
31-May-16 12:00:00 AM;56;80;1727;24;2-4
31-May-16 12:00:00 AM;58;80;1564;28;2-4
31-May-16 12:00:00 AM;59;80;1047;20;2-4
31-May-16 12:00:00 AM;60;80;1924;15;2-4
31-May-16 12:00:00 AM;63;80;1993;31;2-4
31-May-16 12:00:00 AM;61;80;1137;26;2-4
31-May-16 12:00:00 AM;62;80;1534;14;2-4
31-May-16 12:00:00 AM;47;80;2068;17;1-1
31-May-16 12:00:00 AM;65;80;1382;28;2-4
31-May-16 12:00:00 AM;66;80;1593;23;2-1
31-May-16 12:00:00 AM;76;80;1538;45;1-1
31-May-16 12:00:00 AM;77;80;1140;43;1-1
31-May-16 12:00:00 AM;68;80;891;20;2-4
31-May-16 12:00:00 AM;69;80;1982;26;2-4
31-May-16 12:00:00 AM;70;80;1289;35;2-1
31-May-16 12:00:00 AM;1;80;1031;32;2-4
31-May-16 12:00:00 AM;78;80;1268;61;1-1
31-May-16 12:00:00 AM;79;80;1332;47;1-1
31-May-16 12:00:00 AM;53;80;1012;15;1-1
31-May-16 12:00:00 AM;72;80;1456;30;2-1
31-May-16 12:00:00 AM;74;80;1574;34;2-1
31-May-16 12:00:00 AM;75;80;1660;31;2-4
31-May-16 12:00:00 AM;80;80;1045;89;1-1
31-May-16 12:00:00 AM;80;81;1237;46;1-1
31-May-16 12:00:00 AM;80;82;1821;11;1-1
31-May-16 12:00:00 AM;80;83;1353;32;1-1
31-May-16 12:00:00 AM;82;80;2131;19;2-4
31-May-16 12:00:00 AM;83;80;1261;43;2-3
31-May-16 12:00:00 AM;80;53;1236;20;1-4
31-May-16 12:00:00 AM;80;77;983;49;1-4
31-May-16 12:00:00 AM;80;78;1117;49;1-4
31-May-16 12:00:00 AM;80;76;1515;38;1-4
31-May-16 12:00:00 AM;80;79;1157;42;1-4
31-May-16 12:00:00 AM;80;94;1587;22;2-3
31-May-16 12:00:00 AM;80;48;1382;25;2-3
31-May-16 12:00:00 AM;80;47;1822;24;2-3
31-May-16 12:00:00 AM;85;80;1941;36;2-7
31-May-16 12:00:00 AM;94;80;2232;34;2-7
31-May-16 12:00:00 AM;80;87;1585;14;2-3
31-May-16 12:00:00 AM;41;80;2332;15;2-7
31-May-16 12:00:00 AM;3;80;1675;12;2-4
31-May-16 12:00:00 AM;84;80;2176;25;2-4
31-May-16 12:00:00 AM;87;80;1898;25;1-4
31-May-16 12:00:00 AM;80;27;1636;25;2-4
31-May-16 12:00:00 AM;80;10;1849;23;1-4
31-May-16 12:00:00 AM;80;4;1783;11;1-1
