date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;81;3400;3;1-1
31-May-16 12:00:00 AM;6;81;1480;6;2-4
31-May-16 12:00:00 AM;7;81;2676;5;2-4
31-May-16 12:00:00 AM;8;81;1692;5;2-4
31-May-16 12:00:00 AM;9;81;2760;4;2-4
31-May-16 12:00:00 AM;10;81;2650;6;2-4
31-May-16 12:00:00 AM;11;81;2212;8;2-4
31-May-16 12:00:00 AM;12;81;2485;7;2-4
31-May-16 12:00:00 AM;14;81;1010;6;2-7
31-May-16 12:00:00 AM;15;81;2220;5;2-7
31-May-16 12:00:00 AM;16;81;2220;6;2-4
31-May-16 12:00:00 AM;17;81;1920;5;2-4
31-May-16 12:00:00 AM;18;81;2100;8;2-4
31-May-16 12:00:00 AM;19;81;2115;4;2-4
31-May-16 12:00:00 AM;20;81;1170;4;2-4
31-May-16 12:00:00 AM;21;81;1200;4;2-4
31-May-16 12:00:00 AM;25;81;700;3;1-1
31-May-16 12:00:00 AM;22;81;2770;6;2-4
31-May-16 12:00:00 AM;23;81;1140;7;2-4
31-May-16 12:00:00 AM;24;81;1248;10;2-4
31-May-16 12:00:00 AM;26;81;1470;6;2-4
31-May-16 12:00:00 AM;27;81;2415;4;2-4
31-May-16 12:00:00 AM;28;81;1170;4;2-4
31-May-16 12:00:00 AM;29;81;2070;8;2-4
31-May-16 12:00:00 AM;30;81;1760;6;2-4
31-May-16 12:00:00 AM;31;81;1940;3;2-4
31-May-16 12:00:00 AM;32;81;1740;2;2-4
31-May-16 12:00:00 AM;35;81;1560;1;1-1
31-May-16 12:00:00 AM;45;81;2160;3;1-1
31-May-16 12:00:00 AM;33;81;2202;7;2-4
31-May-16 12:00:00 AM;48;81;1548;5;1-1
31-May-16 12:00:00 AM;36;81;1560;1;2-4
31-May-16 12:00:00 AM;39;81;1560;1;2-4
31-May-16 12:00:00 AM;40;81;1560;1;2-4
31-May-16 12:00:00 AM;42;81;1560;1;2-4
31-May-16 12:00:00 AM;43;81;1560;1;2-4
31-May-16 12:00:00 AM;44;81;1003;11;2-4
31-May-16 12:00:00 AM;37;81;1660;3;2-4
31-May-16 12:00:00 AM;38;81;1500;1;2-4
31-May-16 12:00:00 AM;46;81;630;6;2-4
31-May-16 12:00:00 AM;50;81;1932;5;2-4
31-May-16 12:00:00 AM;49;81;608;7;2-4
31-May-16 12:00:00 AM;51;81;2184;5;2-4
31-May-16 12:00:00 AM;52;81;2220;9;2-4
31-May-16 12:00:00 AM;55;81;1486;9;1-4
31-May-16 12:00:00 AM;54;81;1968;5;2-7
31-May-16 12:00:00 AM;56;81;648;5;2-4
31-May-16 12:00:00 AM;57;81;753;9;2-4
31-May-16 12:00:00 AM;58;81;1747;8;2-4
31-May-16 12:00:00 AM;59;81;2610;6;2-4
31-May-16 12:00:00 AM;60;81;960;2;2-4
31-May-16 12:00:00 AM;61;81;660;6;2-4
31-May-16 12:00:00 AM;62;81;720;3;2-4
31-May-16 12:00:00 AM;63;81;1440;5;2-4
31-May-16 12:00:00 AM;47;81;1596;5;1-1
31-May-16 12:00:00 AM;65;81;380;9;2-4
31-May-16 12:00:00 AM;66;81;682;8;2-4
31-May-16 12:00:00 AM;76;81;1960;9;1-1
31-May-16 12:00:00 AM;77;81;1400;6;1-1
31-May-16 12:00:00 AM;68;81;1400;3;2-4
31-May-16 12:00:00 AM;69;81;2530;6;2-4
31-May-16 12:00:00 AM;1;81;720;10;2-4
31-May-16 12:00:00 AM;70;81;1183;11;2-4
31-May-16 12:00:00 AM;78;81;1933;9;1-1
31-May-16 12:00:00 AM;79;81;1464;10;1-1
31-May-16 12:00:00 AM;72;81;1354;7;2-4
31-May-16 12:00:00 AM;74;81;922;8;2-4
31-May-16 12:00:00 AM;75;81;1020;4;2-4
31-May-16 12:00:00 AM;80;81;1747;8;1-1
31-May-16 12:00:00 AM;81;82;1185;4;1-1
31-May-16 12:00:00 AM;81;83;1327;8;1-1
31-May-16 12:00:00 AM;81;53;480;1;1-1
31-May-16 12:00:00 AM;81;84;1245;4;1-1
31-May-16 12:00:00 AM;81;85;1245;4;1-1
31-May-16 12:00:00 AM;82;81;1245;4;2-4
31-May-16 12:00:00 AM;83;81;1327;8;2-3
31-May-16 12:00:00 AM;53;81;180;1;1-4
31-May-16 12:00:00 AM;85;81;1570;6;2-7
31-May-16 12:00:00 AM;81;94;1524;5;2-3
31-May-16 12:00:00 AM;81;48;1560;2;2-3
31-May-16 12:00:00 AM;81;47;1905;4;2-3
31-May-16 12:00:00 AM;94;81;1140;4;2-7
31-May-16 12:00:00 AM;81;87;2196;5;2-3
31-May-16 12:00:00 AM;41;81;2814;10;2-4
31-May-16 12:00:00 AM;3;81;1610;6;2-4
31-May-16 12:00:00 AM;84;81;1050;2;2-4
31-May-16 12:00:00 AM;87;81;2196;5;1-4
31-May-16 12:00:00 AM;81;31;120;2;1-4
31-May-16 12:00:00 AM;81;54;1968;5;1-4
31-May-16 12:00:00 AM;81;68;180;2;1-4
31-May-16 12:00:00 AM;81;71;240;2;1-4
31-May-16 12:00:00 AM;81;67;920;6;1-4
31-May-16 12:00:00 AM;81;51;2055;4;1-4
31-May-16 12:00:00 AM;81;12;2374;7;1-4
31-May-16 12:00:00 AM;81;16;2400;4;1-4
31-May-16 12:00:00 AM;81;29;2130;6;1-4
31-May-16 12:00:00 AM;81;7;2685;4;1-4
31-May-16 12:00:00 AM;81;13;2940;3;1-4
31-May-16 12:00:00 AM;81;64;360;2;1-4
31-May-16 12:00:00 AM;81;58;1720;6;1-4
31-May-16 12:00:00 AM;81;19;360;2;1-4
31-May-16 12:00:00 AM;81;15;2220;5;1-4
31-May-16 12:00:00 AM;81;33;920;3;1-4
31-May-16 12:00:00 AM;81;18;2240;6;1-4
31-May-16 12:00:00 AM;81;5;1140;2;1-4
31-May-16 12:00:00 AM;81;8;1920;2;1-4
31-May-16 12:00:00 AM;81;24;2040;2;1-4
31-May-16 12:00:00 AM;81;70;2040;2;1-4
31-May-16 12:00:00 AM;81;20;2130;2;1-4
31-May-16 12:00:00 AM;81;21;2160;2;1-4
31-May-16 12:00:00 AM;81;61;2250;2;1-4
31-May-16 12:00:00 AM;81;66;2250;2;1-4
31-May-16 12:00:00 AM;81;6;1900;3;1-4
31-May-16 12:00:00 AM;81;95;1720;3;1-4
31-May-16 12:00:00 AM;81;28;2460;2;1-4
31-May-16 12:00:00 AM;81;9;2520;2;1-4
31-May-16 12:00:00 AM;81;30;2640;2;1-4
31-May-16 12:00:00 AM;81;14;2640;2;1-4
31-May-16 12:00:00 AM;81;57;2640;2;1-4
31-May-16 12:00:00 AM;81;72;2060;3;1-4
31-May-16 12:00:00 AM;81;44;2700;2;1-4
31-May-16 12:00:00 AM;81;74;2520;3;1-4
31-May-16 12:00:00 AM;81;65;420;7;1-4
31-May-16 12:00:00 AM;81;56;2600;3;1-4
31-May-16 12:00:00 AM;81;79;1660;9;1-4
31-May-16 12:00:00 AM;81;55;1668;5;1-1
31-May-16 12:00:00 AM;4;81;3090;2;2-4
31-May-16 12:00:00 AM;71;81;2910;2;2-4
31-May-16 12:00:00 AM;67;81;2700;2;1-1
31-May-16 12:00:00 AM;13;81;2640;1;1-1
31-May-16 12:00:00 AM;95;81;1425;4;2-4
31-May-16 12:00:00 AM;81;80;1050;4;2-7
31-May-16 12:00:00 AM;81;78;420;2;2-7
31-May-16 12:00:00 AM;81;76;180;1;2-7
31-May-16 12:00:00 AM;81;77;1400;6;2-3
31-May-16 12:00:00 AM;81;63;1440;5;2-7
31-May-16 12:00:00 AM;81;50;1932;5;2-7
31-May-16 12:00:00 AM;81;75;3000;1;2-7
31-May-16 12:00:00 AM;96;81;1770;2;2-4
31-May-16 12:00:00 AM;97;81;3500;3;2-4
31-May-16 12:00:00 AM;98;81;3380;3;2-4
31-May-16 12:00:00 AM;100;81;3320;3;2-4
31-May-16 12:00:00 AM;101;81;3270;2;2-4
31-May-16 12:00:00 AM;102;81;3210;2;2-4
31-May-16 12:00:00 AM;103;81;3090;2;2-4
31-May-16 12:00:00 AM;104;81;2790;2;2-4
31-May-16 12:00:00 AM;105;81;2720;3;2-4
31-May-16 12:00:00 AM;106;81;2490;2;2-4
31-May-16 12:00:00 AM;107;81;2360;3;2-4
31-May-16 12:00:00 AM;108;81;2130;2;2-4
