date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;82;2300;3;1-1
31-May-16 12:00:00 AM;6;82;1116;5;2-4
31-May-16 12:00:00 AM;7;82;937;8;2-4
31-May-16 12:00:00 AM;8;82;900;4;2-4
31-May-16 12:00:00 AM;9;82;1056;5;2-4
31-May-16 12:00:00 AM;10;82;865;7;2-4
31-May-16 12:00:00 AM;11;82;1710;4;2-4
31-May-16 12:00:00 AM;12;82;1056;5;2-4
31-May-16 12:00:00 AM;16;82;642;7;2-4
31-May-16 12:00:00 AM;17;82;750;4;2-4
31-May-16 12:00:00 AM;18;82;756;5;2-4
31-May-16 12:00:00 AM;19;82;1190;6;2-4
31-May-16 12:00:00 AM;20;82;1277;7;2-4
31-May-16 12:00:00 AM;21;82;1130;6;2-4
31-May-16 12:00:00 AM;25;82;2000;3;1-1
31-May-16 12:00:00 AM;22;82;951;7;2-4
31-May-16 12:00:00 AM;23;82;1465;7;2-4
31-May-16 12:00:00 AM;24;82;1491;7;2-4
31-May-16 12:00:00 AM;26;82;2420;6;2-4
31-May-16 12:00:00 AM;27;82;2520;5;2-4
31-May-16 12:00:00 AM;28;82;2376;5;2-4
31-May-16 12:00:00 AM;29;82;2120;6;2-4
31-May-16 12:00:00 AM;30;82;2106;9;2-4
31-May-16 12:00:00 AM;31;82;3012;5;2-4
31-May-16 12:00:00 AM;32;82;3024;5;2-4
31-May-16 12:00:00 AM;35;82;630;2;1-1
31-May-16 12:00:00 AM;45;82;1060;3;1-1
31-May-16 12:00:00 AM;33;82;2560;6;2-4
31-May-16 12:00:00 AM;48;82;1140;1;1-1
31-May-16 12:00:00 AM;36;82;2310;2;2-4
31-May-16 12:00:00 AM;39;82;3180;1;2-4
31-May-16 12:00:00 AM;40;82;3180;1;2-4
31-May-16 12:00:00 AM;42;82;3180;1;2-4
31-May-16 12:00:00 AM;43;82;3180;1;2-4
31-May-16 12:00:00 AM;44;82;2544;5;2-4
31-May-16 12:00:00 AM;37;82;2640;3;2-4
31-May-16 12:00:00 AM;38;82;3120;1;2-4
31-May-16 12:00:00 AM;46;82;2494;7;2-4
31-May-16 12:00:00 AM;50;82;2720;3;2-4
31-May-16 12:00:00 AM;49;82;2220;6;2-4
31-May-16 12:00:00 AM;51;82;2082;7;2-4
31-May-16 12:00:00 AM;52;82;2376;5;2-4
31-May-16 12:00:00 AM;55;82;1560;6;1-4
31-May-16 12:00:00 AM;56;82;2554;7;2-4
31-May-16 12:00:00 AM;57;82;2152;8;2-4
31-May-16 12:00:00 AM;58;82;1860;6;2-4
31-May-16 12:00:00 AM;59;82;1885;7;2-4
31-May-16 12:00:00 AM;60;82;2628;5;2-4
31-May-16 12:00:00 AM;61;82;2060;6;2-4
31-May-16 12:00:00 AM;62;82;2130;6;2-4
31-May-16 12:00:00 AM;63;82;2505;4;2-4
31-May-16 12:00:00 AM;47;82;920;3;1-4
31-May-16 12:00:00 AM;65;82;1642;8;2-4
31-May-16 12:00:00 AM;66;82;1672;8;2-4
31-May-16 12:00:00 AM;76;82;1836;5;1-1
31-May-16 12:00:00 AM;77;82;1335;4;1-1
31-May-16 12:00:00 AM;68;82;1602;7;2-4
31-May-16 12:00:00 AM;69;82;1650;8;2-4
31-May-16 12:00:00 AM;1;82;1782;10;2-4
31-May-16 12:00:00 AM;70;82;2184;5;2-4
31-May-16 12:00:00 AM;78;82;1275;4;1-1
31-May-16 12:00:00 AM;79;82;1320;4;1-1
31-May-16 12:00:00 AM;72;82;2475;4;2-4
31-May-16 12:00:00 AM;74;82;2100;5;2-4
31-May-16 12:00:00 AM;75;82;2220;3;2-4
31-May-16 12:00:00 AM;80;82;1170;4;1-1
31-May-16 12:00:00 AM;81;82;1185;4;1-1
31-May-16 12:00:00 AM;82;83;1160;6;2-4
31-May-16 12:00:00 AM;82;53;120;2;2-4
31-May-16 12:00:00 AM;82;80;1230;4;2-4
31-May-16 12:00:00 AM;82;78;1275;4;2-4
31-May-16 12:00:00 AM;82;76;1788;5;2-4
31-May-16 12:00:00 AM;82;79;1380;4;2-4
31-May-16 12:00:00 AM;82;77;1650;6;2-4
31-May-16 12:00:00 AM;82;84;280;3;2-4
31-May-16 12:00:00 AM;82;85;1188;5;2-4
31-May-16 12:00:00 AM;82;81;1245;4;2-4
31-May-16 12:00:00 AM;82;48;1600;6;2-4
31-May-16 12:00:00 AM;82;86;1540;3;2-4
31-May-16 12:00:00 AM;82;87;1090;11;2-4
31-May-16 12:00:00 AM;82;88;1296;5;2-4
31-May-16 12:00:00 AM;82;89;600;1;2-4
31-May-16 12:00:00 AM;82;91;600;1;2-4
31-May-16 12:00:00 AM;82;92;600;1;2-4
31-May-16 12:00:00 AM;82;93;600;1;2-4
31-May-16 12:00:00 AM;82;90;660;1;2-4
31-May-16 12:00:00 AM;82;94;1825;7;2-4
31-May-16 12:00:00 AM;82;47;2310;6;2-4
31-May-16 12:00:00 AM;82;95;1440;3;2-4
31-May-16 12:00:00 AM;82;34;1830;2;2-4
31-May-16 12:00:00 AM;82;41;1956;5;2-4
31-May-16 12:00:00 AM;82;3;2295;4;2-4
31-May-16 12:00:00 AM;82;71;2364;5;2-4
31-May-16 12:00:00 AM;82;46;2010;12;2-1
31-May-16 12:00:00 AM;82;33;2586;9;2-1
31-May-16 12:00:00 AM;82;12;1366;9;2-1
31-May-16 12:00:00 AM;82;74;2177;7;2-1
31-May-16 12:00:00 AM;82;32;2328;15;2-1
31-May-16 12:00:00 AM;82;51;1867;16;2-1
31-May-16 12:00:00 AM;82;59;1905;17;2-1
31-May-16 12:00:00 AM;82;56;2081;16;2-1
31-May-16 12:00:00 AM;82;68;1270;18;2-1
31-May-16 12:00:00 AM;82;26;2146;9;2-1
31-May-16 12:00:00 AM;82;7;1193;18;2-1
31-May-16 12:00:00 AM;82;29;1938;10;2-1
31-May-16 12:00:00 AM;82;20;1478;17;2-1
31-May-16 12:00:00 AM;82;24;1420;12;2-1
31-May-16 12:00:00 AM;82;10;1486;18;2-1
31-May-16 12:00:00 AM;82;30;1910;13;2-1
31-May-16 12:00:00 AM;82;54;1697;7;2-1
31-May-16 12:00:00 AM;82;69;1834;14;2-1
31-May-16 12:00:00 AM;82;13;1730;12;2-1
31-May-16 12:00:00 AM;82;58;1728;10;2-1
31-May-16 12:00:00 AM;82;21;1220;9;2-1
31-May-16 12:00:00 AM;82;28;2208;15;2-1
31-May-16 12:00:00 AM;82;27;2482;8;2-1
31-May-16 12:00:00 AM;82;75;2010;6;2-1
31-May-16 12:00:00 AM;82;52;1980;8;2-1
31-May-16 12:00:00 AM;82;15;1972;8;2-1
31-May-16 12:00:00 AM;82;50;2496;5;2-1
31-May-16 12:00:00 AM;82;31;2065;14;2-1
31-May-16 12:00:00 AM;82;70;2040;7;2-1
31-May-16 12:00:00 AM;82;16;1245;17;2-1
31-May-16 12:00:00 AM;82;17;1027;8;2-1
31-May-16 12:00:00 AM;82;9;1192;8;2-1
31-May-16 12:00:00 AM;82;44;2502;7;2-1
31-May-16 12:00:00 AM;82;60;2215;14;2-1
31-May-16 12:00:00 AM;82;63;2331;7;2-1
31-May-16 12:00:00 AM;82;19;1571;16;2-1
31-May-16 12:00:00 AM;82;14;1860;13;2-1
31-May-16 12:00:00 AM;82;57;1955;12;2-1
31-May-16 12:00:00 AM;82;62;1935;16;2-1
31-May-16 12:00:00 AM;82;18;1066;9;2-1
31-May-16 12:00:00 AM;82;11;1780;6;2-1
31-May-16 12:00:00 AM;82;67;2070;24;2-1
31-May-16 12:00:00 AM;82;55;1560;6;2-1
31-May-16 12:00:00 AM;82;8;1337;7;2-1
31-May-16 12:00:00 AM;82;6;1116;5;2-1
31-May-16 12:00:00 AM;82;65;1596;10;2-1
31-May-16 12:00:00 AM;82;61;1713;9;2-1
31-May-16 12:00:00 AM;82;49;2153;9;2-1
31-May-16 12:00:00 AM;82;22;990;10;2-1
31-May-16 12:00:00 AM;82;66;1672;8;2-1
31-May-16 12:00:00 AM;82;72;2475;4;2-1
31-May-16 12:00:00 AM;82;23;1465;7;2-1
31-May-16 12:00:00 AM;41;82;2340;3;2-1
31-May-16 12:00:00 AM;3;82;1770;4;1-4
31-May-16 12:00:00 AM;82;5;600;5;1-4
31-May-16 12:00:00 AM;82;36;300;2;1-4
31-May-16 12:00:00 AM;82;4;1740;4;1-4
31-May-16 12:00:00 AM;82;64;2680;3;1-4
31-May-16 12:00:00 AM;87;82;3300;2;1-4
31-May-16 12:00:00 AM;94;82;1800;2;1-4
31-May-16 12:00:00 AM;83;82;1680;2;1-4
31-May-16 12:00:00 AM;4;82;3150;2;2-4
31-May-16 12:00:00 AM;67;82;1200;4;1-4
31-May-16 12:00:00 AM;13;82;1140;2;1-4
31-May-16 12:00:00 AM;15;82;960;1;1-1
31-May-16 12:00:00 AM;82;96;2420;3;2-4
31-May-16 12:00:00 AM;82;97;3520;3;2-4
31-May-16 12:00:00 AM;82;98;3320;3;2-4
31-May-16 12:00:00 AM;82;100;3340;3;2-4
31-May-16 12:00:00 AM;82;101;2040;3;2-4
31-May-16 12:00:00 AM;82;102;3180;3;2-4
31-May-16 12:00:00 AM;82;103;2580;3;2-4
31-May-16 12:00:00 AM;82;104;2880;3;2-4
31-May-16 12:00:00 AM;82;105;2940;3;2-4
31-May-16 12:00:00 AM;82;106;1020;3;2-4
31-May-16 12:00:00 AM;82;107;3020;3;2-4
31-May-16 12:00:00 AM;82;108;2740;3;2-4
31-May-16 12:00:00 AM;96;82;3540;1;2-1
31-May-16 12:00:00 AM;97;82;3480;1;2-1
31-May-16 12:00:00 AM;98;82;3360;1;2-1
31-May-16 12:00:00 AM;100;82;3300;1;2-1
31-May-16 12:00:00 AM;101;82;3240;1;2-1
31-May-16 12:00:00 AM;102;82;3180;1;2-1
31-May-16 12:00:00 AM;103;82;3060;1;2-1
31-May-16 12:00:00 AM;104;82;2760;1;2-1
31-May-16 12:00:00 AM;105;82;2700;1;2-1
31-May-16 12:00:00 AM;106;82;2460;1;2-1
31-May-16 12:00:00 AM;107;82;2340;1;2-1
31-May-16 12:00:00 AM;108;82;2100;1;2-1
