date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;83;3340;3;1-1
31-May-16 12:00:00 AM;6;83;1460;6;2-4
31-May-16 12:00:00 AM;7;83;2592;5;2-4
31-May-16 12:00:00 AM;8;83;1656;5;2-4
31-May-16 12:00:00 AM;9;83;2160;2;2-4
31-May-16 12:00:00 AM;10;83;2550;6;2-4
31-May-16 12:00:00 AM;11;83;2115;8;2-4
31-May-16 12:00:00 AM;12;83;2382;7;2-4
31-May-16 12:00:00 AM;14;83;1030;6;2-7
31-May-16 12:00:00 AM;15;83;2220;4;2-7
31-May-16 12:00:00 AM;16;83;2160;6;2-4
31-May-16 12:00:00 AM;17;83;1776;5;2-4
31-May-16 12:00:00 AM;18;83;2017;8;2-4
31-May-16 12:00:00 AM;19;83;1980;4;2-4
31-May-16 12:00:00 AM;20;83;1020;4;2-4
31-May-16 12:00:00 AM;21;83;1050;4;2-4
31-May-16 12:00:00 AM;25;83;640;3;1-1
31-May-16 12:00:00 AM;22;83;2260;3;2-4
31-May-16 12:00:00 AM;23;83;1210;6;2-4
31-May-16 12:00:00 AM;24;83;1200;10;2-4
31-May-16 12:00:00 AM;26;83;1053;9;2-4
31-May-16 12:00:00 AM;27;83;2355;4;2-4
31-May-16 12:00:00 AM;28;83;1110;4;2-4
31-May-16 12:00:00 AM;29;83;1987;8;2-4
31-May-16 12:00:00 AM;30;83;1020;4;2-4
31-May-16 12:00:00 AM;31;83;1720;3;2-4
31-May-16 12:00:00 AM;32;83;1500;2;2-4
31-May-16 12:00:00 AM;35;83;1320;1;1-1
31-May-16 12:00:00 AM;45;83;2100;3;1-1
31-May-16 12:00:00 AM;33;83;1912;8;2-4
31-May-16 12:00:00 AM;48;83;1620;5;1-1
31-May-16 12:00:00 AM;36;83;1320;1;2-4
31-May-16 12:00:00 AM;39;83;1320;1;2-4
31-May-16 12:00:00 AM;40;83;1320;1;2-4
31-May-16 12:00:00 AM;42;83;1320;1;2-4
31-May-16 12:00:00 AM;43;83;1320;1;2-4
31-May-16 12:00:00 AM;44;83;960;11;2-4
31-May-16 12:00:00 AM;37;83;1540;3;2-4
31-May-16 12:00:00 AM;38;83;1260;1;2-4
31-May-16 12:00:00 AM;46;83;600;5;2-4
31-May-16 12:00:00 AM;50;83;1590;6;2-4
31-May-16 12:00:00 AM;49;83;600;6;2-4
31-May-16 12:00:00 AM;51;83;2100;5;2-4
31-May-16 12:00:00 AM;52;83;1290;10;2-4
31-May-16 12:00:00 AM;55;83;1086;9;1-4
31-May-16 12:00:00 AM;54;83;1860;5;2-7
31-May-16 12:00:00 AM;56;83;564;5;2-4
31-May-16 12:00:00 AM;57;83;693;9;2-4
31-May-16 12:00:00 AM;58;83;1665;8;2-4
31-May-16 12:00:00 AM;59;83;1950;6;2-4
31-May-16 12:00:00 AM;60;83;720;2;2-4
31-May-16 12:00:00 AM;61;83;600;6;2-4
31-May-16 12:00:00 AM;62;83;720;2;2-4
31-May-16 12:00:00 AM;63;83;1190;6;2-4
31-May-16 12:00:00 AM;47;83;1815;4;1-1
31-May-16 12:00:00 AM;65;83;1140;9;2-4
31-May-16 12:00:00 AM;66;83;1507;8;2-4
31-May-16 12:00:00 AM;76;83;1551;7;1-1
31-May-16 12:00:00 AM;77;83;1410;4;1-1
31-May-16 12:00:00 AM;68;83;1180;3;2-4
31-May-16 12:00:00 AM;69;83;2244;5;2-4
31-May-16 12:00:00 AM;1;83;648;10;2-4
31-May-16 12:00:00 AM;70;83;1140;11;2-4
31-May-16 12:00:00 AM;78;83;1428;5;1-1
31-May-16 12:00:00 AM;79;83;694;7;1-1
31-May-16 12:00:00 AM;72;83;1525;7;2-4
31-May-16 12:00:00 AM;74;83;806;9;2-4
31-May-16 12:00:00 AM;75;83;825;4;2-4
31-May-16 12:00:00 AM;80;83;1234;7;1-1
31-May-16 12:00:00 AM;81;83;1327;8;1-1
31-May-16 12:00:00 AM;82;83;1160;6;2-4
31-May-16 12:00:00 AM;83;80;1440;8;2-3
31-May-16 12:00:00 AM;83;78;1428;5;2-3
31-May-16 12:00:00 AM;83;76;1551;7;2-3
31-May-16 12:00:00 AM;83;79;694;7;2-3
31-May-16 12:00:00 AM;83;77;1410;4;2-3
31-May-16 12:00:00 AM;83;81;1327;8;2-3
31-May-16 12:00:00 AM;83;94;1290;6;2-3
31-May-16 12:00:00 AM;83;48;1560;2;2-3
31-May-16 12:00:00 AM;83;47;2260;3;2-3
31-May-16 12:00:00 AM;85;83;1920;7;2-7
31-May-16 12:00:00 AM;94;83;948;5;2-7
31-May-16 12:00:00 AM;83;87;2268;5;2-3
31-May-16 12:00:00 AM;41;83;2796;10;2-4
31-May-16 12:00:00 AM;3;83;1610;6;2-4
31-May-16 12:00:00 AM;84;83;1800;3;2-4
31-May-16 12:00:00 AM;87;83;2268;5;1-4
31-May-16 12:00:00 AM;83;72;1530;4;1-4
31-May-16 12:00:00 AM;83;10;2448;5;1-4
31-May-16 12:00:00 AM;83;27;2120;3;1-4
31-May-16 12:00:00 AM;83;4;300;2;1-4
31-May-16 12:00:00 AM;83;31;360;2;1-4
31-May-16 12:00:00 AM;83;54;1860;5;1-4
31-May-16 12:00:00 AM;83;68;420;2;1-4
31-May-16 12:00:00 AM;83;71;480;2;1-4
31-May-16 12:00:00 AM;83;67;1120;6;1-4
31-May-16 12:00:00 AM;83;51;1920;4;1-4
31-May-16 12:00:00 AM;83;12;2310;6;1-4
31-May-16 12:00:00 AM;83;16;2265;4;1-4
31-May-16 12:00:00 AM;83;29;1990;6;1-4
31-May-16 12:00:00 AM;83;7;2550;4;1-4
31-May-16 12:00:00 AM;83;13;3300;2;1-4
31-May-16 12:00:00 AM;83;64;600;2;1-4
31-May-16 12:00:00 AM;83;58;1580;6;1-4
31-May-16 12:00:00 AM;83;19;600;2;1-4
31-May-16 12:00:00 AM;83;15;870;2;1-4
31-May-16 12:00:00 AM;83;33;960;2;1-4
31-May-16 12:00:00 AM;83;18;2288;7;1-4
31-May-16 12:00:00 AM;83;5;1380;2;1-4
31-May-16 12:00:00 AM;83;85;1680;2;1-4
31-May-16 12:00:00 AM;83;82;1680;2;1-4
31-May-16 12:00:00 AM;83;84;1680;2;1-4
31-May-16 12:00:00 AM;83;8;2160;2;1-4
31-May-16 12:00:00 AM;83;24;2280;2;1-4
31-May-16 12:00:00 AM;83;70;2280;2;1-4
31-May-16 12:00:00 AM;83;20;2370;2;1-4
31-May-16 12:00:00 AM;83;21;2400;2;1-4
31-May-16 12:00:00 AM;83;61;2490;2;1-4
31-May-16 12:00:00 AM;83;66;2490;2;1-4
31-May-16 12:00:00 AM;83;6;1780;3;1-4
31-May-16 12:00:00 AM;83;95;1920;3;1-4
31-May-16 12:00:00 AM;83;28;2700;2;1-4
31-May-16 12:00:00 AM;83;9;2760;2;1-4
31-May-16 12:00:00 AM;83;30;2880;2;1-4
31-May-16 12:00:00 AM;83;14;2880;2;1-4
31-May-16 12:00:00 AM;83;57;2880;2;1-4
31-May-16 12:00:00 AM;83;44;2940;2;1-4
31-May-16 12:00:00 AM;83;74;3030;2;1-4
