date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;85;2413;13;1-1
31-May-16 12:00:00 AM;6;85;1496;19;2-4
31-May-16 12:00:00 AM;7;85;1397;21;2-4
31-May-16 12:00:00 AM;10;85;1515;20;2-4
31-May-16 12:00:00 AM;8;85;1130;19;2-4
31-May-16 12:00:00 AM;11;85;1867;16;2-4
31-May-16 12:00:00 AM;9;85;1560;16;2-4
31-May-16 12:00:00 AM;12;85;1317;22;2-4
31-May-16 12:00:00 AM;14;85;1736;18;2-7
31-May-16 12:00:00 AM;15;85;1210;17;2-7
31-May-16 12:00:00 AM;16;85;1098;16;2-4
31-May-16 12:00:00 AM;17;85;708;16;2-4
31-May-16 12:00:00 AM;18;85;1118;14;2-4
31-May-16 12:00:00 AM;19;85;1157;17;2-4
31-May-16 12:00:00 AM;20;85;1345;19;2-4
31-May-16 12:00:00 AM;21;85;1465;14;2-4
31-May-16 12:00:00 AM;25;85;1629;13;1-1
31-May-16 12:00:00 AM;22;85;888;25;2-4
31-May-16 12:00:00 AM;23;85;1707;22;2-4
31-May-16 12:00:00 AM;24;85;1218;20;2-4
31-May-16 12:00:00 AM;26;85;1882;19;2-4
31-May-16 12:00:00 AM;27;85;1767;13;2-1
31-May-16 12:00:00 AM;28;85;1496;19;2-4
31-May-16 12:00:00 AM;30;85;1879;22;2-4
31-May-16 12:00:00 AM;29;85;1383;20;2-4
31-May-16 12:00:00 AM;31;85;1816;15;2-4
31-May-16 12:00:00 AM;32;85;2128;15;2-4
31-May-16 12:00:00 AM;35;85;1475;12;1-1
31-May-16 12:00:00 AM;45;85;1680;12;1-1
31-May-16 12:00:00 AM;33;85;2340;15;2-1
31-May-16 12:00:00 AM;36;85;2192;11;2-4
31-May-16 12:00:00 AM;48;85;943;18;1-1
31-May-16 12:00:00 AM;39;85;1905;8;2-4
31-May-16 12:00:00 AM;40;85;2074;19;2-4
31-May-16 12:00:00 AM;42;85;2081;13;2-4
31-May-16 12:00:00 AM;44;85;2227;16;2-1
31-May-16 12:00:00 AM;43;85;1790;12;2-4
31-May-16 12:00:00 AM;37;85;1700;21;2-4
31-May-16 12:00:00 AM;38;85;1851;7;2-4
31-May-16 12:00:00 AM;46;85;2456;17;2-4
31-May-16 12:00:00 AM;50;85;1641;17;2-4
31-May-16 12:00:00 AM;49;85;1570;24;2-4
31-May-16 12:00:00 AM;51;85;1662;14;2-4
31-May-16 12:00:00 AM;52;85;2198;17;2-4
31-May-16 12:00:00 AM;55;85;2045;23;1-4
31-May-16 12:00:00 AM;54;85;1884;17;2-7
31-May-16 12:00:00 AM;57;85;2310;16;2-7
31-May-16 12:00:00 AM;56;85;1537;16;2-4
31-May-16 12:00:00 AM;58;85;1793;19;2-4
31-May-16 12:00:00 AM;59;85;1417;16;2-4
31-May-16 12:00:00 AM;60;85;1587;13;2-4
31-May-16 12:00:00 AM;63;85;1933;18;2-4
31-May-16 12:00:00 AM;61;85;2005;21;2-4
31-May-16 12:00:00 AM;62;85;1747;17;2-4
