date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;3;86;1833;25;3-4
31-May-16 12:00:00 AM;4;86;1390;30;3-4
31-May-16 12:00:00 AM;5;86;1668;30;3-4
31-May-16 12:00:00 AM;2;86;1632;15;1-1
31-May-16 12:00:00 AM;6;86;1330;17;2-4
31-May-16 12:00:00 AM;7;86;1144;15;2-4
31-May-16 12:00:00 AM;10;86;2000;12;2-4
31-May-16 12:00:00 AM;11;86;1680;8;2-4
31-May-16 12:00:00 AM;8;86;1487;14;2-4
31-May-16 12:00:00 AM;9;86;1504;13;2-4
31-May-16 12:00:00 AM;12;86;1054;14;2-4
31-May-16 12:00:00 AM;16;86;2014;14;2-4
31-May-16 12:00:00 AM;17;86;1556;17;2-4
31-May-16 12:00:00 AM;18;86;1265;12;2-4
31-May-16 12:00:00 AM;19;86;1356;10;2-4
31-May-16 12:00:00 AM;20;86;1886;9;2-4
31-May-16 12:00:00 AM;21;86;2465;12;2-4
31-May-16 12:00:00 AM;25;86;1962;14;1-1
31-May-16 12:00:00 AM;22;86;1090;18;2-4
31-May-16 12:00:00 AM;23;86;1303;18;2-4
31-May-16 12:00:00 AM;24;86;1980;12;2-4
31-May-16 12:00:00 AM;26;86;2133;9;2-4
31-May-16 12:00:00 AM;28;86;1320;13;2-4
31-May-16 12:00:00 AM;30;86;2067;13;2-4
31-May-16 12:00:00 AM;29;86;1835;17;2-4
31-May-16 12:00:00 AM;27;86;1980;18;2-4
31-May-16 12:00:00 AM;31;86;1718;14;2-4
31-May-16 12:00:00 AM;32;86;1170;10;2-4
31-May-16 12:00:00 AM;35;86;1753;13;1-1
31-May-16 12:00:00 AM;45;86;1830;14;1-1
31-May-16 12:00:00 AM;36;86;1951;29;2-4
31-May-16 12:00:00 AM;39;86;1975;29;2-4
31-May-16 12:00:00 AM;40;86;2098;34;2-4
31-May-16 12:00:00 AM;33;86;1750;12;2-4
31-May-16 12:00:00 AM;42;86;1710;31;2-4
31-May-16 12:00:00 AM;43;86;1345;31;2-4
31-May-16 12:00:00 AM;44;86;1480;12;2-4
31-May-16 12:00:00 AM;41;86;1539;26;3-3
31-May-16 12:00:00 AM;34;86;2090;32;3-3
31-May-16 12:00:00 AM;37;86;1785;38;2-4
31-May-16 12:00:00 AM;38;86;2295;23;2-4
31-May-16 12:00:00 AM;46;86;1527;11;2-4
31-May-16 12:00:00 AM;50;86;996;10;2-4
31-May-16 12:00:00 AM;49;86;1414;19;2-4
31-May-16 12:00:00 AM;51;86;1758;13;2-4
31-May-16 12:00:00 AM;52;86;888;16;2-4
31-May-16 12:00:00 AM;55;86;1591;21;1-4
31-May-16 12:00:00 AM;56;86;1740;12;2-4
31-May-16 12:00:00 AM;58;86;1176;13;2-4
31-May-16 12:00:00 AM;57;86;1334;17;2-4
31-May-16 12:00:00 AM;59;86;1147;16;2-4
31-May-16 12:00:00 AM;60;86;918;10;2-4
31-May-16 12:00:00 AM;63;86;1440;14;2-4
31-May-16 12:00:00 AM;61;86;1256;15;2-4
31-May-16 12:00:00 AM;62;86;1500;7;2-4
31-May-16 12:00:00 AM;64;86;1600;27;3-3
31-May-16 12:00:00 AM;65;86;1032;20;2-4
31-May-16 12:00:00 AM;66;86;1778;14;2-4
31-May-16 12:00:00 AM;68;86;1370;13;2-4
31-May-16 12:00:00 AM;69;86;1287;13;2-4
31-May-16 12:00:00 AM;1;86;1670;31;2-4
31-May-16 12:00:00 AM;70;86;1170;12;2-4
31-May-16 12:00:00 AM;75;86;1188;16;2-4
31-May-16 12:00:00 AM;72;86;830;13;2-4
31-May-16 12:00:00 AM;74;86;1160;12;2-4
31-May-16 12:00:00 AM;71;86;2283;31;3-3
31-May-16 12:00:00 AM;82;86;2112;15;2-4
31-May-16 12:00:00 AM;85;86;2136;20;2-4
31-May-16 12:00:00 AM;84;86;1819;31;3-1
31-May-16 12:00:00 AM;86;86;688;83;1-1
31-May-16 12:00:00 AM;86;87;1373;28;1-1
31-May-16 12:00:00 AM;86;88;1635;24;1-1
31-May-16 12:00:00 AM;86;89;1696;18;1-1
31-May-16 12:00:00 AM;86;90;924;30;1-1
31-May-16 12:00:00 AM;86;91;1432;23;1-1
31-May-16 12:00:00 AM;86;92;1830;24;1-1
31-May-16 12:00:00 AM;86;93;1516;41;1-1
31-May-16 12:00:00 AM;86;94;812;11;1-1
31-May-16 12:00:00 AM;48;86;1290;28;3-4
31-May-16 12:00:00 AM;87;86;1136;36;1-4
31-May-16 12:00:00 AM;88;86;1342;34;1-4
31-May-16 12:00:00 AM;89;86;1642;30;1-4
31-May-16 12:00:00 AM;91;86;1544;30;1-4
31-May-16 12:00:00 AM;92;86;1364;34;1-4
31-May-16 12:00:00 AM;93;86;1284;37;1-4
31-May-16 12:00:00 AM;90;86;1474;37;1-4
31-May-16 12:00:00 AM;86;95;2151;20;3-4
31-May-16 12:00:00 AM;86;47;1780;12;3-4
31-May-16 12:00:00 AM;86;34;1601;19;3-4
31-May-16 12:00:00 AM;86;30;767;14;3-4
31-May-16 12:00:00 AM;86;41;1385;11;3-4
31-May-16 12:00:00 AM;86;36;2036;16;3-4
31-May-16 12:00:00 AM;86;57;1118;17;3-4
31-May-16 12:00:00 AM;86;71;1725;28;3-4
31-May-16 12:00:00 AM;86;84;2241;14;3-4
31-May-16 12:00:00 AM;86;64;1308;31;3-4
31-May-16 12:00:00 AM;86;48;1800;28;3-1
31-May-16 12:00:00 AM;86;39;1387;16;3-1
31-May-16 12:00:00 AM;86;42;1526;16;3-1
31-May-16 12:00:00 AM;86;38;2328;16;3-1
31-May-16 12:00:00 AM;86;43;1447;24;3-1
31-May-16 12:00:00 AM;86;3;2598;19;3-1
31-May-16 12:00:00 AM;86;4;1661;23;3-1
31-May-16 12:00:00 AM;86;40;1830;12;3-1
31-May-16 12:00:00 AM;86;5;1775;22;3-1
31-May-16 12:00:00 AM;67;86;2050;22;1-4
31-May-16 12:00:00 AM;15;86;1843;11;1-1
31-May-16 12:00:00 AM;95;86;1768;27;1-4
31-May-16 12:00:00 AM;14;86;1341;14;2-4
31-May-16 12:00:00 AM;94;86;1436;15;1-4
31-May-16 12:00:00 AM;86;16;1456;15;1-4
31-May-16 12:00:00 AM;86;52;975;19;1-4
31-May-16 12:00:00 AM;86;63;1174;14;1-4
31-May-16 12:00:00 AM;86;17;895;13;1-4
31-May-16 12:00:00 AM;86;60;632;11;1-4
31-May-16 12:00:00 AM;86;75;1280;12;1-4
31-May-16 12:00:00 AM;86;59;1386;10;1-4
31-May-16 12:00:00 AM;86;77;977;17;1-4
31-May-16 12:00:00 AM;86;68;1093;9;1-4
31-May-16 12:00:00 AM;86;7;1500;14;1-4
31-May-16 12:00:00 AM;86;29;1392;14;1-4
31-May-16 12:00:00 AM;86;19;1704;10;1-4
31-May-16 12:00:00 AM;86;10;1728;15;1-4
31-May-16 12:00:00 AM;86;27;1560;15;1-4
31-May-16 12:00:00 AM;86;51;1560;16;1-4
31-May-16 12:00:00 AM;86;15;1620;15;1-4
31-May-16 12:00:00 AM;86;58;1638;13;1-4
31-May-16 12:00:00 AM;86;53;2197;16;1-1
