date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;3;87;1612;30;3-4
31-May-16 12:00:00 AM;4;87;2176;29;3-4
31-May-16 12:00:00 AM;5;87;1796;31;3-4
31-May-16 12:00:00 AM;2;87;1984;13;1-1
31-May-16 12:00:00 AM;6;87;1104;15;2-4
31-May-16 12:00:00 AM;7;87;1488;21;2-4
31-May-16 12:00:00 AM;10;87;1796;17;2-4
31-May-16 12:00:00 AM;11;87;1763;13;2-4
31-May-16 12:00:00 AM;8;87;1044;17;2-4
31-May-16 12:00:00 AM;9;87;1731;14;2-4
31-May-16 12:00:00 AM;12;87;1210;18;2-4
31-May-16 12:00:00 AM;16;87;1343;18;2-4
31-May-16 12:00:00 AM;17;87;852;14;2-4
31-May-16 12:00:00 AM;18;87;1252;15;2-4
31-May-16 12:00:00 AM;19;87;1428;16;2-4
31-May-16 12:00:00 AM;20;87;1373;18;2-4
31-May-16 12:00:00 AM;21;87;1672;16;2-4
31-May-16 12:00:00 AM;25;87;1474;14;1-1
31-May-16 12:00:00 AM;22;87;1105;21;2-4
31-May-16 12:00:00 AM;23;87;1756;18;2-4
31-May-16 12:00:00 AM;24;87;1150;24;2-4
31-May-16 12:00:00 AM;26;87;1507;16;2-4
31-May-16 12:00:00 AM;28;87;1336;22;2-4
31-May-16 12:00:00 AM;30;87;1712;13;2-4
31-May-16 12:00:00 AM;29;87;1027;16;2-4
31-May-16 12:00:00 AM;27;87;1504;15;2-4
31-May-16 12:00:00 AM;31;87;1670;13;2-4
31-May-16 12:00:00 AM;32;87;1467;13;2-4
31-May-16 12:00:00 AM;35;87;1815;12;1-1
31-May-16 12:00:00 AM;45;87;1832;13;1-1
31-May-16 12:00:00 AM;36;87;1969;34;2-4
31-May-16 12:00:00 AM;39;87;1696;30;2-4
31-May-16 12:00:00 AM;40;87;1615;39;2-4
31-May-16 12:00:00 AM;33;87;1938;20;2-4
31-May-16 12:00:00 AM;42;87;1873;35;2-4
31-May-16 12:00:00 AM;43;87;1795;26;2-4
31-May-16 12:00:00 AM;44;87;1291;17;2-4
31-May-16 12:00:00 AM;41;87;1830;35;3-3
31-May-16 12:00:00 AM;34;87;1593;23;3-3
31-May-16 12:00:00 AM;37;87;1843;41;2-4
31-May-16 12:00:00 AM;38;87;2160;20;2-4
31-May-16 12:00:00 AM;46;87;1786;18;2-4
31-May-16 12:00:00 AM;50;87;1320;13;2-4
31-May-16 12:00:00 AM;49;87;1333;26;2-4
31-May-16 12:00:00 AM;51;87;1788;15;2-4
31-May-16 12:00:00 AM;52;87;1290;14;2-4
31-May-16 12:00:00 AM;55;87;1331;21;1-4
31-May-16 12:00:00 AM;56;87;1437;21;2-4
31-May-16 12:00:00 AM;58;87;1467;20;2-4
31-May-16 12:00:00 AM;57;87;1604;19;2-4
31-May-16 12:00:00 AM;59;87;1740;17;2-4
31-May-16 12:00:00 AM;60;87;1600;12;2-4
31-May-16 12:00:00 AM;63;87;1500;18;2-4
31-May-16 12:00:00 AM;61;87;1866;18;2-4
31-May-16 12:00:00 AM;62;87;900;12;2-4
31-May-16 12:00:00 AM;64;87;2244;17;3-3
31-May-16 12:00:00 AM;65;87;1372;25;2-4
31-May-16 12:00:00 AM;66;87;1712;22;2-4
31-May-16 12:00:00 AM;68;87;1482;20;2-4
31-May-16 12:00:00 AM;69;87;1548;20;2-4
31-May-16 12:00:00 AM;1;87;1794;35;2-4
31-May-16 12:00:00 AM;70;87;1475;22;2-4
31-May-16 12:00:00 AM;75;87;900;17;2-4
31-May-16 12:00:00 AM;72;87;1270;17;2-4
31-May-16 12:00:00 AM;74;87;1334;17;2-4
31-May-16 12:00:00 AM;71;87;1768;30;3-3
31-May-16 12:00:00 AM;82;87;1578;29;2-4
31-May-16 12:00:00 AM;85;87;1380;35;2-4
31-May-16 12:00:00 AM;84;87;1224;30;3-1
31-May-16 12:00:00 AM;86;87;1373;28;1-1
31-May-16 12:00:00 AM;87;87;811;94;1-1
31-May-16 12:00:00 AM;87;88;1192;33;1-1
31-May-16 12:00:00 AM;87;89;1374;30;1-1
31-May-16 12:00:00 AM;87;90;1022;24;1-1
31-May-16 12:00:00 AM;87;91;977;24;1-1
31-May-16 12:00:00 AM;87;92;1390;29;1-1
31-May-16 12:00:00 AM;87;93;1783;33;1-1
31-May-16 12:00:00 AM;87;94;987;20;1-1
31-May-16 12:00:00 AM;48;87;1114;19;3-4
31-May-16 12:00:00 AM;87;86;1136;36;1-4
31-May-16 12:00:00 AM;88;87;1131;29;1-4
31-May-16 12:00:00 AM;89;87;1457;41;1-4
31-May-16 12:00:00 AM;91;87;1393;26;1-4
31-May-16 12:00:00 AM;92;87;1684;25;1-4
31-May-16 12:00:00 AM;93;87;1875;23;1-4
31-May-16 12:00:00 AM;90;87;1396;29;1-4
31-May-16 12:00:00 AM;87;48;1542;41;3-1
31-May-16 12:00:00 AM;87;39;1805;22;3-3
31-May-16 12:00:00 AM;87;57;1928;30;3-3
31-May-16 12:00:00 AM;87;4;991;25;3-3
31-May-16 12:00:00 AM;87;42;1762;24;3-1
31-May-16 12:00:00 AM;87;34;1622;30;3-1
31-May-16 12:00:00 AM;87;38;1617;22;3-1
31-May-16 12:00:00 AM;87;43;2364;27;3-1
31-May-16 12:00:00 AM;87;30;1755;27;3-1
31-May-16 12:00:00 AM;87;64;1801;37;3-1
31-May-16 12:00:00 AM;87;41;895;13;3-1
31-May-16 12:00:00 AM;87;3;1088;30;3-1
31-May-16 12:00:00 AM;87;36;2035;25;3-1
31-May-16 12:00:00 AM;94;87;1623;20;2-3
31-May-16 12:00:00 AM;87;40;1557;26;3-1
31-May-16 12:00:00 AM;87;71;2154;41;3-1
31-May-16 12:00:00 AM;78;87;1264;15;2-3
31-May-16 12:00:00 AM;80;87;1585;14;2-3
31-May-16 12:00:00 AM;76;87;2040;15;2-3
31-May-16 12:00:00 AM;83;87;1606;9;2-3
31-May-16 12:00:00 AM;81;87;1435;13;2-3
31-May-16 12:00:00 AM;79;87;1745;11;2-3
31-May-16 12:00:00 AM;13;87;1474;7;2-1
