date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;3;88;1899;23;3-4
31-May-16 12:00:00 AM;4;88;2010;20;3-4
31-May-16 12:00:00 AM;5;88;1707;22;3-4
31-May-16 12:00:00 AM;2;88;2381;13;1-1
31-May-16 12:00:00 AM;6;88;1549;11;2-4
31-May-16 12:00:00 AM;7;88;1122;10;2-4
31-May-16 12:00:00 AM;10;88;2453;9;2-4
31-May-16 12:00:00 AM;11;88;2082;7;2-4
31-May-16 12:00:00 AM;8;88;1864;13;2-4
31-May-16 12:00:00 AM;9;88;1352;11;2-4
31-May-16 12:00:00 AM;12;88;926;9;2-4
31-May-16 12:00:00 AM;16;88;2048;7;2-4
31-May-16 12:00:00 AM;17;88;862;8;2-4
31-May-16 12:00:00 AM;18;88;1542;10;2-4
31-May-16 12:00:00 AM;19;88;1525;7;2-4
31-May-16 12:00:00 AM;20;88;780;9;2-4
31-May-16 12:00:00 AM;21;88;868;15;2-4
31-May-16 12:00:00 AM;25;88;2235;12;1-1
31-May-16 12:00:00 AM;22;88;1898;14;2-4
31-May-16 12:00:00 AM;23;88;1914;10;2-4
31-May-16 12:00:00 AM;24;88;1248;10;2-4
31-May-16 12:00:00 AM;26;88;1326;10;2-4
31-May-16 12:00:00 AM;28;88;795;12;2-4
31-May-16 12:00:00 AM;30;88;2241;11;2-4
31-May-16 12:00:00 AM;29;88;2148;10;2-4
31-May-16 12:00:00 AM;27;88;952;8;2-4
31-May-16 12:00:00 AM;31;88;1671;7;2-4
31-May-16 12:00:00 AM;32;88;1830;6;2-4
31-May-16 12:00:00 AM;35;88;1810;12;1-1
31-May-16 12:00:00 AM;45;88;2010;12;1-1
31-May-16 12:00:00 AM;36;88;1962;35;2-4
31-May-16 12:00:00 AM;39;88;1742;21;2-4
31-May-16 12:00:00 AM;40;88;1937;34;2-4
31-May-16 12:00:00 AM;33;88;1650;6;2-4
31-May-16 12:00:00 AM;42;88;2239;28;2-4
31-May-16 12:00:00 AM;43;88;1560;19;2-4
31-May-16 12:00:00 AM;44;88;1326;9;2-4
31-May-16 12:00:00 AM;37;88;2150;39;2-4
31-May-16 12:00:00 AM;38;88;1862;21;2-4
31-May-16 12:00:00 AM;46;88;1630;12;2-4
31-May-16 12:00:00 AM;50;88;1368;10;2-4
31-May-16 12:00:00 AM;49;88;1260;16;2-4
31-May-16 12:00:00 AM;51;88;900;5;2-4
31-May-16 12:00:00 AM;52;88;1590;8;2-4
31-May-16 12:00:00 AM;55;88;1694;17;1-4
31-May-16 12:00:00 AM;56;88;924;10;2-4
31-May-16 12:00:00 AM;58;88;1140;10;2-4
31-May-16 12:00:00 AM;57;88;969;13;2-4
31-May-16 12:00:00 AM;59;88;1185;8;2-4
31-May-16 12:00:00 AM;60;88;1302;7;2-4
31-May-16 12:00:00 AM;63;88;2226;10;2-4
31-May-16 12:00:00 AM;61;88;1114;14;2-4
31-May-16 12:00:00 AM;62;88;2145;8;2-4
31-May-16 12:00:00 AM;65;88;908;14;2-4
31-May-16 12:00:00 AM;66;88;1680;9;2-4
31-May-16 12:00:00 AM;68;88;1176;10;2-4
31-May-16 12:00:00 AM;69;88;965;11;2-4
31-May-16 12:00:00 AM;1;88;1193;29;2-4
31-May-16 12:00:00 AM;70;88;1025;11;2-4
31-May-16 12:00:00 AM;75;88;867;13;2-4
31-May-16 12:00:00 AM;74;88;2425;7;2-4
31-May-16 12:00:00 AM;72;88;1692;14;2-4
31-May-16 12:00:00 AM;73;88;2174;17;3-2
31-May-16 12:00:00 AM;82;88;1526;16;2-4
31-May-16 12:00:00 AM;85;88;1653;25;2-4
31-May-16 12:00:00 AM;84;88;1692;42;3-1
31-May-16 12:00:00 AM;86;88;1635;24;1-1
31-May-16 12:00:00 AM;87;88;1192;33;1-1
31-May-16 12:00:00 AM;88;88;1264;63;1-1
31-May-16 12:00:00 AM;88;89;1875;28;1-1
31-May-16 12:00:00 AM;88;90;932;26;1-1
31-May-16 12:00:00 AM;88;91;681;25;1-1
31-May-16 12:00:00 AM;88;92;1894;31;1-1
31-May-16 12:00:00 AM;88;93;1923;40;1-1
31-May-16 12:00:00 AM;88;94;1633;9;1-1
31-May-16 12:00:00 AM;48;88;1190;18;3-4
31-May-16 12:00:00 AM;88;86;1342;34;1-4
31-May-16 12:00:00 AM;88;87;1131;29;1-4
31-May-16 12:00:00 AM;89;88;1348;30;1-4
31-May-16 12:00:00 AM;91;88;1648;27;1-4
31-May-16 12:00:00 AM;92;88;1472;26;1-4
31-May-16 12:00:00 AM;93;88;1639;25;1-4
31-May-16 12:00:00 AM;90;88;1344;30;1-4
31-May-16 12:00:00 AM;88;95;2148;25;3-4
31-May-16 12:00:00 AM;88;47;2577;21;3-4
31-May-16 12:00:00 AM;88;34;1532;35;3-4
31-May-16 12:00:00 AM;88;30;1802;23;3-4
31-May-16 12:00:00 AM;88;41;1555;14;3-4
31-May-16 12:00:00 AM;88;36;1800;29;3-4
31-May-16 12:00:00 AM;88;57;1254;22;3-4
31-May-16 12:00:00 AM;88;71;1847;33;3-4
31-May-16 12:00:00 AM;88;84;1734;41;3-4
