date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;89;120;1;1-1
31-May-16 12:00:00 AM;3;89;2025;4;3-4
31-May-16 12:00:00 AM;4;89;2365;7;3-4
31-May-16 12:00:00 AM;6;89;2760;1;2-4
31-May-16 12:00:00 AM;7;89;2760;1;2-4
31-May-16 12:00:00 AM;5;89;1360;6;3-4
31-May-16 12:00:00 AM;8;89;2640;1;2-4
31-May-16 12:00:00 AM;9;89;2640;1;2-4
31-May-16 12:00:00 AM;10;89;2640;1;2-4
31-May-16 12:00:00 AM;11;89;2640;1;2-4
31-May-16 12:00:00 AM;12;89;2640;1;2-4
31-May-16 12:00:00 AM;16;89;2400;1;2-4
31-May-16 12:00:00 AM;17;89;2400;1;2-4
31-May-16 12:00:00 AM;18;89;2340;1;2-4
31-May-16 12:00:00 AM;19;89;2340;1;2-4
31-May-16 12:00:00 AM;20;89;2340;1;2-4
31-May-16 12:00:00 AM;21;89;2340;1;2-4
31-May-16 12:00:00 AM;25;89;2220;1;1-1
31-May-16 12:00:00 AM;22;89;2220;1;2-4
31-May-16 12:00:00 AM;23;89;2220;1;2-4
31-May-16 12:00:00 AM;24;89;2220;1;2-4
31-May-16 12:00:00 AM;26;89;2160;1;2-4
31-May-16 12:00:00 AM;27;89;2100;1;2-4
31-May-16 12:00:00 AM;28;89;2040;1;2-4
31-May-16 12:00:00 AM;29;89;2040;1;2-4
31-May-16 12:00:00 AM;30;89;2040;1;2-4
31-May-16 12:00:00 AM;31;89;1980;1;2-4
31-May-16 12:00:00 AM;32;89;1980;1;2-4
31-May-16 12:00:00 AM;35;89;1860;1;1-1
31-May-16 12:00:00 AM;45;89;1800;1;1-1
31-May-16 12:00:00 AM;33;89;1860;1;2-4
31-May-16 12:00:00 AM;36;89;2014;7;2-4
31-May-16 12:00:00 AM;39;89;2064;5;2-4
31-May-16 12:00:00 AM;40;89;2352;5;2-4
31-May-16 12:00:00 AM;42;89;2630;6;2-4
31-May-16 12:00:00 AM;43;89;1714;7;2-4
31-May-16 12:00:00 AM;44;89;1800;1;2-4
31-May-16 12:00:00 AM;37;89;1928;7;2-4
