date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;8;1162;8;1-1
31-May-16 12:00:00 AM;2;8;2120;3;1-1
31-May-16 12:00:00 AM;6;8;1417;8;2-4
31-May-16 12:00:00 AM;7;8;1800;10;2-4
31-May-16 12:00:00 AM;8;13;1278;10;2-4
31-May-16 12:00:00 AM;8;14;1329;13;2-4
31-May-16 12:00:00 AM;8;15;1546;9;2-4
31-May-16 12:00:00 AM;8;16;1707;13;2-4
31-May-16 12:00:00 AM;8;17;1710;10;2-4
31-May-16 12:00:00 AM;8;18;2047;8;2-4
31-May-16 12:00:00 AM;8;19;2001;14;2-4
31-May-16 12:00:00 AM;8;20;2004;10;2-4
31-May-16 12:00:00 AM;8;21;1908;10;2-4
31-May-16 12:00:00 AM;8;22;1380;9;2-4
31-May-16 12:00:00 AM;8;23;1695;8;2-4
31-May-16 12:00:00 AM;8;24;1620;12;2-4
31-May-16 12:00:00 AM;8;26;1290;10;2-4
31-May-16 12:00:00 AM;8;27;2182;8;2-4
31-May-16 12:00:00 AM;8;28;2010;12;2-4
31-May-16 12:00:00 AM;8;29;2094;10;2-4
31-May-16 12:00:00 AM;8;30;1595;12;2-4
31-May-16 12:00:00 AM;8;31;2127;11;2-4
31-May-16 12:00:00 AM;8;32;1740;13;2-4
31-May-16 12:00:00 AM;8;33;1746;9;2-4
31-May-16 12:00:00 AM;8;34;1860;2;2-4
31-May-16 12:00:00 AM;8;36;3300;1;2-4
31-May-16 12:00:00 AM;8;39;2520;1;2-4
31-May-16 12:00:00 AM;8;40;2220;1;2-4
31-May-16 12:00:00 AM;8;41;1812;5;2-4
31-May-16 12:00:00 AM;8;42;2520;1;2-4
31-May-16 12:00:00 AM;8;43;1560;1;2-4
31-May-16 12:00:00 AM;8;44;1693;9;2-4
31-May-16 12:00:00 AM;8;37;1470;4;2-4
31-May-16 12:00:00 AM;8;38;120;1;2-4
31-May-16 12:00:00 AM;8;46;1413;9;2-4
31-May-16 12:00:00 AM;8;50;1416;10;2-4
31-May-16 12:00:00 AM;8;49;1301;13;2-4
31-May-16 12:00:00 AM;8;51;1860;12;2-4
31-May-16 12:00:00 AM;8;52;1700;9;2-4
31-May-16 12:00:00 AM;8;1;705;4;2-4
31-May-16 12:00:00 AM;8;54;1046;9;2-4
31-May-16 12:00:00 AM;8;55;1697;7;2-4
31-May-16 12:00:00 AM;8;47;1900;9;2-4
31-May-16 12:00:00 AM;8;56;1598;14;2-4
31-May-16 12:00:00 AM;8;57;1632;10;2-4
31-May-16 12:00:00 AM;8;58;2256;10;2-4
31-May-16 12:00:00 AM;8;59;1463;13;2-4
31-May-16 12:00:00 AM;8;60;1903;11;2-4
31-May-16 12:00:00 AM;8;61;2016;10;2-4
31-May-16 12:00:00 AM;8;62;1865;12;2-4
31-May-16 12:00:00 AM;8;63;1902;10;2-4
31-May-16 12:00:00 AM;8;64;1580;3;2-4
31-May-16 12:00:00 AM;8;65;1406;9;2-4
31-May-16 12:00:00 AM;8;66;1590;12;2-4
31-May-16 12:00:00 AM;8;67;1968;20;2-4
31-May-16 12:00:00 AM;8;68;1650;12;2-4
31-May-16 12:00:00 AM;8;69;1530;12;2-4
31-May-16 12:00:00 AM;8;70;2048;7;2-4
31-May-16 12:00:00 AM;8;71;2320;3;2-4
31-May-16 12:00:00 AM;8;72;1476;10;2-4
31-May-16 12:00:00 AM;8;73;1800;1;2-4
31-May-16 12:00:00 AM;8;74;1546;9;2-4
31-May-16 12:00:00 AM;8;75;1560;9;2-4
31-May-16 12:00:00 AM;8;53;1980;4;2-4
31-May-16 12:00:00 AM;8;82;900;4;2-4
31-May-16 12:00:00 AM;8;83;1656;5;2-4
31-May-16 12:00:00 AM;8;80;1692;5;2-4
31-May-16 12:00:00 AM;8;78;1680;5;2-4
31-May-16 12:00:00 AM;8;76;1940;6;2-4
31-May-16 12:00:00 AM;8;79;1740;5;2-4
31-May-16 12:00:00 AM;8;77;1908;5;2-4
31-May-16 12:00:00 AM;8;84;1800;2;2-4
31-May-16 12:00:00 AM;8;85;900;4;2-4
31-May-16 12:00:00 AM;8;81;1692;5;2-4
31-May-16 12:00:00 AM;8;48;1945;7;2-4
31-May-16 12:00:00 AM;8;86;2040;2;2-4
31-May-16 12:00:00 AM;8;87;1160;6;2-4
31-May-16 12:00:00 AM;8;88;2640;1;2-4
31-May-16 12:00:00 AM;8;89;2640;1;2-4
31-May-16 12:00:00 AM;8;91;2640;1;2-4
31-May-16 12:00:00 AM;8;92;2640;1;2-4
31-May-16 12:00:00 AM;8;93;2640;1;2-4
31-May-16 12:00:00 AM;8;90;2700;1;2-4
31-May-16 12:00:00 AM;8;94;2310;6;2-4
31-May-16 12:00:00 AM;8;95;600;3;2-4
31-May-16 12:00:00 AM;8;12;1650;8;2-1
31-May-16 12:00:00 AM;8;7;1666;13;2-1
31-May-16 12:00:00 AM;8;10;1740;14;2-1
31-May-16 12:00:00 AM;8;9;1420;6;2-1
31-May-16 12:00:00 AM;8;11;2074;7;2-1
31-May-16 12:00:00 AM;23;8;1813;9;2-1
31-May-16 12:00:00 AM;35;8;1020;1;1-1
31-May-16 12:00:00 AM;72;8;1620;12;2-1
31-May-16 12:00:00 AM;82;8;1337;7;2-1
31-May-16 12:00:00 AM;85;8;1350;10;2-1
31-May-16 12:00:00 AM;94;8;2310;6;2-7
31-May-16 12:00:00 AM;74;8;1393;9;2-7
31-May-16 12:00:00 AM;25;8;2940;2;1-1
31-May-16 12:00:00 AM;12;8;1482;7;2-7
31-May-16 12:00:00 AM;33;8;1635;8;2-7
31-May-16 12:00:00 AM;26;8;1320;9;2-7
31-May-16 12:00:00 AM;54;8;1046;9;2-7
31-May-16 12:00:00 AM;29;8;2124;10;2-7
31-May-16 12:00:00 AM;24;8;1716;13;2-7
31-May-16 12:00:00 AM;15;8;1404;10;2-7
31-May-16 12:00:00 AM;50;8;1386;10;2-7
31-May-16 12:00:00 AM;58;8;2400;10;2-7
31-May-16 12:00:00 AM;75;8;1540;9;2-7
31-May-16 12:00:00 AM;52;8;1734;10;2-7
31-May-16 12:00:00 AM;70;8;2080;9;2-7
31-May-16 12:00:00 AM;17;8;1824;10;2-7
31-May-16 12:00:00 AM;44;8;1613;9;2-7
31-May-16 12:00:00 AM;63;8;1838;11;2-7
31-May-16 12:00:00 AM;11;8;2107;8;2-7
31-May-16 12:00:00 AM;14;8;1395;12;2-7
31-May-16 12:00:00 AM;45;8;1740;2;1-1
31-May-16 12:00:00 AM;18;8;2062;8;2-7
31-May-16 12:00:00 AM;57;8;2366;9;2-7
31-May-16 12:00:00 AM;21;8;1770;8;2-7
31-May-16 12:00:00 AM;20;8;1800;6;2-7
31-May-16 12:00:00 AM;55;8;1530;6;2-7
31-May-16 12:00:00 AM;46;8;2074;7;2-7
31-May-16 12:00:00 AM;28;8;1128;5;2-7
31-May-16 12:00:00 AM;32;8;1730;12;2-7
31-May-16 12:00:00 AM;62;8;1865;12;2-1
31-May-16 12:00:00 AM;60;8;1903;11;2-1
31-May-16 12:00:00 AM;59;8;1463;13;2-1
31-May-16 12:00:00 AM;51;8;1860;12;2-1
31-May-16 12:00:00 AM;41;8;1774;7;2-1
31-May-16 12:00:00 AM;27;8;1632;5;2-6
31-May-16 12:00:00 AM;9;8;1176;5;2-6
31-May-16 12:00:00 AM;68;8;1260;3;2-6
31-May-16 12:00:00 AM;49;8;1260;11;2-6
31-May-16 12:00:00 AM;22;8;1380;9;2-6
31-May-16 12:00:00 AM;61;8;2200;9;2-6
31-May-16 12:00:00 AM;10;8;1670;13;2-6
31-May-16 12:00:00 AM;16;8;1267;8;2-6
31-May-16 12:00:00 AM;65;8;1773;9;2-6
31-May-16 12:00:00 AM;3;8;1088;7;2-4
31-May-16 12:00:00 AM;19;8;1935;12;2-6
31-May-16 12:00:00 AM;56;8;1401;14;2-6
31-May-16 12:00:00 AM;66;8;1533;9;2-6
31-May-16 12:00:00 AM;71;8;2320;3;1-2
31-May-16 12:00:00 AM;77;8;1965;4;1-4
31-May-16 12:00:00 AM;31;8;2127;11;2-1
31-May-16 12:00:00 AM;84;8;1200;2;1-4
31-May-16 12:00:00 AM;88;8;720;3;1-4
31-May-16 12:00:00 AM;87;8;1160;6;1-4
31-May-16 12:00:00 AM;4;8;2960;3;1-2
31-May-16 12:00:00 AM;8;6;1590;10;1-2
31-May-16 12:00:00 AM;8;35;780;1;1-2
31-May-16 12:00:00 AM;69;8;2145;4;1-4
31-May-16 12:00:00 AM;76;8;2280;2;1-4
31-May-16 12:00:00 AM;30;8;2100;4;1-4
31-May-16 12:00:00 AM;78;8;2160;2;1-4
31-May-16 12:00:00 AM;79;8;2160;2;1-4
31-May-16 12:00:00 AM;83;8;2160;2;1-4
31-May-16 12:00:00 AM;47;8;2100;1;1-1
31-May-16 12:00:00 AM;80;8;1980;2;1-4
31-May-16 12:00:00 AM;81;8;1920;2;1-4
31-May-16 12:00:00 AM;67;8;1680;14;1-4
31-May-16 12:00:00 AM;13;8;1830;6;1-4
31-May-16 12:00:00 AM;48;8;480;2;1-4
31-May-16 12:00:00 AM;8;96;1740;1;2-1
31-May-16 12:00:00 AM;8;97;3420;1;2-1
31-May-16 12:00:00 AM;8;98;3180;1;2-1
31-May-16 12:00:00 AM;8;100;3240;1;2-1
31-May-16 12:00:00 AM;8;101;1320;1;2-1
31-May-16 12:00:00 AM;8;102;3060;1;2-1
31-May-16 12:00:00 AM;8;103;2220;1;2-1
31-May-16 12:00:00 AM;8;104;2820;1;2-1
31-May-16 12:00:00 AM;8;105;2940;1;2-1
31-May-16 12:00:00 AM;8;106;180;1;2-1
31-May-16 12:00:00 AM;8;107;3240;1;2-1
31-May-16 12:00:00 AM;8;108;2940;1;2-1
31-May-16 12:00:00 AM;96;8;3000;1;2-4
31-May-16 12:00:00 AM;97;8;2940;1;2-4
31-May-16 12:00:00 AM;98;8;2820;1;2-4
31-May-16 12:00:00 AM;100;8;2760;1;2-4
31-May-16 12:00:00 AM;101;8;2700;1;2-4
31-May-16 12:00:00 AM;102;8;2640;1;2-4
31-May-16 12:00:00 AM;103;8;2520;1;2-4
31-May-16 12:00:00 AM;104;8;2220;1;2-4
31-May-16 12:00:00 AM;105;8;2160;1;2-4
31-May-16 12:00:00 AM;106;8;1920;1;2-4
31-May-16 12:00:00 AM;107;8;1800;1;2-4
31-May-16 12:00:00 AM;108;8;1560;1;2-4
