date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;3;90;1225;21;3-4
31-May-16 12:00:00 AM;4;90;723;20;3-4
31-May-16 12:00:00 AM;5;90;2300;21;3-4
31-May-16 12:00:00 AM;2;90;940;9;1-1
31-May-16 12:00:00 AM;6;90;1671;7;2-4
31-May-16 12:00:00 AM;7;90;1665;8;2-4
31-May-16 12:00:00 AM;10;90;1534;7;2-4
31-May-16 12:00:00 AM;11;90;977;7;2-4
31-May-16 12:00:00 AM;8;90;1868;7;2-4
31-May-16 12:00:00 AM;9;90;2451;7;2-4
31-May-16 12:00:00 AM;12;90;2100;6;2-4
31-May-16 12:00:00 AM;16;90;1692;5;2-4
31-May-16 12:00:00 AM;17;90;1404;5;2-4
31-May-16 12:00:00 AM;18;90;1517;7;2-4
31-May-16 12:00:00 AM;19;90;1645;7;2-4
31-May-16 12:00:00 AM;20;90;2690;6;2-4
31-May-16 12:00:00 AM;21;90;1560;6;2-4
31-May-16 12:00:00 AM;25;90;1800;11;1-1
31-May-16 12:00:00 AM;22;90;1553;9;2-4
31-May-16 12:00:00 AM;23;90;1770;8;2-4
31-May-16 12:00:00 AM;24;90;852;10;2-4
31-May-16 12:00:00 AM;26;90;1670;6;2-4
31-May-16 12:00:00 AM;28;90;1200;7;2-4
31-May-16 12:00:00 AM;30;90;1540;6;2-4
31-May-16 12:00:00 AM;29;90;906;10;2-4
31-May-16 12:00:00 AM;27;90;2100;6;2-4
31-May-16 12:00:00 AM;31;90;2190;6;2-4
31-May-16 12:00:00 AM;32;90;1422;7;2-4
31-May-16 12:00:00 AM;35;90;1483;11;1-1
31-May-16 12:00:00 AM;45;90;2226;9;1-1
31-May-16 12:00:00 AM;36;90;1332;25;2-4
31-May-16 12:00:00 AM;39;90;1796;30;2-4
31-May-16 12:00:00 AM;40;90;1297;29;2-4
31-May-16 12:00:00 AM;33;90;1914;10;2-4
31-May-16 12:00:00 AM;42;90;1353;32;2-4
31-May-16 12:00:00 AM;43;90;2126;29;2-4
31-May-16 12:00:00 AM;44;90;1568;7;2-4
31-May-16 12:00:00 AM;41;90;1693;22;3-3
31-May-16 12:00:00 AM;34;90;2114;21;3-3
31-May-16 12:00:00 AM;37;90;1874;29;2-4
31-May-16 12:00:00 AM;38;90;1380;22;2-4
31-May-16 12:00:00 AM;46;90;1610;6;2-4
31-May-16 12:00:00 AM;50;90;1230;10;2-4
31-May-16 12:00:00 AM;49;90;1537;8;2-4
31-May-16 12:00:00 AM;51;90;2364;5;2-4
31-May-16 12:00:00 AM;52;90;2528;7;2-4
31-May-16 12:00:00 AM;55;90;1254;10;1-4
31-May-16 12:00:00 AM;56;90;1113;9;2-4
31-May-16 12:00:00 AM;58;90;1296;5;2-4
31-May-16 12:00:00 AM;57;90;1238;14;2-4
31-May-16 12:00:00 AM;59;90;1590;6;2-4
31-May-16 12:00:00 AM;60;90;1825;7;2-4
31-May-16 12:00:00 AM;63;90;1834;7;2-4
31-May-16 12:00:00 AM;61;90;1433;9;2-4
31-May-16 12:00:00 AM;62;90;1277;7;2-4
31-May-16 12:00:00 AM;64;90;1680;18;3-3
31-May-16 12:00:00 AM;65;90;1350;6;2-4
31-May-16 12:00:00 AM;66;90;1506;9;2-4
31-May-16 12:00:00 AM;68;90;1413;9;2-4
31-May-16 12:00:00 AM;69;90;1433;9;2-4
31-May-16 12:00:00 AM;1;90;1449;19;2-4
31-May-16 12:00:00 AM;70;90;1672;8;2-4
31-May-16 12:00:00 AM;75;90;1237;8;2-4
31-May-16 12:00:00 AM;72;90;1260;7;2-4
31-May-16 12:00:00 AM;74;90;1517;7;2-4
31-May-16 12:00:00 AM;73;90;1212;15;3-2
31-May-16 12:00:00 AM;71;90;1489;17;3-3
31-May-16 12:00:00 AM;82;90;994;14;2-4
31-May-16 12:00:00 AM;85;90;1371;14;2-4
31-May-16 12:00:00 AM;84;90;1821;20;3-1
31-May-16 12:00:00 AM;86;90;924;30;1-1
31-May-16 12:00:00 AM;87;90;1022;24;1-1
31-May-16 12:00:00 AM;88;90;932;26;1-1
31-May-16 12:00:00 AM;89;90;820;24;1-1
31-May-16 12:00:00 AM;90;90;934;60;1-1
31-May-16 12:00:00 AM;90;91;1075;25;1-1
31-May-16 12:00:00 AM;90;92;1485;34;1-1
31-May-16 12:00:00 AM;90;93;1293;34;1-1
31-May-16 12:00:00 AM;90;94;1612;15;1-1
31-May-16 12:00:00 AM;48;90;1782;24;3-4
31-May-16 12:00:00 AM;91;90;1424;23;1-4
31-May-16 12:00:00 AM;92;90;924;35;1-4
31-May-16 12:00:00 AM;93;90;1120;24;1-4
31-May-16 12:00:00 AM;90;86;1474;37;1-4
31-May-16 12:00:00 AM;90;87;1396;29;1-4
31-May-16 12:00:00 AM;90;88;1344;30;1-4
31-May-16 12:00:00 AM;90;89;1398;23;1-4
31-May-16 12:00:00 AM;90;48;1534;40;3-1
31-May-16 12:00:00 AM;90;95;1686;19;3-4
31-May-16 12:00:00 AM;90;47;1322;24;3-4
31-May-16 12:00:00 AM;90;34;1830;34;3-4
31-May-16 12:00:00 AM;90;30;2202;17;3-4
31-May-16 12:00:00 AM;90;39;2252;24;3-3
31-May-16 12:00:00 AM;90;41;1320;18;3-4
31-May-16 12:00:00 AM;90;36;1221;14;3-4
31-May-16 12:00:00 AM;90;57;1156;22;3-3
31-May-16 12:00:00 AM;90;4;1576;22;3-3
31-May-16 12:00:00 AM;90;71;1295;29;3-4
31-May-16 12:00:00 AM;90;42;2025;28;3-1
31-May-16 12:00:00 AM;90;38;1870;24;3-1
31-May-16 12:00:00 AM;90;43;1433;27;3-1
31-May-16 12:00:00 AM;90;64;1423;40;3-1
31-May-16 12:00:00 AM;90;3;1457;21;3-1
31-May-16 12:00:00 AM;95;90;2665;12;3-2
31-May-16 12:00:00 AM;90;40;2241;25;3-1
31-May-16 12:00:00 AM;90;5;2237;34;3-1
31-May-16 12:00:00 AM;90;69;1333;23;1-4
31-May-16 12:00:00 AM;90;22;1740;25;1-4
31-May-16 12:00:00 AM;90;68;1112;26;1-4
31-May-16 12:00:00 AM;90;96;1993;36;1-4
31-May-16 12:00:00 AM;90;97;2321;36;1-4
31-May-16 12:00:00 AM;90;98;1800;31;1-4
31-May-16 12:00:00 AM;90;100;1913;35;1-4
31-May-16 12:00:00 AM;90;101;2110;28;1-4
31-May-16 12:00:00 AM;90;102;1574;38;1-4
31-May-16 12:00:00 AM;90;103;2377;19;1-4
31-May-16 12:00:00 AM;90;104;2506;13;1-4
31-May-16 12:00:00 AM;90;105;2096;18;1-4
31-May-16 12:00:00 AM;90;106;1728;16;1-4
31-May-16 12:00:00 AM;90;107;2100;17;1-4
31-May-16 12:00:00 AM;90;108;2965;14;1-4
31-May-16 12:00:00 AM;90;58;425;12;1-4
31-May-16 12:00:00 AM;90;7;2510;12;1-4
31-May-16 12:00:00 AM;90;62;1333;13;1-4
31-May-16 12:00:00 AM;90;17;2395;13;1-4
31-May-16 12:00:00 AM;90;53;1570;22;1-1
31-May-16 12:00:00 AM;90;61;2695;12;1-4
31-May-16 12:00:00 AM;90;49;1095;12;1-4
31-May-16 12:00:00 AM;90;21;1645;12;1-4
31-May-16 12:00:00 AM;90;26;1550;13;1-4
31-May-16 12:00:00 AM;90;24;1416;18;1-4
31-May-16 12:00:00 AM;90;67;2501;29;1-4
31-May-16 12:00:00 AM;90;65;975;12;1-4
31-May-16 12:00:00 AM;90;29;1380;18;1-4
31-May-16 12:00:00 AM;90;8;1705;12;1-4
31-May-16 12:00:00 AM;90;27;2367;13;1-4
31-May-16 12:00:00 AM;90;15;564;15;1-4
