date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;91;120;1;1-1
31-May-16 12:00:00 AM;3;91;1590;6;3-4
31-May-16 12:00:00 AM;4;91;2357;7;3-4
31-May-16 12:00:00 AM;6;91;2760;1;2-4
31-May-16 12:00:00 AM;7;91;2760;1;2-4
31-May-16 12:00:00 AM;5;91;1944;5;3-4
31-May-16 12:00:00 AM;8;91;2640;1;2-4
31-May-16 12:00:00 AM;9;91;2640;1;2-4
31-May-16 12:00:00 AM;10;91;2640;1;2-4
31-May-16 12:00:00 AM;11;91;2640;1;2-4
31-May-16 12:00:00 AM;12;91;2640;1;2-4
31-May-16 12:00:00 AM;16;91;2400;1;2-4
31-May-16 12:00:00 AM;17;91;2400;1;2-4
31-May-16 12:00:00 AM;18;91;2340;1;2-4
31-May-16 12:00:00 AM;19;91;2340;1;2-4
31-May-16 12:00:00 AM;20;91;2340;1;2-4
31-May-16 12:00:00 AM;21;91;2340;1;2-4
31-May-16 12:00:00 AM;25;91;2220;1;1-1
31-May-16 12:00:00 AM;22;91;2220;1;2-4
31-May-16 12:00:00 AM;23;91;2220;1;2-4
31-May-16 12:00:00 AM;24;91;2220;1;2-4
31-May-16 12:00:00 AM;26;91;2160;1;2-4
31-May-16 12:00:00 AM;27;91;2100;1;2-4
31-May-16 12:00:00 AM;28;91;2040;1;2-4
31-May-16 12:00:00 AM;29;91;2040;1;2-4
31-May-16 12:00:00 AM;30;91;2040;1;2-4
31-May-16 12:00:00 AM;31;91;1980;1;2-4
31-May-16 12:00:00 AM;32;91;1980;1;2-4
31-May-16 12:00:00 AM;35;91;1860;1;1-1
31-May-16 12:00:00 AM;45;91;1800;1;1-1
31-May-16 12:00:00 AM;33;91;1860;1;2-4
31-May-16 12:00:00 AM;36;91;1890;4;2-4
31-May-16 12:00:00 AM;39;91;1880;3;2-4
31-May-16 12:00:00 AM;40;91;1880;3;2-4
31-May-16 12:00:00 AM;42;91;1890;4;2-4
31-May-16 12:00:00 AM;43;91;1725;4;2-4
31-May-16 12:00:00 AM;44;91;1800;1;2-4
31-May-16 12:00:00 AM;37;91;1830;4;2-4
31-May-16 12:00:00 AM;38;91;2190;4;2-4
31-May-16 12:00:00 AM;46;91;1680;1;2-4
31-May-16 12:00:00 AM;50;91;1680;1;2-4
31-May-16 12:00:00 AM;49;91;1620;1;2-4
31-May-16 12:00:00 AM;51;91;1560;1;2-4
31-May-16 12:00:00 AM;52;91;1560;1;2-4
31-May-16 12:00:00 AM;55;91;1500;2;1-4
31-May-16 12:00:00 AM;56;91;1380;1;2-4
31-May-16 12:00:00 AM;57;91;1380;1;2-4
31-May-16 12:00:00 AM;58;91;1320;1;2-4
31-May-16 12:00:00 AM;59;91;1260;1;2-4
31-May-16 12:00:00 AM;60;91;1200;1;2-4
31-May-16 12:00:00 AM;61;91;1200;1;2-4
31-May-16 12:00:00 AM;62;91;1200;1;2-4
31-May-16 12:00:00 AM;63;91;1200;1;2-4
31-May-16 12:00:00 AM;65;91;1140;1;2-4
31-May-16 12:00:00 AM;66;91;1140;1;2-4
31-May-16 12:00:00 AM;68;91;1020;1;2-4
31-May-16 12:00:00 AM;69;91;1020;1;2-4
31-May-16 12:00:00 AM;1;91;1068;5;2-4
31-May-16 12:00:00 AM;70;91;960;1;2-4
31-May-16 12:00:00 AM;72;91;900;1;2-4
31-May-16 12:00:00 AM;74;91;900;1;2-4
31-May-16 12:00:00 AM;75;91;900;1;2-4
31-May-16 12:00:00 AM;73;91;960;1;3-2
31-May-16 12:00:00 AM;82;91;600;1;2-4
31-May-16 12:00:00 AM;85;91;300;1;2-4
31-May-16 12:00:00 AM;84;91;1836;5;3-1
31-May-16 12:00:00 AM;48;91;1080;6;3-4
31-May-16 12:00:00 AM;91;90;1440;7;3-4
31-May-16 12:00:00 AM;91;95;2355;8;3-4
31-May-16 12:00:00 AM;91;47;2760;1;3-4
31-May-16 12:00:00 AM;91;34;2610;8;3-4
31-May-16 12:00:00 AM;91;30;204;5;3-4
31-May-16 12:00:00 AM;91;41;450;2;3-4
31-May-16 12:00:00 AM;91;36;2717;7;3-4
31-May-16 12:00:00 AM;91;57;2017;8;3-4
31-May-16 12:00:00 AM;91;71;2748;5;3-4
31-May-16 12:00:00 AM;91;87;1492;8;3-4
31-May-16 12:00:00 AM;91;84;2110;6;3-4
31-May-16 12:00:00 AM;91;88;2700;6;3-4
31-May-16 12:00:00 AM;91;64;1145;11;3-4
31-May-16 12:00:00 AM;91;86;852;5;3-4
31-May-16 12:00:00 AM;91;40;1400;3;3-4
31-May-16 12:00:00 AM;91;42;1404;5;3-4
31-May-16 12:00:00 AM;91;33;285;4;3-4
31-May-16 12:00:00 AM;91;89;2190;4;3-4
31-May-16 12:00:00 AM;91;37;3540;2;3-4
31-May-16 12:00:00 AM;91;92;3270;4;3-4
31-May-16 12:00:00 AM;91;93;2784;5;3-4
31-May-16 12:00:00 AM;91;48;1760;6;3-1
31-May-16 12:00:00 AM;91;39;60;1;3-1
31-May-16 12:00:00 AM;91;38;2190;4;3-1
31-May-16 12:00:00 AM;91;43;1725;4;3-1
31-May-16 12:00:00 AM;91;3;1590;6;3-1
31-May-16 12:00:00 AM;91;4;2357;7;3-1
31-May-16 12:00:00 AM;91;5;1550;6;3-1
31-May-16 12:00:00 AM;41;91;3420;1;2-4
31-May-16 12:00:00 AM;71;91;2830;6;2-4
31-May-16 12:00:00 AM;86;91;3540;1;3-1
31-May-16 12:00:00 AM;96;91;300;1;2-4
31-May-16 12:00:00 AM;97;91;240;1;2-4
31-May-16 12:00:00 AM;98;91;120;1;2-4
31-May-16 12:00:00 AM;100;91;60;1;2-4
31-May-16 12:00:00 AM;101;91;0;1;2-4
