date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;3;92;1983;19;3-4
31-May-16 12:00:00 AM;4;92;1980;14;3-4
31-May-16 12:00:00 AM;5;92;1638;16;3-4
31-May-16 12:00:00 AM;2;92;1581;11;1-1
31-May-16 12:00:00 AM;6;92;1309;11;2-4
31-May-16 12:00:00 AM;7;92;1368;15;2-4
31-May-16 12:00:00 AM;10;92;1635;12;2-4
31-May-16 12:00:00 AM;11;92;2048;7;2-4
31-May-16 12:00:00 AM;8;92;1610;13;2-4
31-May-16 12:00:00 AM;9;92;1026;10;2-4
31-May-16 12:00:00 AM;12;92;840;12;2-4
31-May-16 12:00:00 AM;16;92;1494;10;2-4
31-May-16 12:00:00 AM;17;92;1686;10;2-4
31-May-16 12:00:00 AM;18;92;1674;11;2-4
31-May-16 12:00:00 AM;19;92;1750;11;2-4
31-May-16 12:00:00 AM;20;92;1467;11;2-4
31-May-16 12:00:00 AM;21;92;1887;11;2-4
31-May-16 12:00:00 AM;25;92;1608;10;1-1
31-May-16 12:00:00 AM;22;92;1842;17;2-4
31-May-16 12:00:00 AM;23;92;1665;17;2-4
31-May-16 12:00:00 AM;24;92;2091;14;2-4
31-May-16 12:00:00 AM;26;92;1685;11;2-4
31-May-16 12:00:00 AM;28;92;1710;14;2-4
31-May-16 12:00:00 AM;30;92;1260;10;2-4
31-May-16 12:00:00 AM;29;92;1911;14;2-4
31-May-16 12:00:00 AM;27;92;1195;13;2-4
31-May-16 12:00:00 AM;31;92;1418;11;2-4
31-May-16 12:00:00 AM;32;92;1189;11;2-4
31-May-16 12:00:00 AM;35;92;1530;10;1-1
31-May-16 12:00:00 AM;45;92;1854;10;1-1
31-May-16 12:00:00 AM;36;92;1876;25;2-4
31-May-16 12:00:00 AM;39;92;2042;26;2-4
31-May-16 12:00:00 AM;40;92;1816;33;2-4
31-May-16 12:00:00 AM;33;92;1462;16;2-4
31-May-16 12:00:00 AM;42;92;1915;28;2-4
31-May-16 12:00:00 AM;43;92;720;33;2-4
31-May-16 12:00:00 AM;44;92;2247;11;2-4
31-May-16 12:00:00 AM;37;92;1574;29;2-4
31-May-16 12:00:00 AM;38;92;1659;23;2-4
31-May-16 12:00:00 AM;46;92;1781;13;2-4
31-May-16 12:00:00 AM;50;92;1767;11;2-4
31-May-16 12:00:00 AM;49;92;1586;18;2-4
31-May-16 12:00:00 AM;51;92;1342;8;2-4
31-May-16 12:00:00 AM;52;92;1434;10;2-4
31-May-16 12:00:00 AM;55;92;1648;17;1-4
31-May-16 12:00:00 AM;56;92;1358;11;2-4
31-May-16 12:00:00 AM;58;92;1026;9;2-4
31-May-16 12:00:00 AM;57;92;1404;10;2-4
31-May-16 12:00:00 AM;59;92;1412;11;2-4
31-May-16 12:00:00 AM;60;92;1533;9;2-4
31-May-16 12:00:00 AM;63;92;1395;12;2-4
31-May-16 12:00:00 AM;61;92;1277;14;2-4
31-May-16 12:00:00 AM;62;92;1760;12;2-4
31-May-16 12:00:00 AM;65;92;1098;13;2-4
31-May-16 12:00:00 AM;66;92;1410;14;2-4
31-May-16 12:00:00 AM;68;92;1551;14;2-4
31-May-16 12:00:00 AM;69;92;1425;12;2-4
31-May-16 12:00:00 AM;1;92;1277;24;2-4
31-May-16 12:00:00 AM;70;92;1080;12;2-4
31-May-16 12:00:00 AM;75;92;980;15;2-4
31-May-16 12:00:00 AM;72;92;1329;13;2-4
31-May-16 12:00:00 AM;74;92;1849;11;2-4
31-May-16 12:00:00 AM;73;92;2065;14;3-2
31-May-16 12:00:00 AM;82;92;1461;20;2-4
31-May-16 12:00:00 AM;85;92;1565;21;2-4
31-May-16 12:00:00 AM;84;92;1364;27;3-1
31-May-16 12:00:00 AM;86;92;1830;24;1-1
31-May-16 12:00:00 AM;87;92;1390;29;1-1
31-May-16 12:00:00 AM;88;92;1894;31;1-1
31-May-16 12:00:00 AM;89;92;1257;29;1-1
31-May-16 12:00:00 AM;90;92;1485;34;1-1
31-May-16 12:00:00 AM;91;92;1840;27;1-1
31-May-16 12:00:00 AM;92;92;1008;67;1-1
31-May-16 12:00:00 AM;92;93;1569;53;1-1
31-May-16 12:00:00 AM;92;94;1882;16;1-1
31-May-16 12:00:00 AM;48;92;1136;19;3-4
31-May-16 12:00:00 AM;92;86;1364;34;1-4
31-May-16 12:00:00 AM;92;87;1684;25;1-4
31-May-16 12:00:00 AM;92;88;1472;26;1-4
31-May-16 12:00:00 AM;92;89;1160;21;1-4
31-May-16 12:00:00 AM;92;91;1516;32;1-4
31-May-16 12:00:00 AM;93;92;1177;38;1-4
31-May-16 12:00:00 AM;92;90;924;35;1-4
31-May-16 12:00:00 AM;92;95;1997;24;3-4
31-May-16 12:00:00 AM;92;47;2289;19;3-4
31-May-16 12:00:00 AM;92;34;1363;29;3-4
31-May-16 12:00:00 AM;92;30;1022;27;3-4
31-May-16 12:00:00 AM;92;41;1468;19;3-4
31-May-16 12:00:00 AM;92;36;1474;28;3-4
31-May-16 12:00:00 AM;92;57;1373;19;3-4
31-May-16 12:00:00 AM;92;71;2513;26;3-4
31-May-16 12:00:00 AM;92;84;1533;27;3-4
31-May-16 12:00:00 AM;92;48;1540;45;3-1
31-May-16 12:00:00 AM;92;39;1527;26;3-1
31-May-16 12:00:00 AM;92;42;1702;30;3-1
31-May-16 12:00:00 AM;92;38;1269;20;3-1
31-May-16 12:00:00 AM;92;43;1308;42;3-1
31-May-16 12:00:00 AM;92;64;1381;49;3-1
31-May-16 12:00:00 AM;92;3;1627;17;3-1
31-May-16 12:00:00 AM;92;4;1403;18;3-1
31-May-16 12:00:00 AM;92;40;1784;23;3-1
31-May-16 12:00:00 AM;92;5;1670;25;3-1
31-May-16 12:00:00 AM;95;92;1546;13;3-2
31-May-16 12:00:00 AM;41;92;1552;23;2-4
31-May-16 12:00:00 AM;34;92;2136;23;3-3
31-May-16 12:00:00 AM;64;92;1822;21;3-3
31-May-16 12:00:00 AM;92;33;1564;15;3-1
31-May-16 12:00:00 AM;92;37;800;26;3-1
31-May-16 12:00:00 AM;71;92;1950;14;2-4
31-May-16 12:00:00 AM;53;92;2046;10;1-1
31-May-16 12:00:00 AM;96;92;1077;22;2-4
31-May-16 12:00:00 AM;97;92;1100;21;2-4
31-May-16 12:00:00 AM;99;92;1781;23;1-1
31-May-16 12:00:00 AM;98;92;1944;15;2-4
31-May-16 12:00:00 AM;100;92;1956;20;2-4
31-May-16 12:00:00 AM;101;92;1734;10;2-4
31-May-16 12:00:00 AM;102;92;1312;24;2-4
31-May-16 12:00:00 AM;103;92;1452;20;2-4
31-May-16 12:00:00 AM;104;92;1650;14;2-4
31-May-16 12:00:00 AM;105;92;1584;15;2-4
31-May-16 12:00:00 AM;106;92;1584;15;2-4
31-May-16 12:00:00 AM;107;92;1591;23;2-4
31-May-16 12:00:00 AM;109;92;2265;20;1-1
31-May-16 12:00:00 AM;108;92;1126;18;2-4
31-May-16 12:00:00 AM;67;92;1068;10;1-4
31-May-16 12:00:00 AM;15;92;1207;8;2-4
31-May-16 12:00:00 AM;47;92;2547;11;1-1
31-May-16 12:00:00 AM;13;92;1056;5;1-4
31-May-16 12:00:00 AM;14;92;2127;13;2-4
31-May-16 12:00:00 AM;54;92;1961;13;2-4
31-May-16 12:00:00 AM;92;78;2422;16;2-4
31-May-16 12:00:00 AM;92;81;2277;25;2-4
31-May-16 12:00:00 AM;92;83;2384;15;2-4
31-May-16 12:00:00 AM;92;80;2404;15;2-4
31-May-16 12:00:00 AM;92;77;2160;15;2-4
31-May-16 12:00:00 AM;92;79;2420;18;2-4
31-May-16 12:00:00 AM;92;76;2288;7;2-4
31-May-16 12:00:00 AM;92;73;1137;21;2-4
31-May-16 12:00:00 AM;92;55;1348;15;2-4
31-May-16 12:00:00 AM;92;82;1410;18;1-4
31-May-16 12:00:00 AM;92;22;2076;15;1-4
