date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;3;93;1680;28;3-4
31-May-16 12:00:00 AM;4;93;2057;24;3-4
31-May-16 12:00:00 AM;5;93;2235;23;3-4
31-May-16 12:00:00 AM;2;93;1647;13;1-1
31-May-16 12:00:00 AM;6;93;905;21;2-4
31-May-16 12:00:00 AM;7;93;1586;16;2-4
31-May-16 12:00:00 AM;10;93;1975;12;2-4
31-May-16 12:00:00 AM;11;93;1426;13;2-4
31-May-16 12:00:00 AM;8;93;2021;13;2-4
31-May-16 12:00:00 AM;9;93;1698;16;2-4
31-May-16 12:00:00 AM;12;93;2010;12;2-4
31-May-16 12:00:00 AM;16;93;1614;11;2-4
31-May-16 12:00:00 AM;17;93;1089;13;2-4
31-May-16 12:00:00 AM;18;93;1226;18;2-4
31-May-16 12:00:00 AM;19;93;1667;14;2-4
31-May-16 12:00:00 AM;20;93;1305;16;2-4
31-May-16 12:00:00 AM;21;93;1457;17;2-4
31-May-16 12:00:00 AM;25;93;1740;12;1-1
31-May-16 12:00:00 AM;22;93;1585;19;2-4
31-May-16 12:00:00 AM;23;93;1397;14;2-4
31-May-16 12:00:00 AM;24;93;1323;17;2-4
31-May-16 12:00:00 AM;26;93;1290;14;2-4
31-May-16 12:00:00 AM;28;93;1623;17;2-4
31-May-16 12:00:00 AM;30;93;1944;15;2-4
31-May-16 12:00:00 AM;29;93;1620;18;2-4
31-May-16 12:00:00 AM;27;93;1653;16;2-4
31-May-16 12:00:00 AM;31;93;2043;17;2-4
31-May-16 12:00:00 AM;32;93;1315;14;2-4
31-May-16 12:00:00 AM;35;93;1580;12;1-1
31-May-16 12:00:00 AM;45;93;2315;12;1-1
31-May-16 12:00:00 AM;36;93;2125;35;2-4
31-May-16 12:00:00 AM;39;93;2031;34;2-4
31-May-16 12:00:00 AM;40;93;1545;41;2-4
31-May-16 12:00:00 AM;33;93;1886;18;2-4
31-May-16 12:00:00 AM;42;93;1430;42;2-4
31-May-16 12:00:00 AM;43;93;1758;49;2-4
31-May-16 12:00:00 AM;44;93;1310;12;2-4
31-May-16 12:00:00 AM;41;93;2037;25;3-3
31-May-16 12:00:00 AM;34;93;1658;39;3-3
31-May-16 12:00:00 AM;37;93;1738;38;2-4
31-May-16 12:00:00 AM;38;93;1687;31;2-4
31-May-16 12:00:00 AM;46;93;1783;18;2-4
31-May-16 12:00:00 AM;50;93;1500;15;2-4
31-May-16 12:00:00 AM;49;93;1243;22;2-4
31-May-16 12:00:00 AM;51;93;1186;13;2-4
31-May-16 12:00:00 AM;52;93;1200;16;2-4
31-May-16 12:00:00 AM;55;93;1432;23;1-4
31-May-16 12:00:00 AM;56;93;1260;14;2-4
31-May-16 12:00:00 AM;58;93;1270;11;2-4
31-May-16 12:00:00 AM;57;93;1357;16;2-4
31-May-16 12:00:00 AM;59;93;1028;15;2-4
31-May-16 12:00:00 AM;60;93;2018;11;2-4
31-May-16 12:00:00 AM;63;93;1773;18;2-4
31-May-16 12:00:00 AM;61;93;1123;18;2-4
31-May-16 12:00:00 AM;62;93;1010;12;2-4
31-May-16 12:00:00 AM;64;93;1836;36;3-3
31-May-16 12:00:00 AM;65;93;1296;20;2-4
31-May-16 12:00:00 AM;66;93;1646;18;2-4
31-May-16 12:00:00 AM;68;93;868;17;2-4
31-May-16 12:00:00 AM;69;93;1623;17;2-4
31-May-16 12:00:00 AM;1;93;1396;29;2-4
31-May-16 12:00:00 AM;70;93;1607;14;2-4
31-May-16 12:00:00 AM;75;93;1794;22;2-4
31-May-16 12:00:00 AM;74;93;1071;14;2-4
31-May-16 12:00:00 AM;72;93;1581;20;2-4
31-May-16 12:00:00 AM;73;93;2322;17;3-2
31-May-16 12:00:00 AM;71;93;1878;23;3-3
31-May-16 12:00:00 AM;82;93;1300;24;2-4
31-May-16 12:00:00 AM;85;93;2337;22;2-4
31-May-16 12:00:00 AM;84;93;1768;36;3-1
31-May-16 12:00:00 AM;86;93;1516;41;1-1
31-May-16 12:00:00 AM;87;93;1783;33;1-1
31-May-16 12:00:00 AM;88;93;1923;40;1-1
31-May-16 12:00:00 AM;89;93;1519;37;1-1
31-May-16 12:00:00 AM;90;93;1293;34;1-1
31-May-16 12:00:00 AM;91;93;1990;29;1-1
31-May-16 12:00:00 AM;92;93;1569;53;1-1
31-May-16 12:00:00 AM;93;93;1193;88;1-1
31-May-16 12:00:00 AM;93;94;1729;11;1-1
31-May-16 12:00:00 AM;48;93;1437;27;3-4
31-May-16 12:00:00 AM;93;86;1284;37;1-4
31-May-16 12:00:00 AM;93;87;1875;23;1-4
31-May-16 12:00:00 AM;93;88;1639;25;1-4
31-May-16 12:00:00 AM;93;89;1789;17;1-4
31-May-16 12:00:00 AM;93;91;1064;23;1-4
31-May-16 12:00:00 AM;93;92;1177;38;1-4
31-May-16 12:00:00 AM;93;90;1120;24;1-4
31-May-16 12:00:00 AM;93;95;1273;22;3-4
31-May-16 12:00:00 AM;93;47;2108;15;3-4
31-May-16 12:00:00 AM;93;34;1464;27;3-4
31-May-16 12:00:00 AM;93;30;2197;21;3-4
31-May-16 12:00:00 AM;93;41;1955;12;3-4
31-May-16 12:00:00 AM;93;48;1281;36;3-1
31-May-16 12:00:00 AM;93;39;1648;25;3-1
31-May-16 12:00:00 AM;93;42;1833;18;3-1
31-May-16 12:00:00 AM;93;38;1641;25;3-1
31-May-16 12:00:00 AM;93;43;1704;46;3-1
31-May-16 12:00:00 AM;93;64;1844;35;3-1
31-May-16 12:00:00 AM;93;3;1813;22;3-1
31-May-16 12:00:00 AM;95;93;1690;23;3-2
31-May-16 12:00:00 AM;93;36;2183;18;3-1
31-May-16 12:00:00 AM;93;4;1875;19;3-1
31-May-16 12:00:00 AM;93;40;2344;15;3-1
31-May-16 12:00:00 AM;93;57;1437;20;3-1
31-May-16 12:00:00 AM;93;71;2432;24;3-1
31-May-16 12:00:00 AM;93;5;1565;21;3-1
31-May-16 12:00:00 AM;93;33;1900;18;3-3
31-May-16 12:00:00 AM;93;37;1609;23;3-1
31-May-16 12:00:00 AM;53;93;1912;8;1-1
31-May-16 12:00:00 AM;96;93;1228;32;2-4
31-May-16 12:00:00 AM;97;93;1000;28;2-4
31-May-16 12:00:00 AM;99;93;1520;32;1-1
31-May-16 12:00:00 AM;98;93;1688;22;2-4
31-May-16 12:00:00 AM;100;93;1849;28;2-4
31-May-16 12:00:00 AM;101;93;1596;13;2-4
31-May-16 12:00:00 AM;102;93;1263;33;2-4
31-May-16 12:00:00 AM;103;93;1051;32;2-4
31-May-16 12:00:00 AM;104;93;1627;17;2-4
31-May-16 12:00:00 AM;105;93;1840;21;2-4
31-May-16 12:00:00 AM;106;93;1760;24;2-4
31-May-16 12:00:00 AM;107;93;1321;33;2-4
31-May-16 12:00:00 AM;109;93;2124;27;1-1
31-May-16 12:00:00 AM;108;93;760;18;2-4
31-May-16 12:00:00 AM;67;93;1334;21;1-4
31-May-16 12:00:00 AM;15;93;1347;13;2-4
31-May-16 12:00:00 AM;47;93;2045;11;1-1
31-May-16 12:00:00 AM;13;93;1030;11;1-4
31-May-16 12:00:00 AM;14;93;1782;17;2-4
31-May-16 12:00:00 AM;54;93;1570;18;2-4
31-May-16 12:00:00 AM;93;84;2580;10;3-4
31-May-16 12:00:00 AM;93;78;2202;10;2-4
31-May-16 12:00:00 AM;93;81;1961;16;2-4
31-May-16 12:00:00 AM;93;83;2020;15;2-4
31-May-16 12:00:00 AM;93;80;2186;9;2-4
31-May-16 12:00:00 AM;93;77;2220;13;2-4
31-May-16 12:00:00 AM;93;79;2460;10;2-4
31-May-16 12:00:00 AM;93;76;2510;6;2-4
31-May-16 12:00:00 AM;93;73;655;13;2-4
31-May-16 12:00:00 AM;93;55;1550;13;2-4
