date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;94;1756;15;1-1
31-May-16 12:00:00 AM;6;94;1568;35;2-4
31-May-16 12:00:00 AM;7;94;1797;27;2-4
31-May-16 12:00:00 AM;10;94;1762;24;2-4
31-May-16 12:00:00 AM;11;94;1884;25;2-4
31-May-16 12:00:00 AM;8;94;1765;26;2-4
31-May-16 12:00:00 AM;9;94;1603;18;2-4
31-May-16 12:00:00 AM;12;94;1424;34;2-4
31-May-16 12:00:00 AM;14;94;1786;35;2-7
31-May-16 12:00:00 AM;15;94;1179;26;2-7
31-May-16 12:00:00 AM;16;94;2238;19;2-4
31-May-16 12:00:00 AM;17;94;1686;35;2-4
31-May-16 12:00:00 AM;18;94;1714;30;2-4
31-May-16 12:00:00 AM;19;94;1557;21;2-4
31-May-16 12:00:00 AM;20;94;1411;19;2-4
31-May-16 12:00:00 AM;21;94;1411;19;2-4
31-May-16 12:00:00 AM;25;94;2040;14;1-1
31-May-16 12:00:00 AM;22;94;1318;32;2-4
31-May-16 12:00:00 AM;23;94;1552;30;2-4
31-May-16 12:00:00 AM;24;94;1335;34;2-4
31-May-16 12:00:00 AM;26;94;1320;31;2-4
31-May-16 12:00:00 AM;27;94;1730;13;2-1
31-May-16 12:00:00 AM;28;94;1277;24;2-4
31-May-16 12:00:00 AM;30;94;1713;18;2-4
31-May-16 12:00:00 AM;29;94;1544;31;2-4
31-May-16 12:00:00 AM;31;94;1777;27;2-4
31-May-16 12:00:00 AM;32;94;1862;24;2-4
31-May-16 12:00:00 AM;35;94;1873;9;1-1
31-May-16 12:00:00 AM;45;94;2421;14;1-1
31-May-16 12:00:00 AM;33;94;1873;31;2-1
31-May-16 12:00:00 AM;36;94;2226;10;2-4
31-May-16 12:00:00 AM;39;94;1431;7;2-4
31-May-16 12:00:00 AM;40;94;2215;14;2-4
31-May-16 12:00:00 AM;42;94;2225;11;2-4
31-May-16 12:00:00 AM;44;94;1453;26;2-1
31-May-16 12:00:00 AM;43;94;1340;6;2-4
31-May-16 12:00:00 AM;37;94;1986;10;2-4
31-May-16 12:00:00 AM;38;94;2280;4;2-4
31-May-16 12:00:00 AM;46;94;1200;24;2-4
31-May-16 12:00:00 AM;50;94;1678;33;2-4
31-May-16 12:00:00 AM;49;94;1381;32;2-4
31-May-16 12:00:00 AM;51;94;1809;19;2-4
31-May-16 12:00:00 AM;52;94;1380;35;2-4
31-May-16 12:00:00 AM;55;94;1819;31;1-4
31-May-16 12:00:00 AM;54;94;1338;29;2-7
31-May-16 12:00:00 AM;57;94;1525;26;2-7
31-May-16 12:00:00 AM;56;94;1615;27;2-4
31-May-16 12:00:00 AM;58;94;1346;29;2-4
31-May-16 12:00:00 AM;59;94;1085;22;2-4
31-May-16 12:00:00 AM;60;94;1594;21;2-4
31-May-16 12:00:00 AM;63;94;1582;37;2-4
31-May-16 12:00:00 AM;61;94;1487;28;2-4
31-May-16 12:00:00 AM;62;94;2152;16;2-4
31-May-16 12:00:00 AM;66;94;1510;24;2-1
31-May-16 12:00:00 AM;65;94;841;34;2-4
31-May-16 12:00:00 AM;68;94;1353;18;2-4
31-May-16 12:00:00 AM;69;94;1790;25;2-4
31-May-16 12:00:00 AM;70;94;1664;30;2-1
31-May-16 12:00:00 AM;1;94;1478;33;2-4
31-May-16 12:00:00 AM;72;94;1001;26;2-1
31-May-16 12:00:00 AM;74;94;1243;32;2-1
31-May-16 12:00:00 AM;75;94;1541;32;2-4
31-May-16 12:00:00 AM;82;94;1420;21;2-4
31-May-16 12:00:00 AM;83;94;1359;23;2-3
