date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;3;95;1866;27;3-4
31-May-16 12:00:00 AM;4;95;2085;25;3-4
31-May-16 12:00:00 AM;5;95;1781;26;3-4
31-May-16 12:00:00 AM;2;95;2036;15;1-1
31-May-16 12:00:00 AM;6;95;1875;24;2-4
31-May-16 12:00:00 AM;7;95;2079;20;2-4
31-May-16 12:00:00 AM;10;95;2052;19;2-4
31-May-16 12:00:00 AM;11;95;1800;11;2-4
31-May-16 12:00:00 AM;8;95;1742;22;2-4
31-May-16 12:00:00 AM;9;95;1901;16;2-4
31-May-16 12:00:00 AM;12;95;1828;17;2-4
31-May-16 12:00:00 AM;16;95;1761;17;2-4
31-May-16 12:00:00 AM;17;95;2006;18;2-4
31-May-16 12:00:00 AM;18;95;1983;20;2-4
31-May-16 12:00:00 AM;19;95;2043;19;2-4
31-May-16 12:00:00 AM;20;95;2396;16;2-4
31-May-16 12:00:00 AM;21;95;2035;13;2-4
31-May-16 12:00:00 AM;25;95;2194;14;1-1
31-May-16 12:00:00 AM;22;95;2220;26;2-4
31-May-16 12:00:00 AM;23;95;2059;25;2-4
31-May-16 12:00:00 AM;24;95;1961;16;2-4
31-May-16 12:00:00 AM;26;95;2397;20;2-4
31-May-16 12:00:00 AM;28;95;2058;19;2-4
31-May-16 12:00:00 AM;30;95;1850;19;2-4
31-May-16 12:00:00 AM;29;95;2052;20;2-4
31-May-16 12:00:00 AM;27;95;2036;19;2-4
31-May-16 12:00:00 AM;31;95;2073;20;2-4
31-May-16 12:00:00 AM;32;95;1420;18;2-4
31-May-16 12:00:00 AM;35;95;1628;15;1-1
31-May-16 12:00:00 AM;45;95;1804;14;1-1
31-May-16 12:00:00 AM;36;95;1402;32;2-4
31-May-16 12:00:00 AM;39;95;1736;19;2-4
31-May-16 12:00:00 AM;40;95;1356;31;2-4
31-May-16 12:00:00 AM;42;95;1530;32;2-4
31-May-16 12:00:00 AM;33;95;1450;18;2-4
31-May-16 12:00:00 AM;43;95;1087;31;2-4
31-May-16 12:00:00 AM;44;95;2141;19;2-4
31-May-16 12:00:00 AM;37;95;1394;34;2-4
31-May-16 12:00:00 AM;38;95;1036;26;2-4
31-May-16 12:00:00 AM;46;95;2213;18;2-4
31-May-16 12:00:00 AM;50;95;2283;17;2-4
31-May-16 12:00:00 AM;49;95;2473;26;2-4
31-May-16 12:00:00 AM;51;95;2000;21;2-4
31-May-16 12:00:00 AM;52;95;1938;20;2-4
31-May-16 12:00:00 AM;55;95;1653;25;1-4
31-May-16 12:00:00 AM;56;95;2298;23;2-4
31-May-16 12:00:00 AM;58;95;2437;19;2-4
31-May-16 12:00:00 AM;57;95;2283;18;2-4
31-May-16 12:00:00 AM;59;95;2300;21;2-4
31-May-16 12:00:00 AM;60;95;1853;19;2-4
31-May-16 12:00:00 AM;63;95;2048;21;2-4
31-May-16 12:00:00 AM;61;95;1082;23;2-4
31-May-16 12:00:00 AM;62;95;1950;10;2-4
31-May-16 12:00:00 AM;65;95;2697;25;2-4
31-May-16 12:00:00 AM;66;95;1737;22;2-4
31-May-16 12:00:00 AM;68;95;2227;16;2-4
31-May-16 12:00:00 AM;69;95;2389;22;2-4
31-May-16 12:00:00 AM;1;95;1537;32;2-4
31-May-16 12:00:00 AM;70;95;1540;15;2-4
31-May-16 12:00:00 AM;75;95;2441;19;2-4
31-May-16 12:00:00 AM;73;95;1916;15;3-2
31-May-16 12:00:00 AM;74;95;2440;22;2-4
31-May-16 12:00:00 AM;72;95;2242;24;2-4
31-May-16 12:00:00 AM;82;95;1830;14;2-4
31-May-16 12:00:00 AM;85;95;1818;16;2-4
31-May-16 12:00:00 AM;84;95;1910;30;3-1
31-May-16 12:00:00 AM;88;95;2148;25;3-4
31-May-16 12:00:00 AM;86;95;2151;20;3-4
31-May-16 12:00:00 AM;91;95;1506;29;3-4
31-May-16 12:00:00 AM;92;95;1997;24;3-4
31-May-16 12:00:00 AM;93;95;1273;22;3-4
31-May-16 12:00:00 AM;90;95;1686;19;3-4
31-May-16 12:00:00 AM;95;95;1448;68;1-1
31-May-16 12:00:00 AM;95;38;1992;15;3-2
31-May-16 12:00:00 AM;95;43;837;25;3-2
31-May-16 12:00:00 AM;95;30;1684;25;3-2
31-May-16 12:00:00 AM;95;40;2152;15;3-2
31-May-16 12:00:00 AM;95;42;1724;23;3-2
31-May-16 12:00:00 AM;95;64;1772;24;3-2
31-May-16 12:00:00 AM;95;3;1596;15;3-2
31-May-16 12:00:00 AM;95;93;1690;23;3-2
31-May-16 12:00:00 AM;95;4;2115;12;3-2
31-May-16 12:00:00 AM;95;34;1480;15;3-2
31-May-16 12:00:00 AM;95;90;2665;12;3-2
31-May-16 12:00:00 AM;95;36;1406;18;3-2
31-May-16 12:00:00 AM;95;92;1546;13;3-2
31-May-16 12:00:00 AM;95;84;1510;17;3-2
31-May-16 12:00:00 AM;95;89;1554;10;3-2
31-May-16 12:00:00 AM;41;95;2350;17;2-4
31-May-16 12:00:00 AM;34;95;1425;20;3-1
31-May-16 12:00:00 AM;14;95;2428;17;1-2
31-May-16 12:00:00 AM;94;95;2055;16;2-4
31-May-16 12:00:00 AM;76;95;1954;19;2-4
31-May-16 12:00:00 AM;78;95;1838;14;1-4
31-May-16 12:00:00 AM;79;95;1840;15;1-4
31-May-16 12:00:00 AM;83;95;1877;14;1-4
31-May-16 12:00:00 AM;47;95;1668;10;1-1
