date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;96;2260;3;1-1
31-May-16 12:00:00 AM;37;96;1740;1;2-4
31-May-16 12:00:00 AM;1;96;746;9;2-4
31-May-16 12:00:00 AM;41;96;2360;3;2-4
31-May-16 12:00:00 AM;4;96;3240;1;2-4
31-May-16 12:00:00 AM;71;96;2910;2;2-4
31-May-16 12:00:00 AM;85;96;1860;2;2-4
31-May-16 12:00:00 AM;82;96;2420;3;2-4
31-May-16 12:00:00 AM;65;96;420;1;2-1
31-May-16 12:00:00 AM;72;96;3540;1;2-1
31-May-16 12:00:00 AM;23;96;3420;1;2-1
31-May-16 12:00:00 AM;47;96;3060;1;1-1
31-May-16 12:00:00 AM;53;96;2280;1;1-1
31-May-16 12:00:00 AM;6;96;1920;1;2-1
31-May-16 12:00:00 AM;62;96;1720;3;2-1
31-May-16 12:00:00 AM;10;96;2000;3;2-1
31-May-16 12:00:00 AM;8;96;1740;1;2-1
31-May-16 12:00:00 AM;87;96;1680;1;2-4
31-May-16 12:00:00 AM;59;96;920;3;2-1
31-May-16 12:00:00 AM;66;96;1560;1;2-1
31-May-16 12:00:00 AM;49;96;1500;1;2-1
31-May-16 12:00:00 AM;55;96;1320;1;2-1
31-May-16 12:00:00 AM;69;96;1700;3;2-4
31-May-16 12:00:00 AM;22;96;1900;3;2-4
31-May-16 12:00:00 AM;19;96;760;3;2-1
31-May-16 12:00:00 AM;61;96;840;1;2-1
31-May-16 12:00:00 AM;75;96;1920;2;2-1
31-May-16 12:00:00 AM;20;96;1920;2;2-1
31-May-16 12:00:00 AM;68;96;1560;2;2-1
31-May-16 12:00:00 AM;70;96;300;2;2-1
31-May-16 12:00:00 AM;60;96;570;2;2-1
31-May-16 12:00:00 AM;32;96;360;2;2-1
31-May-16 12:00:00 AM;18;96;1980;2;2-1
31-May-16 12:00:00 AM;50;96;720;2;2-1
31-May-16 12:00:00 AM;28;96;1680;2;2-1
31-May-16 12:00:00 AM;26;96;1410;2;2-1
31-May-16 12:00:00 AM;29;96;1470;2;2-1
31-May-16 12:00:00 AM;96;97;1144;13;2-4
31-May-16 12:00:00 AM;96;33;975;4;2-4
31-May-16 12:00:00 AM;96;98;1792;8;2-4
31-May-16 12:00:00 AM;96;100;1358;11;2-4
31-May-16 12:00:00 AM;96;101;1145;11;2-4
31-May-16 12:00:00 AM;96;102;2060;12;2-4
31-May-16 12:00:00 AM;96;103;940;6;2-4
31-May-16 12:00:00 AM;96;104;1105;7;2-4
31-May-16 12:00:00 AM;96;105;1602;7;2-4
31-May-16 12:00:00 AM;96;5;900;1;2-4
31-May-16 12:00:00 AM;96;106;1765;7;2-4
31-May-16 12:00:00 AM;96;107;2420;6;2-4
31-May-16 12:00:00 AM;96;108;1650;8;2-4
31-May-16 12:00:00 AM;96;58;2340;2;2-4
31-May-16 12:00:00 AM;96;7;1740;3;2-4
31-May-16 12:00:00 AM;96;62;1720;3;2-4
31-May-16 12:00:00 AM;96;17;1760;3;2-4
31-May-16 12:00:00 AM;96;21;2610;2;2-4
31-May-16 12:00:00 AM;96;26;1410;2;2-4
31-May-16 12:00:00 AM;96;24;2730;2;2-4
31-May-16 12:00:00 AM;96;67;2420;6;2-4
31-May-16 12:00:00 AM;96;65;2820;1;2-4
31-May-16 12:00:00 AM;96;29;1470;2;2-4
31-May-16 12:00:00 AM;96;8;3000;1;2-4
31-May-16 12:00:00 AM;96;30;3330;2;2-4
31-May-16 12:00:00 AM;96;46;3360;2;2-4
31-May-16 12:00:00 AM;96;13;3450;2;2-4
31-May-16 12:00:00 AM;96;18;1980;2;2-4
31-May-16 12:00:00 AM;96;54;3510;2;2-4
31-May-16 12:00:00 AM;96;14;3510;2;2-4
31-May-16 12:00:00 AM;96;57;1770;2;2-4
31-May-16 12:00:00 AM;96;78;1770;2;2-4
