date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;97;680;3;1-1
31-May-16 12:00:00 AM;37;97;3420;1;2-4
31-May-16 12:00:00 AM;1;97;1788;10;2-4
31-May-16 12:00:00 AM;41;97;1095;4;2-4
31-May-16 12:00:00 AM;4;97;1320;1;2-4
31-May-16 12:00:00 AM;71;97;1140;1;2-4
31-May-16 12:00:00 AM;85;97;3540;3;2-4
31-May-16 12:00:00 AM;82;97;3520;3;2-4
31-May-16 12:00:00 AM;11;97;1350;2;2-7
31-May-16 12:00:00 AM;65;97;2100;1;2-1
31-May-16 12:00:00 AM;44;97;1110;2;2-7
31-May-16 12:00:00 AM;72;97;1620;2;2-7
31-May-16 12:00:00 AM;23;97;1500;1;2-1
31-May-16 12:00:00 AM;47;97;3120;1;1-1
31-May-16 12:00:00 AM;53;97;2340;1;1-1
31-May-16 12:00:00 AM;6;97;0;1;2-1
31-May-16 12:00:00 AM;62;97;2240;3;2-1
31-May-16 12:00:00 AM;10;97;2520;3;2-1
31-May-16 12:00:00 AM;8;97;3420;1;2-1
31-May-16 12:00:00 AM;87;97;3360;1;2-4
31-May-16 12:00:00 AM;66;97;3240;1;2-1
31-May-16 12:00:00 AM;49;97;3180;1;2-1
31-May-16 12:00:00 AM;55;97;3000;1;2-1
31-May-16 12:00:00 AM;69;97;2800;3;2-4
31-May-16 12:00:00 AM;12;97;3000;2;2-7
31-May-16 12:00:00 AM;74;97;1470;2;2-7
31-May-16 12:00:00 AM;15;97;2940;2;2-7
31-May-16 12:00:00 AM;63;97;1710;2;2-7
31-May-16 12:00:00 AM;22;97;3000;3;2-4
31-May-16 12:00:00 AM;19;97;1280;3;2-1
31-May-16 12:00:00 AM;61;97;2520;1;2-1
31-May-16 12:00:00 AM;20;97;2730;2;2-1
31-May-16 12:00:00 AM;70;97;1110;2;2-1
31-May-16 12:00:00 AM;60;97;1380;2;2-1
31-May-16 12:00:00 AM;32;97;1170;2;2-1
31-May-16 12:00:00 AM;18;97;2790;2;2-1
31-May-16 12:00:00 AM;57;97;2040;1;2-7
31-May-16 12:00:00 AM;50;97;1530;2;2-1
31-May-16 12:00:00 AM;52;97;1860;1;2-7
31-May-16 12:00:00 AM;28;97;2490;2;2-1
31-May-16 12:00:00 AM;26;97;2220;2;2-1
31-May-16 12:00:00 AM;54;97;1800;1;2-7
31-May-16 12:00:00 AM;24;97;1800;1;2-7
31-May-16 12:00:00 AM;58;97;1800;1;2-7
31-May-16 12:00:00 AM;29;97;2280;2;2-1
31-May-16 12:00:00 AM;13;97;2520;2;2-1
31-May-16 12:00:00 AM;21;97;2100;2;2-1
31-May-16 12:00:00 AM;96;97;1144;13;2-4
31-May-16 12:00:00 AM;14;97;2550;2;2-1
31-May-16 12:00:00 AM;97;33;912;5;2-4
31-May-16 12:00:00 AM;97;98;1788;5;2-4
31-May-16 12:00:00 AM;97;100;1956;5;2-4
31-May-16 12:00:00 AM;97;101;2475;4;2-4
31-May-16 12:00:00 AM;97;102;1800;9;2-4
31-May-16 12:00:00 AM;97;103;1020;3;2-4
31-May-16 12:00:00 AM;97;104;1450;6;2-4
31-May-16 12:00:00 AM;97;105;1275;4;2-4
31-May-16 12:00:00 AM;97;5;840;1;2-4
31-May-16 12:00:00 AM;97;106;1596;5;2-4
31-May-16 12:00:00 AM;97;107;1884;5;2-4
31-May-16 12:00:00 AM;97;108;1965;8;2-4
31-May-16 12:00:00 AM;97;58;2280;2;2-4
31-May-16 12:00:00 AM;97;7;2280;2;2-4
31-May-16 12:00:00 AM;97;62;2240;3;2-4
31-May-16 12:00:00 AM;97;17;2320;3;2-4
31-May-16 12:00:00 AM;97;21;2100;2;2-4
31-May-16 12:00:00 AM;97;26;2340;3;2-4
31-May-16 12:00:00 AM;97;24;2670;2;2-4
31-May-16 12:00:00 AM;97;67;2445;8;2-4
31-May-16 12:00:00 AM;97;65;2760;1;2-4
31-May-16 12:00:00 AM;97;29;2440;3;2-4
31-May-16 12:00:00 AM;97;8;2940;1;2-4
31-May-16 12:00:00 AM;97;30;3270;2;2-4
31-May-16 12:00:00 AM;97;46;3300;2;2-4
31-May-16 12:00:00 AM;97;13;2520;2;2-4
31-May-16 12:00:00 AM;97;18;2980;3;2-4
31-May-16 12:00:00 AM;97;54;3450;2;2-4
31-May-16 12:00:00 AM;97;14;2820;3;2-4
31-May-16 12:00:00 AM;97;57;3510;2;2-4
31-May-16 12:00:00 AM;97;78;3500;3;2-4
31-May-16 12:00:00 AM;97;81;3500;3;2-4
31-May-16 12:00:00 AM;97;83;3500;3;2-4
31-May-16 12:00:00 AM;97;16;3540;2;2-4
31-May-16 12:00:00 AM;97;80;2360;3;2-4
31-May-16 12:00:00 AM;97;77;2360;3;2-4
31-May-16 12:00:00 AM;97;70;1920;3;2-4
31-May-16 12:00:00 AM;97;32;1170;2;2-4
31-May-16 12:00:00 AM;97;74;1470;2;2-4
31-May-16 12:00:00 AM;97;76;140;3;2-4
31-May-16 12:00:00 AM;97;73;240;1;2-4
31-May-16 12:00:00 AM;97;91;240;1;2-4
31-May-16 12:00:00 AM;97;59;270;2;2-4
31-May-16 12:00:00 AM;97;19;1280;3;2-4
31-May-16 12:00:00 AM;97;66;360;1;2-4
31-May-16 12:00:00 AM;97;44;1110;2;2-4
31-May-16 12:00:00 AM;97;86;480;1;2-4
31-May-16 12:00:00 AM;97;63;1710;2;2-4
31-May-16 12:00:00 AM;97;48;900;1;2-4
31-May-16 12:00:00 AM;97;56;1140;3;2-4
31-May-16 12:00:00 AM;97;55;960;1;2-4
31-May-16 12:00:00 AM;97;51;900;3;2-4
31-May-16 12:00:00 AM;97;50;1360;3;2-4
31-May-16 12:00:00 AM;97;99;1902;7;2-4
31-May-16 12:00:00 AM;97;9;630;2;2-1
31-May-16 12:00:00 AM;97;11;1350;2;2-1
31-May-16 12:00:00 AM;97;69;1650;2;2-1
31-May-16 12:00:00 AM;97;12;3000;2;2-1
31-May-16 12:00:00 AM;97;31;750;2;2-1
31-May-16 12:00:00 AM;97;27;2130;2;2-1
31-May-16 12:00:00 AM;97;15;2940;2;2-1
31-May-16 12:00:00 AM;97;68;2460;1;2-1
31-May-16 12:00:00 AM;97;75;3060;1;2-1
31-May-16 12:00:00 AM;97;85;3180;1;2-1
31-May-16 12:00:00 AM;97;82;3480;1;2-1
31-May-16 12:00:00 AM;97;52;60;1;2-1
31-May-16 12:00:00 AM;97;94;60;2;2-1
31-May-16 12:00:00 AM;97;79;60;2;2-1
31-May-16 12:00:00 AM;97;41;780;1;2-1
