date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;98;1996;11;1-1
31-May-16 12:00:00 AM;37;98;1863;20;2-4
31-May-16 12:00:00 AM;1;98;1833;29;1-4
31-May-16 12:00:00 AM;41;98;1432;15;2-7
31-May-16 12:00:00 AM;4;98;1650;20;2-4
31-May-16 12:00:00 AM;71;98;1324;13;2-4
31-May-16 12:00:00 AM;85;98;2168;28;2-4
31-May-16 12:00:00 AM;82;98;2366;23;2-4
31-May-16 12:00:00 AM;35;98;1543;11;1-1
31-May-16 12:00:00 AM;40;98;1325;23;2-4
31-May-16 12:00:00 AM;90;98;1800;31;1-4
31-May-16 12:00:00 AM;42;98;1742;28;2-4
31-May-16 12:00:00 AM;25;98;2067;11;1-1
31-May-16 12:00:00 AM;11;98;1826;23;2-7
31-May-16 12:00:00 AM;65;98;1701;28;2-1
31-May-16 12:00:00 AM;44;98;1304;19;2-7
31-May-16 12:00:00 AM;72;98;1417;24;2-7
31-May-16 12:00:00 AM;47;98;1914;10;1-1
31-May-16 12:00:00 AM;23;98;1534;28;2-1
31-May-16 12:00:00 AM;53;98;1940;9;1-1
31-May-16 12:00:00 AM;45;98;1881;11;1-1
31-May-16 12:00:00 AM;87;98;1698;19;2-4
31-May-16 12:00:00 AM;6;98;1984;29;2-1
31-May-16 12:00:00 AM;62;98;1657;37;2-1
31-May-16 12:00:00 AM;8;98;1890;22;2-1
31-May-16 12:00:00 AM;69;98;2030;19;2-4
31-May-16 12:00:00 AM;49;98;1790;30;2-1
31-May-16 12:00:00 AM;66;98;2349;26;2-1
31-May-16 12:00:00 AM;12;98;2021;16;2-7
31-May-16 12:00:00 AM;55;98;1718;28;2-1
31-May-16 12:00:00 AM;74;98;1414;19;2-7
31-May-16 12:00:00 AM;22;98;2125;26;2-4
31-May-16 12:00:00 AM;15;98;2391;22;2-7
31-May-16 12:00:00 AM;63;98;1713;23;2-7
31-May-16 12:00:00 AM;19;98;1447;34;2-1
31-May-16 12:00:00 AM;61;98;2272;31;2-1
31-May-16 12:00:00 AM;70;98;1709;31;2-1
31-May-16 12:00:00 AM;57;98;2106;19;2-7
31-May-16 12:00:00 AM;52;98;2382;21;2-7
31-May-16 12:00:00 AM;18;98;2191;29;2-1
31-May-16 12:00:00 AM;54;98;1720;22;2-7
31-May-16 12:00:00 AM;32;98;1945;33;2-1
31-May-16 12:00:00 AM;50;98;1523;23;2-1
31-May-16 12:00:00 AM;24;98;2169;19;2-7
31-May-16 12:00:00 AM;58;98;1895;22;2-7
31-May-16 12:00:00 AM;28;98;1711;36;2-1
31-May-16 12:00:00 AM;26;98;1818;19;2-1
31-May-16 12:00:00 AM;98;98;912;71;1-1
31-May-16 12:00:00 AM;96;98;1591;36;2-4
31-May-16 12:00:00 AM;98;99;1375;14;1-1
31-May-16 12:00:00 AM;98;100;1184;27;1-1
31-May-16 12:00:00 AM;29;98;2226;26;2-1
31-May-16 12:00:00 AM;13;98;2046;26;2-1
31-May-16 12:00:00 AM;21;98;1675;26;2-1
31-May-16 12:00:00 AM;14;98;1537;29;2-1
31-May-16 12:00:00 AM;7;98;1402;30;2-1
31-May-16 12:00:00 AM;97;98;1387;32;2-4
31-May-16 12:00:00 AM;59;98;1641;31;2-1
31-May-16 12:00:00 AM;17;98;1920;26;2-1
31-May-16 12:00:00 AM;75;98;1305;24;2-7
31-May-16 12:00:00 AM;10;98;1848;35;2-1
31-May-16 12:00:00 AM;9;98;1459;28;2-1
31-May-16 12:00:00 AM;33;98;1577;24;2-4
31-May-16 12:00:00 AM;98;101;2137;21;2-4
31-May-16 12:00:00 AM;98;11;1578;20;2-1
31-May-16 12:00:00 AM;98;63;1871;31;2-1
31-May-16 12:00:00 AM;98;102;1518;40;2-4
31-May-16 12:00:00 AM;98;51;1316;34;2-1
31-May-16 12:00:00 AM;98;103;1528;15;2-4
31-May-16 12:00:00 AM;98;104;1581;20;2-4
31-May-16 12:00:00 AM;98;105;995;34;2-4
31-May-16 12:00:00 AM;98;5;1500;30;2-4
31-May-16 12:00:00 AM;98;106;1616;19;2-4
31-May-16 12:00:00 AM;98;107;1662;27;2-4
31-May-16 12:00:00 AM;98;69;2091;40;2-1
31-May-16 12:00:00 AM;98;108;1675;25;2-4
31-May-16 12:00:00 AM;98;58;1235;27;2-4
31-May-16 12:00:00 AM;98;7;1735;37;2-4
31-May-16 12:00:00 AM;98;44;1797;28;2-1
31-May-16 12:00:00 AM;98;62;1984;28;2-4
31-May-16 12:00:00 AM;98;17;1277;31;2-4
31-May-16 12:00:00 AM;98;12;1594;28;2-1
31-May-16 12:00:00 AM;98;74;1716;28;2-1
31-May-16 12:00:00 AM;98;31;1447;34;2-1
31-May-16 12:00:00 AM;98;61;1984;30;2-4
31-May-16 12:00:00 AM;98;68;2196;46;2-4
31-May-16 12:00:00 AM;98;49;1704;30;2-4
31-May-16 12:00:00 AM;98;27;2420;27;2-1
31-May-16 12:00:00 AM;98;21;2022;30;2-4
31-May-16 12:00:00 AM;98;15;2222;27;2-1
31-May-16 12:00:00 AM;98;26;1768;30;2-4
31-May-16 12:00:00 AM;98;56;1170;34;2-1
31-May-16 12:00:00 AM;98;24;1642;29;2-4
31-May-16 12:00:00 AM;98;67;2078;66;2-1
31-May-16 12:00:00 AM;98;65;1464;27;2-4
31-May-16 12:00:00 AM;98;29;1892;31;2-4
31-May-16 12:00:00 AM;98;8;1802;28;2-4
31-May-16 12:00:00 AM;98;70;2094;43;2-7
31-May-16 12:00:00 AM;98;75;1714;28;2-4
31-May-16 12:00:00 AM;98;89;1590;16;2-4
31-May-16 12:00:00 AM;98;28;1884;39;2-4
31-May-16 12:00:00 AM;98;20;2120;35;2-4
31-May-16 12:00:00 AM;98;18;1500;31;2-7
31-May-16 12:00:00 AM;98;50;1310;30;2-7
31-May-16 12:00:00 AM;98;10;1978;40;2-4
31-May-16 12:00:00 AM;98;30;1620;32;2-4
31-May-16 12:00:00 AM;98;46;2124;29;2-4
31-May-16 12:00:00 AM;98;14;1755;34;2-7
31-May-16 12:00:00 AM;98;13;2346;35;2-4
31-May-16 12:00:00 AM;98;54;1809;26;2-4
31-May-16 12:00:00 AM;98;33;2352;30;2-7
31-May-16 12:00:00 AM;98;34;1557;20;2-4
31-May-16 12:00:00 AM;98;84;1765;19;2-4
31-May-16 12:00:00 AM;98;36;2121;14;2-4
31-May-16 12:00:00 AM;98;88;1158;16;2-4
31-May-16 12:00:00 AM;98;85;1873;22;2-1
31-May-16 12:00:00 AM;98;64;1514;25;2-4
31-May-16 12:00:00 AM;98;92;1944;15;2-4
31-May-16 12:00:00 AM;98;93;1688;22;2-4
31-May-16 12:00:00 AM;98;57;2093;27;2-4
31-May-16 12:00:00 AM;98;78;1888;27;2-4
31-May-16 12:00:00 AM;98;81;1640;33;2-4
31-May-16 12:00:00 AM;98;83;1573;27;2-4
31-May-16 12:00:00 AM;98;16;1268;34;2-4
31-May-16 12:00:00 AM;98;80;2017;27;2-4
31-May-16 12:00:00 AM;98;77;1635;31;2-4
31-May-16 12:00:00 AM;98;82;1786;23;2-1
31-May-16 12:00:00 AM;98;52;2181;28;2-4
31-May-16 12:00:00 AM;98;94;1487;28;2-4
31-May-16 12:00:00 AM;98;79;1260;29;2-4
31-May-16 12:00:00 AM;98;6;1730;30;2-4
31-May-16 12:00:00 AM;98;32;2049;38;2-4
31-May-16 12:00:00 AM;98;76;1208;21;2-4
31-May-16 12:00:00 AM;98;73;1708;15;2-4
31-May-16 12:00:00 AM;98;91;1240;15;2-4
31-May-16 12:00:00 AM;98;59;1569;38;2-4
31-May-16 12:00:00 AM;98;19;1475;39;2-4
31-May-16 12:00:00 AM;98;66;2080;28;2-4
31-May-16 12:00:00 AM;98;9;1453;32;2-4
31-May-16 12:00:00 AM;98;23;1403;28;2-4
31-May-16 12:00:00 AM;98;86;910;18;2-4
31-May-16 12:00:00 AM;98;60;1529;35;2-4
31-May-16 12:00:00 AM;98;72;1701;25;2-4
31-May-16 12:00:00 AM;98;41;1188;5;2-4
31-May-16 12:00:00 AM;98;48;1665;20;2-4
31-May-16 12:00:00 AM;98;55;1472;28;2-4
31-May-16 12:00:00 AM;100;98;1321;36;2-1
31-May-16 12:00:00 AM;101;98;1524;32;2-1
31-May-16 12:00:00 AM;103;98;1783;29;2-1
31-May-16 12:00:00 AM;106;98;1525;24;2-1
31-May-16 12:00:00 AM;5;98;2103;18;1-1
31-May-16 12:00:00 AM;107;98;1650;30;2-1
31-May-16 12:00:00 AM;68;98;2200;18;1-4
31-May-16 12:00:00 AM;67;98;1870;28;1-4
31-May-16 12:00:00 AM;27;98;2311;21;2-4
31-May-16 12:00:00 AM;89;98;2520;22;1-4
31-May-16 12:00:00 AM;20;98;2265;17;1-4
31-May-16 12:00:00 AM;46;98;1207;17;1-4
31-May-16 12:00:00 AM;30;98;2243;13;1-4
31-May-16 12:00:00 AM;34;98;2012;22;1-4
31-May-16 12:00:00 AM;92;98;1701;17;1-4
31-May-16 12:00:00 AM;88;98;1902;21;1-4
31-May-16 12:00:00 AM;64;98;1954;7;1-4
31-May-16 12:00:00 AM;36;98;2749;22;1-4
31-May-16 12:00:00 AM;93;98;2226;19;1-4
31-May-16 12:00:00 AM;84;98;1942;21;1-4
31-May-16 12:00:00 AM;16;98;1869;13;1-4
