date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;2;99;1320;6;1-1
31-May-16 12:00:00 AM;1;99;1418;28;2-4
31-May-16 12:00:00 AM;4;99;840;2;2-4
31-May-16 12:00:00 AM;71;99;1900;3;2-4
31-May-16 12:00:00 AM;47;99;1020;1;1-1
31-May-16 12:00:00 AM;53;99;240;1;1-1
31-May-16 12:00:00 AM;96;99;1410;10;2-4
31-May-16 12:00:00 AM;97;99;1902;7;2-4
31-May-16 12:00:00 AM;99;101;840;5;1-1
31-May-16 12:00:00 AM;99;102;2210;6;1-1
31-May-16 12:00:00 AM;99;103;300;1;1-1
31-May-16 12:00:00 AM;99;104;360;2;1-1
31-May-16 12:00:00 AM;99;105;660;1;1-1
31-May-16 12:00:00 AM;99;106;960;1;1-1
31-May-16 12:00:00 AM;99;107;1140;2;1-1
31-May-16 12:00:00 AM;99;108;1260;1;1-1
31-May-16 12:00:00 AM;99;109;1390;18;1-1
31-May-16 12:00:00 AM;101;99;400;3;2-4
31-May-16 12:00:00 AM;103;99;1848;5;2-4
31-May-16 12:00:00 AM;106;99;1764;5;2-4
31-May-16 12:00:00 AM;105;99;1740;2;2-1
31-May-16 12:00:00 AM;108;99;1390;6;2-1
31-May-16 12:00:00 AM;102;99;2210;6;2-1
31-May-16 12:00:00 AM;98;99;1720;3;2-1
31-May-16 12:00:00 AM;107;99;1140;2;2-1
31-May-16 12:00:00 AM;100;99;1590;4;2-1
31-May-16 12:00:00 AM;99;95;240;1;2-4
31-May-16 12:00:00 AM;99;3;240;1;2-4
31-May-16 12:00:00 AM;99;38;240;1;2-4
31-May-16 12:00:00 AM;99;43;240;1;2-4
31-May-16 12:00:00 AM;99;97;1902;7;2-1
31-May-16 12:00:00 AM;109;99;1868;22;2-4
31-May-16 12:00:00 AM;104;99;1380;3;2-1
31-May-16 12:00:00 AM;99;98;1720;3;1-4
31-May-16 12:00:00 AM;99;100;1590;4;2-4
31-May-16 12:00:00 AM;99;96;480;2;1-4
