date (whole day); user1; user2; average duration (sec); times; floor-zone
31-May-16 12:00:00 AM;1;9;514;7;1-1
31-May-16 12:00:00 AM;2;9;2340;3;1-1
31-May-16 12:00:00 AM;6;9;1867;8;2-4
31-May-16 12:00:00 AM;7;9;2085;8;2-4
31-May-16 12:00:00 AM;9;13;2058;10;2-4
31-May-16 12:00:00 AM;9;14;1152;10;2-4
31-May-16 12:00:00 AM;9;15;876;10;2-4
31-May-16 12:00:00 AM;9;16;2610;10;2-4
31-May-16 12:00:00 AM;9;17;1550;6;2-4
31-May-16 12:00:00 AM;9;18;2475;8;2-4
31-May-16 12:00:00 AM;9;19;1126;9;2-4
31-May-16 12:00:00 AM;9;20;1585;7;2-4
31-May-16 12:00:00 AM;9;21;2314;7;2-4
31-May-16 12:00:00 AM;9;22;2265;4;2-4
31-May-16 12:00:00 AM;9;23;2316;5;2-4
31-May-16 12:00:00 AM;9;24;1576;11;2-4
31-May-16 12:00:00 AM;9;26;2076;5;2-4
31-May-16 12:00:00 AM;9;27;1789;11;2-4
31-May-16 12:00:00 AM;9;28;1885;7;2-4
31-May-16 12:00:00 AM;9;29;1000;9;2-4
31-May-16 12:00:00 AM;9;30;1513;9;2-4
31-May-16 12:00:00 AM;9;31;1390;11;2-4
31-May-16 12:00:00 AM;9;32;1546;9;2-4
31-May-16 12:00:00 AM;9;33;1575;8;2-4
31-May-16 12:00:00 AM;9;34;900;1;2-4
31-May-16 12:00:00 AM;9;36;3300;1;2-4
31-May-16 12:00:00 AM;9;39;2520;1;2-4
31-May-16 12:00:00 AM;9;40;2220;1;2-4
31-May-16 12:00:00 AM;9;41;1695;4;2-4
31-May-16 12:00:00 AM;9;42;2520;1;2-4
31-May-16 12:00:00 AM;9;43;1560;1;2-4
31-May-16 12:00:00 AM;9;44;1404;5;2-4
31-May-16 12:00:00 AM;9;37;1760;3;2-4
31-May-16 12:00:00 AM;9;38;120;1;2-4
31-May-16 12:00:00 AM;9;46;1560;10;2-4
31-May-16 12:00:00 AM;9;50;1704;5;2-4
31-May-16 12:00:00 AM;9;49;1848;5;2-4
31-May-16 12:00:00 AM;9;51;1386;9;2-4
31-May-16 12:00:00 AM;9;52;2280;5;2-4
31-May-16 12:00:00 AM;9;1;1000;3;2-4
31-May-16 12:00:00 AM;9;54;1597;8;2-4
31-May-16 12:00:00 AM;9;55;1311;7;2-4
31-May-16 12:00:00 AM;9;47;1992;10;2-4
31-May-16 12:00:00 AM;9;56;1440;7;2-4
31-May-16 12:00:00 AM;9;57;2120;3;2-4
31-May-16 12:00:00 AM;9;58;1293;9;2-4
31-May-16 12:00:00 AM;9;59;2050;6;2-4
31-May-16 12:00:00 AM;9;60;1020;7;2-4
31-May-16 12:00:00 AM;9;61;1937;7;2-4
31-May-16 12:00:00 AM;9;62;1665;8;2-4
31-May-16 12:00:00 AM;9;63;1552;8;2-4
31-May-16 12:00:00 AM;9;64;765;4;2-4
31-May-16 12:00:00 AM;9;65;1940;6;2-4
31-May-16 12:00:00 AM;9;66;1886;9;2-4
31-May-16 12:00:00 AM;9;67;1517;28;2-4
31-May-16 12:00:00 AM;9;68;1286;9;2-4
31-May-16 12:00:00 AM;9;69;1652;13;2-4
31-May-16 12:00:00 AM;9;70;1860;7;2-4
31-May-16 12:00:00 AM;9;71;1260;4;2-4
31-May-16 12:00:00 AM;9;72;1465;7;2-4
31-May-16 12:00:00 AM;9;73;1800;1;2-4
31-May-16 12:00:00 AM;9;74;1770;6;2-4
31-May-16 12:00:00 AM;9;75;1812;5;2-4
31-May-16 12:00:00 AM;9;53;1980;4;2-4
31-May-16 12:00:00 AM;9;82;1056;5;2-4
31-May-16 12:00:00 AM;9;83;2160;2;2-4
31-May-16 12:00:00 AM;9;80;2580;4;2-4
31-May-16 12:00:00 AM;9;78;2280;2;2-4
31-May-16 12:00:00 AM;9;76;1890;4;2-4
31-May-16 12:00:00 AM;9;79;2280;2;2-4
31-May-16 12:00:00 AM;9;77;2280;2;2-4
31-May-16 12:00:00 AM;9;84;1980;4;2-4
31-May-16 12:00:00 AM;9;85;1056;5;2-4
31-May-16 12:00:00 AM;9;81;2760;4;2-4
31-May-16 12:00:00 AM;9;48;2130;8;2-4
31-May-16 12:00:00 AM;9;86;2640;1;2-4
31-May-16 12:00:00 AM;9;87;1905;4;2-4
31-May-16 12:00:00 AM;9;88;2640;1;2-4
31-May-16 12:00:00 AM;9;89;2640;1;2-4
31-May-16 12:00:00 AM;9;91;2640;1;2-4
31-May-16 12:00:00 AM;9;92;2640;1;2-4
31-May-16 12:00:00 AM;9;93;2640;1;2-4
31-May-16 12:00:00 AM;9;90;2700;1;2-4
31-May-16 12:00:00 AM;9;94;2250;4;2-4
31-May-16 12:00:00 AM;9;95;1716;5;2-4
31-May-16 12:00:00 AM;8;9;1420;6;2-1
31-May-16 12:00:00 AM;9;12;1972;8;2-1
31-May-16 12:00:00 AM;9;7;2085;8;2-1
31-May-16 12:00:00 AM;9;10;1506;9;2-1
31-May-16 12:00:00 AM;11;9;1280;6;2-1
31-May-16 12:00:00 AM;18;9;1650;8;2-1
31-May-16 12:00:00 AM;19;9;1126;9;2-1
31-May-16 12:00:00 AM;22;9;2440;6;2-1
31-May-16 12:00:00 AM;23;9;2480;9;2-1
31-May-16 12:00:00 AM;49;9;1940;6;2-1
31-May-16 12:00:00 AM;55;9;1560;10;2-1
31-May-16 12:00:00 AM;57;9;2720;9;2-1
31-May-16 12:00:00 AM;60;9;1020;7;2-1
31-May-16 12:00:00 AM;61;9;1986;9;2-1
31-May-16 12:00:00 AM;62;9;1665;8;2-1
31-May-16 12:00:00 AM;63;9;1552;8;2-1
31-May-16 12:00:00 AM;65;9;2600;12;2-1
31-May-16 12:00:00 AM;66;9;1944;10;2-1
31-May-16 12:00:00 AM;72;9;1290;6;2-1
31-May-16 12:00:00 AM;82;9;1192;8;2-1
31-May-16 12:00:00 AM;85;9;1192;8;2-1
31-May-16 12:00:00 AM;94;9;2550;8;2-7
31-May-16 12:00:00 AM;30;9;1705;7;2-1
31-May-16 12:00:00 AM;46;9;1483;11;2-6
31-May-16 12:00:00 AM;74;9;2905;7;2-7
31-May-16 12:00:00 AM;25;9;3270;2;1-1
31-May-16 12:00:00 AM;58;9;1293;9;2-1
31-May-16 12:00:00 AM;21;9;2064;10;2-1
31-May-16 12:00:00 AM;12;9;2120;3;2-7
31-May-16 12:00:00 AM;33;9;1920;2;2-7
31-May-16 12:00:00 AM;28;9;1650;4;2-1
31-May-16 12:00:00 AM;27;9;1758;10;2-1
31-May-16 12:00:00 AM;75;9;1640;3;2-1
31-May-16 12:00:00 AM;52;9;2250;8;2-1
31-May-16 12:00:00 AM;15;9;876;10;2-1
31-May-16 12:00:00 AM;50;9;1560;4;2-1
31-May-16 12:00:00 AM;31;9;1390;11;2-1
31-May-16 12:00:00 AM;70;9;1836;10;2-1
31-May-16 12:00:00 AM;16;9;2610;10;2-1
31-May-16 12:00:00 AM;26;9;2871;7;2-7
31-May-16 12:00:00 AM;69;9;1652;13;2-6
31-May-16 12:00:00 AM;17;9;1448;7;2-1
31-May-16 12:00:00 AM;13;9;1975;14;2-6
31-May-16 12:00:00 AM;54;9;1440;1;2-7
31-May-16 12:00:00 AM;29;9;1710;4;2-7
31-May-16 12:00:00 AM;24;9;1533;9;2-7
31-May-16 12:00:00 AM;14;9;1325;12;2-6
31-May-16 12:00:00 AM;44;9;2910;6;2-7
31-May-16 12:00:00 AM;45;9;2070;2;1-1
31-May-16 12:00:00 AM;10;9;1410;8;2-7
31-May-16 12:00:00 AM;59;9;2227;8;2-7
31-May-16 12:00:00 AM;51;9;2232;5;2-7
31-May-16 12:00:00 AM;32;9;1700;9;2-6
31-May-16 12:00:00 AM;68;9;2080;3;2-7
31-May-16 12:00:00 AM;56;9;2940;7;2-7
31-May-16 12:00:00 AM;67;9;2025;8;2-7
31-May-16 12:00:00 AM;41;9;1524;5;2-1
31-May-16 12:00:00 AM;9;6;1752;5;2-6
31-May-16 12:00:00 AM;9;8;1176;5;2-6
31-May-16 12:00:00 AM;9;11;1280;6;2-6
31-May-16 12:00:00 AM;3;9;1200;6;2-4
31-May-16 12:00:00 AM;71;9;1260;4;1-2
31-May-16 12:00:00 AM;84;9;2080;3;1-4
31-May-16 12:00:00 AM;87;9;2460;2;1-4
31-May-16 12:00:00 AM;4;9;1410;2;1-2
31-May-16 12:00:00 AM;20;9;1752;5;1-4
31-May-16 12:00:00 AM;35;9;2880;1;1-2
31-May-16 12:00:00 AM;76;9;2850;4;1-4
31-May-16 12:00:00 AM;9;4;300;2;1-4
31-May-16 12:00:00 AM;9;5;1380;2;1-4
31-May-16 12:00:00 AM;78;9;2760;2;1-4
31-May-16 12:00:00 AM;79;9;2760;2;1-4
31-May-16 12:00:00 AM;83;9;2760;2;1-4
31-May-16 12:00:00 AM;47;9;2700;1;1-1
31-May-16 12:00:00 AM;80;9;2580;2;1-4
31-May-16 12:00:00 AM;81;9;2520;2;1-4
31-May-16 12:00:00 AM;48;9;1080;2;1-4
31-May-16 12:00:00 AM;95;9;120;2;1-4
31-May-16 12:00:00 AM;96;9;690;2;2-1
31-May-16 12:00:00 AM;97;9;630;2;2-1
31-May-16 12:00:00 AM;9;98;810;2;2-1
31-May-16 12:00:00 AM;9;100;810;2;2-1
31-May-16 12:00:00 AM;9;101;1620;2;2-1
31-May-16 12:00:00 AM;9;102;660;2;2-1
31-May-16 12:00:00 AM;9;103;180;2;2-1
31-May-16 12:00:00 AM;9;104;2130;2;2-1
31-May-16 12:00:00 AM;9;105;2160;2;2-1
31-May-16 12:00:00 AM;102;9;60;1;2-6
31-May-16 12:00:00 AM;104;9;3240;1;2-6
31-May-16 12:00:00 AM;9;106;1140;1;2-6
31-May-16 12:00:00 AM;9;108;300;1;2-6
31-May-16 12:00:00 AM;106;9;3000;1;2-1
31-May-16 12:00:00 AM;107;9;2880;1;2-1
31-May-16 12:00:00 AM;108;9;2640;1;2-1
